exposure	otkriće
expound	razjasniti
expound	razložiti
express	brz
express	brzo odašiljanje
express	ekspres (voz)
express	hitan
express	hitar
express	hitna poruka
express	iskazati
express	istisnuti
express	izraz
express	izraziti
express	izražava
express	izražavati
express	izreći
express	izričit
express	izričite
express	izričitog
express	jasan
expression	izraz
expression	izraza
expression	izražaj
expression	izražajem
expression	izražavanja
expression	izražavanje
expression	izričaj
expression	nazivom
expressionless	bezizrazan
expressive	izraznog
expressly	izričito
expressway	autocesta
expropriate	eksproprirati
expropriation	izvlaštenje
expulsion	isključenje
expulsion	istjerivanje
expunge	izbrisati
expunge	slistiti
expurgate	čistiti
exquisite	izvrstan
exquisite	odličan
exquisite	probran
exquisite	sjajan
extant	postojeći
extempore	bez priprem
extempore	improviziran
extend	dodati
extend	obuhvatiti
extend	obuhvaćati
extend	produžiti
extend	produžuje
extend	produžuje drugog
extend	proteže se
extend	proširiti
extend	proširivati
extend	pružati se
extend	širiti
extension	dodatak
extension	ekstenzija
extension	ispružanje
extension	korisnički telefonski priključak
extension	lokalni priključak
extension	nastavak
extension	odvojak
extension	produljenje
extension	produžetak
extension	proširenje
extension	širenje
extensive	opsežni
extensive	prostran
extensive	važan
extensive	širok
extent	dio
extent	granica
extent	mjera
extent	omjer
extent	opseg
extent	produljenje
extent	prostor
exterior	eksterijera
exterior	eksterijerno
exterior	vanjski
exterminate	iskorijeniti
exterminate	istrijebiti
extermination	iskorjenjivanje
extermination	istrebljivanje
extermination	uništenje
external	vanjska
external	vanjski
external	vanjskih
extinct	izumro
extinct	ugašen
extinction	gašenje
extinction	izumiranje
extinction	slabljenje
extinguish	gasiti
extinguish	pogasiti
extinguish	ugasiti
extinguish	ugasiti vatru
extinguish	uništiti
extinguish	utrnuti
extinguisher	aparat za gašenje požara
extinguisher	gasilo za svijeću
extinguisher	sprava za gašenje
extirpate	iskorijeniti
extirpation	istrebljenje
extol	hvaliti
extol	uznositi
extol	veličati
extort	iznuđivati
extortion	iznuda
extortion	iznuđivanje
extortion	ucjena
extra	dodatkom
extra	dodatni
extra	ekstra
extra	naročito
extra	posebno
extra	preko broja
extra	više
extract	iscijediti
extract	istisnuti
extract	izbor iz knjige
extract	izdvajanje
extract	izdvojiti
extract	izlučiti
extract	izvadak
extract	izvaditi
extract	izvod
extract	izvući
extract	iščupati
extract	načiniti izvadak
extract	načiniti izvadak iz knjige
extract	odlomak
extract	sažeti
extraction	ekstrakcija
extraction	izolacija
extraction	izvadak
extractor	ekstrator
extradite	izručiti
extradition	ekstradicija
extradition	izručenje
extramarital	vanbračni
extraneous	dalek
extraneous	stran
extraneous	tuđ
extraordinary	izuzetne
extraordinary	izuzetnim
extraordinary	izvanredan
extraordinary	neobičan
extraordinary	neobično
extrapolate	ekstra polirati
extrapolate	procijeniti vrijednost izvan područja poznatih vri
extrapolation	ekstrapolacija
extrapolation	procijeniti vrijednost izvan područja zadanih vrij
extraterrestrial	izvanzemaljski
extravagance	ekstravagancija
extravagance	neumjerenost
extravagance	pretjerivanje
extravagant	nastran
extravagant	neobičan
extreme	ekstrem
extreme	ekstremne
extreme	ekstremnih
extreme	ekstremnim
extreme	krajnji
extreme	krajnost
extremely	iznimne
extremely	izrazito
extremely	izvanredno
extremely	jako
extremely	krajnje
extremely	krajnje mjere
extremely	neobično
extremely	veoma
extremism	ekstremizam
extremity	kraj
extremity	krajnje mjere
extremity	krajnost
extremity	vrh
extremity	vrhunac
extremity	završetak
extricate	izvući
extricate	osloboditi
extrinsic	ekstrinzičan
extrinsic	nepredviđen
extrinsic	neuobičajen
extrinsic	primjesni
extrinsic	vanjski
extrude	istisnuti
extrude	izgurati
extrude	utiskivati
extrude	žigosati
extrusion	ekstruzija
extrusion	izbacivanje
exuberance	bogatstvo
exuberance	izobilje
exuberance	pretek
exuberance	suvišak
exuberant	bogat
