exuberant	obilan
exude	izlučivati se
exude	lučiti
exult	likovati
exult	trijumfirati
eye	gledati
eye	oka
eye	oko
eye	pogled
eyebrow	obrva
eyeglasses	naočale
eyelash	trepavica
eyelid	očni kapak
eyesight	vid
eyesight	čulo vida
eyesore	nagrđen
eyewash	sprava za pranje očiju nakon nezgode
eyewitness	očevidac
fable	bajka
fable	basna
fable	priča
fabric	Struktura stijene
fabric	građa stijene
fabric	tkanina
fabricate	proizvoditi
fabulous	basnoslovan
fabulous	legendaran
fabulous	nevjerojatan
facade	fasada
facade	pročelje
face	gledati ka
face	lica
face	lice
face	licem
face	maske za lice
face	oduprijeti
face	osoba
face	prednja strana
face	suočiti se
faceplate	lice zaslona
faceplate	prednja ploča
facet	brušenje
facet	mala ravnina
facetious	duhovit
facetious	veseo
facetious	šaljiv
facial	koji se tiče lica
facial	osobni
facial	prednji
facial	vanjski
facile	bez teškoća
facile	lagan
facile	lak
facilitate	olakša
facilitate	olakšati
facilitate	olakšavati
facilitate	omogućavanjem
facilitate	omogućivati
facilitate	pomoći
facilitation	olakšavanje
facilitation	pojednostavljivanje
facilitator	podupirućih
facility	dodatna usluga
facility	jedinica
facility	lakoća
facility	mogućnost
facility	olakšica
facility	pogodnost
facility	ponudom
facility	postrojenje
facility	sredstvo
facility	uređaj
facing	gledati ka
facing	oblaganje
facing	obrada
facsimile	elektronički prijenos dokumenata
facsimile	faks
facsimile	faksimil
facsimile	kopija
facsimile	reprodukcija
fact	fakat
fact	fakt
fact	podatak
fact	stvarnost
fact	činjenica
fact	činjenice
fact	činjenicu
faction	grupa
faction	stranka
factious	frakcionaški
factious	stranački
factitious	izvještačen
factitious	vještački
factor	faktor
factor	čimbenik
factor	čimbenika
factor	činilac
factory	fabrika
factory	tvornica
factory	tvornice
factory	tvornici
factual	faktičan
faculty	fakultet
faculty	fakulteta
faculty	fakultetu
faculty	sposobnost
faculty	talent
fad	hir
fad	prohtjev
fad	ćef
fade	izblijediti
fade	iščezavati
fade	iščeznuti
fade	uvenuti
fade	venuti
fading	feding
fading	iščezavanje signala
fading	promjena jakosti signala zbog promjena svojstava p
fag	dosadan rad
fag	iznurenost
fag	mučenje
fag	peder
fag	težak rad
fail	izostati
fail	ne uspjeti
fail	nedostajati
fail	odustane
fail	opasti
fail	pasti
fail	podbaciti
fail	pogriješiti
fail	prestati
fail	pretrpjeti neuspjeh
fail	propasti
fail	propustiti
fail	razočarati
failing	mana
failing	slabost
failing	u nedostatku
failure	greška
failure	kvar
failure	nestašica
failure	neuspjeh
failure	pogreška
failure	prelom
failure	prestanak
failure	promjena stanja
failure	propast
failure	propust
failure	zastoj u radu
faint	klonuti
faint	malaksati
faint	nerazgovjetan
faint	nesvijest
faint	onesvijestiti
faint	slab
fair	fer
fair	iskreno
fair	izložba
fair	lijep
fair	nepristran
fair	otvoreno
fair	plav
fair	plavokos
fair	pošten
fair	poštene
fair	pošteno
fair	poštenog
fair	pravedan
fair	pravedno
fair	pravično
fair	sajam
fair	svijetao
fair	vašar
fair	vedar
fair	velesajam
fairly	fer
fairly	iskreno
fairly	nepristrano
fairly	potpuno
fairly	pravično
fairly	prilično
fairly	sasvim
fairness	pravednost
fairness	pravednost (npr. raspodjele kapaciteta mreže aktiv
fairway	plovni dio rij
fairway	plovni dio rijeke
fairway	plovni dio vodenog puta
fairy	vila
fairy	vilinski
fairy	čaroban
fairyland	vilinsko carstvo
faith	povjerenje
faith	vjera
faith	vjerovanje
faithful	točan
faithful	vjeran
faithfully	vjerno
fake	falsifikat
fake	krivotvorina
