fatuous	glup
faucet	ventil
faucet	vodovodna slavina
faucet	čep
fault	Rasjed
fault	greška
fault	krivnja
fault	kvar
fault	mana
fault	nedostatak
fault	pogreška
fauna	fauna
fauna	faune
fawn	lane
fawn	mahati repom
fawn	okotiti
fax	faks
fax	faksimilni uređaj
fax	faksni uređaj
fear	bojati se
fear	od straha
fear	plašiti se
fear	strah
fear	straha
fear	strahovanje
fear	strahu
fearful	strašan
fearful	užasan
fearless	neustrašiv
feasibility	izvedivost
feasible	izvediv
feasible	izvodljiv
feasible	moguć
feasible	podesan
feasible	uvjerljiv
feasible	vjerojatan
feast	gozba
feast	veselje
feat	junačko djelo
feat	podvig
feather	perje
feather	pero
feather	ptičje pero
feature	crta lica
feature	element
feature	glavna uloga
feature	mogućnost
feature	osobina
feature	osobinafeature
feature	posebnost
feature	svojstvo
feature	značajka
feature	članak
febrile	febrilan
febrile	febriliteta
febrile	febrilno
febrile	grozničav
febrile	pod temperaturom
feckless	bespomoćan
feckless	slab
fecund	plodan
fecundity	plodnost
federal	federalni
federal	federativni
federalism	federalizam
federation	federacija
federation	federacije
federation	savez
federation	savezna država
fee	cijena
fee	honorar
fee	nagrada
fee	naknada
fee	naknadu
fee	placa
fee	plata
fee	platiti
fee	pristojba
fee	taksa
fee	troškovi
fee	ulog
fee	članarina
fee	školarina
feeble	nejak
feeble	nježan
feeble	slab
feedback	povratna informacija
feedback	povratna veza
feeder	gotovan
feeder	napajač
feeder	potrošač
feeding	Hranidba
feel	opip
feel	osjet
feel	osjetite
feel	osjetiti
feel	osjećaj
feel	osjećamo
feel	osjećanje
feel	osjećati
feel	osjećati se
feel	pipati
feeling	osjećaj
feeling	osjećajan
feeling	osjećanje
feeling	ugođaj
feign	izigravati
feign	izmisliti
feign	predstavljati
feint	finta
feint	neiskrenost
feint	pretvaranje
felicity	blagostanje
felicity	sreća
feline	mačji
feline	podmukao
feline	zloban
fell	koža
fell	krzno
fell	oboriti
fell	okrutan
fellatio	felacio
fellow	drug
fellow	drugar
fellow	lice
fellow	momak
fellow	član
fellow	čovjek
fellowship	društvo
fellowship	fond o
felon	kriminalac
felon	prestupnik
felony	delikt
felony	krivično djelo
felony	prijestup
felt	filc
felt	klobučina
felt	osjećaja
felt	osjećala
felt	pust
female	žena
female	ženka
female	ženska osoba
female	ženski
female	ženski spol
female	žensko
feminine	ženski
feminine	žensko
feminine	ženskog roda
feminine	ženskog spola
femininity	ženski spol
femininity	ženstvenost
feminism	feminizam
feminism	feminizmu
feminist	feministička
fen	baruština
fen	močvara
fence	braniti se
fence	mačevanje
fence	mačevati se
fence	ograda
fence	ograditi se
fend	odbijati
fend	pobijati
fender	bokobran
fender	pajet
fennel	komorač
fennel	mirodija
feral	nekultiviran
ferment	ferment
ferment	fermentacija
ferment	kvasac
ferment	previranje
ferment	uzbuditi
ferment	vriti
fermentation	kinetika fermentacije
fern	paprat
ferocious	bijesan
ferocious	divlji
ferocity	bijes
ferocity	divljaštvo
ferret	detektiv
ferret	lasica
ferret	tvor
ferret	čvrsta vrpca
ferrite	ferit
ferrule	metalni prsten (u kori e kloru)
ferry	feribot
ferry	skela
ferry	trajekt
ferryboat	trajekt
ferryboat	velik brod za prijelaz preko kanala
ferryboat	velik brod za prijelaz preko rijeke
fertile	plodan
fertile	plodna
fertile	plodnoga
fertile	rodan
fertility	obilje
fertility	plodnost
fervency	žar
