fringe	rub
frippery	drangulije
frippery	drečavi ukrasi
frisk	skok
fritter	krafna
fritter	uštipak
frivolity	lakomislenost
frivolous	neozbiljan
frivolous	nestašan
frizz	kovrča
frizz	uvojak
frizzle	cvrčati
frizzle	pržiti se
frock	bluza
frock	haljina
frock	odjeća
frog	žaba
frolic	igra
frolic	igrati se
frolic	veseo
frolic	šala
from	iz
from	kod
from	od
from	po
from	podrijetlom
from	s
from	sa
from	u
front	fronta
front	lice
front	pred
front	prednji
front	pročelje
front	sprijeda
front	čelni
front	čelo
frontier	državna granica
frontier	granica
frontier	granični
frontier	rubni
frontispiece	glavna fasada
frontispiece	naslovni list
frost	mraz
frost	zamrznuti se
frostbite	smrzotine
frosty	hladan
frosty	leden
frosty	studen
frosty	zamrznut
froth	pjena
frown	namrštiti se
frown	odbijati
frozen	smrznut
frozen	smrznuta
frozen	smrznuti se
fructose	fruktoza
frugal	jeftin
frugal	mršav
frugal	čuvaran
frugal	štedljiv
frugality	štedljivost
fruit	donositi plod
fruit	plod
fruit	voće
fruit	voćka
fruitful	plodna
fruitfulness	plodnost
fruition	ostvarenje
fruitless	besplodan
fruitless	jalov
fruitless	neplodan
frumpish	neuredan
frumpish	staromodan
frustrate	remetiti
frustrate	uništiti
fry	peći
fry	pečenje
fry	pržiti
fry	pržiti se
fuck	jebanje
fuck	jebati
fuck	jebačina
fuck	pizda
fuck	pička
fuck	zajebati
fuck	zajebavati
fuck	zajebavati se
fuck	ševiti
fucker	guzica
fucker	pizda
fucker	pička
fucking	jebanje
fuddle	pijanka
fudge	gluposti
fudge	izmišljati
fudge	poslastica
fuel	goriva
fuel	gorivo
fuel	ogrjev
fuel	trošak
fugitive	bjegunac
fugue	fuga
full	cijelo
full	cjelina
full	cjelovitu
full	nakrcano
full	potpun
full	pun
full	puni
full	punog
full	punopravna
full	punu
full	sve
fullness	izobilje
fullness	obilje
fullness	potpunost
fullness	punoća
fully	cjelovitoga
fully	do kraja
fully	posve
fully	potpuno
fully	punoj
fully	sasvim
fully	u cijelosti
fully	u potpunosti
fulsome	pretjeran
fumble	petljati
fumble	preturati
fume	bijes
fume	dim
fume	dimiti se
fun	veselja
fun	veselost
fun	zabava
fun	zabavan
fun	šala
function	djelovati
function	dužnost
function	funkcija
function	funkcije
function	funkcionirati
function	raditi
functional	funkcional
functional	funkcionalan
functional	funkcionalna
functional	funkcionalne
functional	funkcionalnih
functional	funkcionalnog
functionality	funkcionalnost
functionally	funkcionalna
functionary	dužnosnik
functionary	funkcionar
functioning	djelovanje
functioning	funkcioniranje
functioning	primjena
functioning	provedba
functioning	rad
fund	fond
fund	fondom
fund	kapital
fund	novac
fund	novčana sredstva
fund	sredstva
fundamental	bitni
fundamental	osnovni
fundamental	osnovnih
fundamental	osnovno pravilo
fundamental	temeljan
fundamental	temeljne
fundamental	temeljni
fundamentally	u osnovi
funding	financiranje
funding	kapitaliziranje
funding	stvaranje fonda
funeral	pogreb
funeral	pogrebnih
funeral	sahrana
funeral	sprovod
fungal	sorta
fungus	gljiva
funicular	žičan
funk	kukavica
funk	kukavičluk
funnel	brodski dimnjak
funnel	ljevak
funny	mali čamac
funny	smiješan
funny	smiješno
funny	zabavan
funny	šaljiv
fur	dlaka
fur	krzna
fur	krzno
furious	bijesan
furious	divalj
furious	gnjevan
furious	žestoki
furlong	dužina oko 200m
furnace	peć
