hinder	zadnji
hindmost	posljednji
hindrance	prepreka
hindrance	smetnja
hindrance	zapreka
hindsight	neopreznost
hindsight	nišan
hinge	zglob
hinge	šarka
hint	nagovijestiti
hint	nagovještaj
hint	savjet
hinterland	pogranična zona
hinterland	priobalni pojas
hinterland	zaleđe
hip	bedro
hip	bok
hip	kuk
hip	kuka
hippodrome	trkalište
hippopotamus	vodeni konj
hire	iznajmiti
hire	najam
hire	najmiti
hire	nakup
hire	zakup
hire	zakupiti
hirsute	dlakav
hirsute	kosmat
his	njegov
his	njegova
his	njegove
his	njegovih
his	njegovo
his	svoj
his	svoje
his	svojeg
his	svojim
hiss	izviždati
hiss	piskavi šum
hiss	zviždati
histogram	histogram
histology	histologija
historian	historičar
historic	historijski
historic	povijesne
historic	povijesni
historical	historijski
historical	povijesna
historical	povijesne
historical	povijesni
historical	povijesnog
historical	povijesnoj
historical	povijesnom
historiographer	povjesničar
history	anamneza
history	historija
history	povijesno
history	povijest
history	povijesti
history	priča
history	prošlosti
histrionic	glumački
hit	glazbeni hit
hit	hit
hit	lupiti
hit	najnoviji hit
hit	pogodak
hit	pogoditi
hit	pogođen
hit	slučaj
hit	stradavao
hit	udar
hit	udarac
hit	udariti
hitch	trzaj
hither	amo
hither	naovamo
hither	ovamo
hither	ovdašnji
hitherto	dosad
hitherto	dovde
hitter	napadač
hitter	smečer
hitter	udarač
hitting	udaranje
hive	košnica
hoar	inje
hoard	gomila
hoard	hrpa
hoard	nagomilati
hoard	zalihe
hoarse	hrapav
hoarse	promukao
hoary	sijed
hoary	star
hoax	lukavstvo
hoax	prijevara
hob	beskrajni vijak
hob	ploča na kamin
hob	polica
hobble	hramanje
hobby	najmilija zabava
hobby	omiljena zabava
hobby	razonoda
hobgoblin	avet
hobgoblin	kućni duh
hobgoblin	strašilo
hobnail	klinac za potkove i za cipele
hobnail	čavao
hobo	skitnica
hock	alkoholno piće
hock	vrsta vina
hockey	hokej
hockey	igra hokeja
hoe	motika
hog	svinja
hogshead	mjera za tekućinu
hogshead	veliko bure
hoist	jarbol
hoist	koplje
hoist	kopljeni dio zastave
hoist	podići
hoist	stijeg
hoist	uzdizanje
hoist	uzdizati
hold	brodsko skladiste
hold	drška
hold	držanje
hold	držati
hold	obuzdati
hold	obuzdavanje
hold	održavati
hold	posjed
hold	posjedovati
hold	sadržavati
hold	spriječiti
hold	vjerovati
hold	zadržati
hold	zadrži
hold	zadržite
hold	zauzimanje
holdall	putna vreća
holdall	ranac
holder	držalac
holder	imalac
holder	imatelj
holder	posjednik
holder	zakupnik
holding	držala
holding	holding
holding	paket
hole	izdubiti
hole	izdubljen
hole	jama
hole	rupa
hole	rupica
hole	ubušenje
holiday	blagdan
holiday	praznik
holiness	svetost
hollow	izdubiti
hollow	izgubljen
hollow	rupa
hollow	šupljina
holly	božikovina
hollyhock	vrtni sljez
holocaust	razaranje
holocaust	uništenje
hologram	hologram
holography	holografija
holster	kubura
holy	sveti
homage	poštovanje
home	boravište
home	dom
home	doma
home	domaći
home	domaćom
home	domovina
home	kuća
home	kućna
home	kućni
home	kućno
home	stan
home	unutarnjih
home	unutrašnji
homeland	domovina
homeland	domovine
homeland	domovini
homelessness	beskućništvo
homely	domaćem
homely	jednostavan
homely	prost
homemade	domaće
homeward	kući
homework	domaća zadaća
homework	zadaća
homicide	ubojica
homicide	ubojstvo
