malfunction	pogrešno funkcioniranje
malice	mržnja
malice	pakost
malice	zloba
malice	zlobnost
malice	zlonamjernost
malicious	zloban
malicious	zlonamjeran
maliciously	zlonamjernost
malign	klevetati
malign	zloban
malign	zloćudan
malign	štetan
malignant	neprijateljski
malignant	poguban
malignant	zloban
malignant	zloćudan
malignant	zlurad
malinger	simulirati
mallard	divlja patka
malleable	kovan
malleable	popustljiv
malleable	rastegljiv
mallet	drveni malj
mallet	malj
mallet	čekić od drveta
malnutrition	loša ishrana
malnutrition	neishranjenost
malnutrition	pothranjenošću
malt	slad
malt	sladni
malt	stavljati slad
maltreatment	zlostavljanje
mama	majka
mama	mama
mamma	mama
mammal	sisar
mammal	sisavac
mammal	sisavci
mammalian	sisavci
mammoth	mamut
mammoth	ogroman
man	kružić
man	mornari
man	muškarac
man	muž
man	pješak
man	radnik
man	ratni brod
man	sluga
man	snabdjeti ljudstvom
man	utvrditi
man	vojnici
man	čovjek
man	čovjeka
manacle	lisice
manacle	nataći lisice
manacle	ometati
manacle	praviti smetnje
manacle	prepreke
manacle	ručni okovi
manacle	smetnje
manage	nadgledati
manage	obavlja
manage	obuzdavati
manage	omogućiti
manage	provesti
manage	provesti u djelo
manage	rukovati
manage	rukovoditi
manage	snaći se
manage	udesiti
manage	upravljanje
manage	upravljati
manage	uspjeti
manage	voditi
management	direkcija
management	gospodarenje
management	menadžment
management	menedžment
management	poslovno vodstvo
management	poslovodstvo
management	rukovanje
management	rukovodstvo
management	rukovođenje
management	uprava
management	upravljanja
management	upravljanje
management	upravljanju
management	vodstvo
management	vođenje
management	vođenje poslovanja društva
manager	direktor
manager	gazda
manager	gospodar
manager	menadžer
manager	program koji upravlja sustavom
manager	ravnatelj
manager	rukovalac
manager	rukovoditelj
manager	upravitelj
manager	upravnik
manager	voditelj
manager	voditeljica
manager	šef
managerial	menadžerska
managerial	upraviteljski
managerial	voditeljski
mandate	mandat
mandate	mandatom
mandate	nalog
mandate	ovlaštenje
mandatory	obavezan
mandatory	obaveznog
mandatory	prinudan
mandatory	punomoćni
mandible	donja čeljust
mandible	vilica
mane	griva
manful	muški
manful	muževan
manful	odlučan
manful	odvažan
manful	srčan
manganese	mangan
mange	šuga
manger	jasle
manger	korito
mangle	komadati
mangle	sakatiti
mangle	sjeći
mangle	valjati rublje
mango	mango
mangy	otrcan
mangy	prljav
mangy	šugav
manhole	otvor za pisma
manhole	provlaka
manhole	vratašca u pod
manhood	hrabrost
manhood	muževnost
manhood	srčanost
manhood	zrelost
mania	manija
maniac	luđak
maniac	manijak
manicure	manikerka
manicure	manikiranje
manicure	manikirati
manicure	njega ruku
manifest	dokazivati
manifest	izdati proglas
manifest	jasan
manifest	manifestirati
manifest	objaviti
manifest	objelodaniti
manifest	očevidan
manifest	očigledan
manifest	očit
manifest	očituje
manifest	pokazati se
manifestation	manifestacija
manifestation	pojavnost
manifestation	pokazivanje
manifestation	proglašenje
manifestly	očito
manifesto	manifest
manifold	cjevovodi
manifold	kopija
manifold	mnogobrojan
manifold	mnogostruk
manifold	prijepis
manifold	raznolik
manipulate	krivotvoriti
manipulate	manipulirati
manipulate	pomiješati karte
manipulate	rukovati
manipulate	udešavati
manipulate	vješto rukovati
manipulation	manipulacija
mankind	ljudski rod
mankind	čovječanstva
mankind	čovječanstvo
manliness	muževnost
manliness	odvažnost
manly	hrabar
manly	muškobanjast
manly	srčan
manna	duševna hrana
manna	mana
mannequin	lutka krojačka
mannequin	namještenica
manner	manira
manner	način
manner	običaj
manner	ponašanje
manner	stav
manner	vladanje
mannerism	manirizam
mannerism	osobenost stila
