papaya	papaja
paper	dokumenti
paper	mjenice
paper	novine
paper	obložiti
paper	papir
paper	papira
paper	papirna
paper	papirnati
paper	papiru
paper	presvući papirom
paper	presvući tapetama
paper	rad
paper	tapecirati
paper	časopis
paperwork	administriranje
paprika	paprika
par	jednakost
par	prvenstvo
par	redovna vrijed
par	redovno stanje
par	u prvom redu
par	uglavnom
para	stavka
parable	alegorija
parable	parabola
parabola	parabola
parachute	padobran
parachute	padobranskog
parachutist	padobranac
parade	parada
parade	paradirati
parade	povorkom
parade	smotra
parade	svečanost
parade	vojna
parade	šetalište
parade	šetači
paradise	raj
paradise	treća galerija
paradox	paradoks
paradoxically	paradoksalno
paraffin	parafin
paraffin	parafinsko ulje
paragon	primjer
paragraph	kratak članak
paragraph	odlomak
paragraph	paragraf
paragraph	stavak
paragraph	znak paragrafa
paragraph	članak
parallax	paralaksa
parallax	vidni kut iz oka opažača prema udaljenom objektu
parallel	analogija
parallel	paralela
parallel	paralelan
parallel	paralelna
parallel	paralelni
parallel	paralelno
parallel	podudaranje
parallel	poklapanje
parallel	usporedan
parallel	usporedna crta
parallel	usporednica
parallel	usporednik
parallelism	paralelizam
parallelism	paralelnost
parallelism	usporednost
parallelogram	paralelogram
paralysis	paraliza
paralysis	uzetost
paralytic	paralitik
paralytic	uzet čovjek
parameter	parametarski
parameter	parametri
paramount	glavni
paramount	mjerodavan
paramount	najvažniji
paramount	najviši
paramount	vrhovni
paramour	ljubavnica
paramour	ljubavnik
parapet	ograda
parapet	parapet
parapet	prsobran
paraphernalia	nakit
paraphernalia	pribor
paraphrase	parafrazirati
paraphrase	prepričati
paraphrase	prepričavanje
parasite	gotovan
parasite	nametnik
parasite	parazit
parasitic	gotovanski
parasitic	parazitske
parasitic	parazitski
parasol	suncobran
parasympathetic	parasimpatički
paratroops	padobranska jedinica
parboil	djelomično
parboil	kuhati
parboil	popariti
parcel	količina robe
parcel	komad zemlje
parcel	odjeljak
parcel	omot
parcel	paket
parcel	parcela
parcel	podijeliti
parcel	pošiljka
parcel	razdijeliti
parcel	svežanj
parcel	zamotuljak
parcel	zemljište
parcel	čestica
parch	isušiti
parch	opeći
parch	opržiti
parch	spržiti
parch	sušiti
parchment	pergament
pardon	isprika
pardon	izvini
pardon	izvinuti
pardon	oprost
pardon	oprostiti
pardon	oproštaj
pardon	pomilovanje
pardonable	oprostiv
pare	oljuštiti
pare	podsjeći nokte
parent	izvor
parent	izvorni
parent	mati
parent	osnovni
parent	otac
parent	porijeklo
parent	predak
parent	prethodni
parent	roditelj
parentage	loza
parentage	porijeklo
parentage	srodstvo
parental	materinski
parental	očinski
parental	rodbinski
parental	roditeljski
parenteral	parenteralna
parenthesis	međuvrijeme
parenthesis	okrugla zagrada
parenthesis	zagrade
parenthetic	u zagradi
parenthetic	uklopljen
parenthetic	umetnut
parenthood	materinstvo
parenthood	očinstvo
parenthood	roditeljstvo
parish	okrug
parish	parohija
parish	župa
parish	župljani
parish	župna knjiga
parish	župne
parish	župni
parish	župnoj
parish	župu
parishioner	župljanin
parishioner	župljanka
parity	analogija
parity	jednakost
parity	način provjere točnosti poruke
parity	obračunski kurs
parity	paritet
parity	parnost
parity	sličnost
park	ograditi
park	ostaviti auto
park	park
park	parka
park	parkom
park	parku
park	perivoj
park	sakupiti
park	veliki vrt
park	visoravan
park	zasađivati
parlance	način govora
parley	dogovarati se
parley	konferencija
parley	pregovaranje
parley	rasprava
parley	raspravljati
parley	sastanak
parliament	parlament
parliament	sabor
parliament	saboru
parliament	skupština
parliamentary	parlamentaran
parliamentary	parlamentarne
parliamentary	parlamentarni
