redaction	redakcija
redbreast	crvendać
redden	bojiti crv boj
redden	ocrveniti
redden	pocrvenjeti
reddish	crvenkast
redecorate	dekorirati
redecorate	ukrasiti
redeem	iskupiti
redeem	isplatiti
redeem	ispuniti
redeem	izbaviti
redeem	nadoknaditi
redeem	naknaditi
redeem	osloboditi
redeem	popraviti
redeem	spasti
redeemable	otkupiv
redemption	isplata
redemption	otkup
redesign	preoblikovati
redirect	ponovno adresirati
redirect	preusmjeriti
redirect	upisati drugu adresu
redo	nanovo
redo	obnoviti
redo	ponoviti
redo	ponovno
redo	ponovo učiniti
redo	vrati
redo	vrati nazad
redolent	mirišljav
redouble	podvostručiti
redouble	pogoršati
redouble	udvojiti
redoubtable	opasan
redoubtable	strašan
redress	ispraviti
redress	naknada
redress	naknaditi
redress	pomoć
redress	popraviti
redress	zadovoljenje
redress	zagladiti
reduce	dovesti
reduce	natjerati
reduce	obratiti
reduce	pobijediti
reduce	podjarmiti
reduce	pokoriti
reduce	reducirati
reduce	skratiti
reduce	smanji
reduce	smanjiti
reduce	sniziti
reduce	svesti
reduce	umanjiti
reduce	umanjuje
reducer	reduktor
reducer	spoj između dvije cijevi različitog promjera
reducing	rduciranje
reducing	reduciranje
reducing	smanjenja
reducing	smanjenje
reducing	smanjivanje
reduction	dovođenje
reduction	podjarmljivanje
reduction	popust
reduction	povlastica
reduction	preobražaj
reduction	promjena oblika
reduction	redukcija
reduction	redukcijski
reduction	smanjenja
reduction	smanjenje
reduction	smanjivanja
reduction	snižavanje
reduction	sniženje
reduction	ugušivanje
reduction	umanjenje
redundancy	preopširnost
redundancy	redundancija
redundancy	suvišnost
redundancy	višak radnika
redundancy	zalihost
redundant	blagoglagoljiv
redundant	izlišan
redundant	opširan
redundant	prekomjeran
redundant	suvišan
reed	cijev
reed	pisak
reed	slama
reed	svirala
reed	trska
reed	šaš
reef	greben
reef	podvodni greben
reek	dim
reek	dimiti se
reek	neprijatni miris
reek	para
reek	pušiti se
reek	smrad
reek	smrdjeti
reek	čađ
reel	govoriti
reel	kalem
reel	kolebanje
reel	kotur
reel	namotaj
reel	namotati
reel	oklijevanje
reel	okretati se
reel	ples
reel	ruleta
reel	vitlo
reel	vrtjeti se
reel	zaljuljati se
reel	špula
reelection	reizbor
reexamine	ponovo istražiti
reexamine	preispitati
refer	navesti
refer	obratiti se
refer	odnositi se
refer	odnositi se na
refer	označavati
refer	pozivati se
refer	pozivati se na
refer	pozvati se na
refer	predati
refer	prikupiti
refer	priopćiti
refer	pripasti
refer	pripisati
refer	slati
refer	spomenuti
refer	spominjati
refer	uputiti
refer	uputiti na
referee	arbitražni sud
referee	sudac
referee	sudac (sport)
reference	aluzija
reference	nagovještaj
reference	napomena
reference	obavijest
reference	obraćanje
reference	odnos
reference	pozivanje
reference	preporuka
reference	referenca
reference	referencija
reference	referencu
reference	referentna
reference	referentne
reference	upućivanje
reference	veza
referendum	referendum
referential	referencijalni
referral	upućivanje
refine	očistiti
refine	preraditi
refine	prečistiti
refine	pročistiti
refine	usavršiti se
refinement	istančanost
refinement	otmjenost
refinement	prerada
refinement	prečišćavanje
refinement	rafiniranje
refinement	uglađenost
refinement	usavršavanje
refinement	usklađivanja
refinery	rafinerija
refit	oprema
refit	popravak
refit	prepraviti
refit	prepravka
reflation	oživljavanje ekonomije
reflation	uzlet gospodarstva
reflect	baciti sjenku
reflect	iskazivati
reflect	odbijati
reflect	odbijati se
reflect	odraz
reflect	odraziti
reflect	odražavati
reflect	održavati
reflect	prikazivati
reflect	razmišljati
reflecting	odbijanja
reflection	mrlja
reflection	odbijanje
reflection	odbljesak
reflection	odjeka
reflection	odraz
reflection	odsjaj
reflection	prikaz
