brawl	žuborenje
brawny	mišićav
brawny	snažan
bray	njakati
bray	trubiti
brazen	bakarni
brazen	bestidan
brazen	bezobrazan
brazen	drzak
brazen	mesingan
brazenness	drskost
breach	interval
breach	kršenje
breach	napravilan prodor
breach	napraviti prodor
breach	povreda
breach	prekršaj
breach	prekršenje
breach	prelom
breach	prelomiti
breach	proboj
breach	probušiti
breach	prodor
breach	pukotina
breach	razmak
bread	hljeb
bread	kruh
bread	kruha
bread	krušni
breadboard	maketa
breadboard	model
breadth	prostranstvo
breadth	širina
breadth	širina broda
breadth	širokogrudnost
breadth	širokogrudost
breadwinner	hranitelj
break	drobiti
break	kršiti
break	odmor
break	pauza
break	povrijediti
break	prekid
break	prekid struje
break	prekinuti
break	prekršiti riječ
break	prelom
break	prijelom
break	prijeloma
break	proboj
break	raskid
break	raskinuti
break	razbijati
break	razbiti
break	slomiti
break	u osvit dana
breakable	krt
breakable	loman
breakable	lomljiv
breakage	prelom
breakage	prijelom
breakage	proboj
breakdown	analiza
breakdown	havarija
breakdown	ispad
breakdown	ispostavljanje
breakdown	kidanje
breakdown	kvar
breakdown	neispravnost
breakdown	odlučujući rez
breakdown	odlučujući rezultat
breakdown	otvaranje
breakdown	pokvariti se
breakdown	poremećaj u radu
breakdown	prekid
breakdown	proboj
breakdown	raspadanje
breakdown	razlaganje na dijelove
breakdown	razlomiti na dijelove
breakdown	raščlanjivanje
breakdown	slom
breaker	drobilica
breaker	isključivač
breaker	prekidač
breaker	val
breaker	veliki val koji se pretvara u pijenu
breakfast	doručak
breakfast	zajutrak
breaking	drobljenje
breaking	kočenje
breaking	lomni
breaking	prekid
breaking	prekidanje
breaking	prijelomni
breaking	raskid
breaking	razbijanje
breakneck	opasan
breakout	prebacivanje (veze na posrednika)
breakout	prespoj
breakthrough	prekid
breakthrough	probijanje
breakthrough	proboj
breakup	demontaža
breakup	prekid
breakup	prekidanje
breakup	raspad
breakup	raspadanje
breakup	razlaganje
breakwater	lukobran
breakwater	lučki nasip
breakwater	mol
breakwater	valobran
bream	deverika
bream	sinjac
breast	dojka
breast	dojke
breast	grudi
breast	njedra
breast	prednji dio
breast	prsi
breath	dah
breath	disanje
breath	disati
breath	izdisaj
breath	lahor
breath	vjetrić
breathe	disati
breathe	pirkati
breathe	udahnite
breathe	udahnuti
breathe	udisati
breather	odušak za zrak
breathing	disanje
breathless	zadihan
breathtaking	prekrasan
breathtaking	prekrasne
breeches	kratke hlače
breed	gajiti
breed	pariti
breed	pasmina
breed	pasmine
breed	pokoljenje
breed	rasa
breed	rasplođavati
breed	rasplođivati
breed	razmnožavati se
breed	roditi
breed	stvarati
breed	umnožavati
breed	vrsta
breeder	oplodni reaktor
breeder	uzgajatelj
breeding	odgoj
breeding	oplemenjivanje
breeding	oplodni
breeding	rasplođavanje
breeding	rasplođivanje
breeding	umnožavanje
breeding	uzgajanje
breeding	uzgoj
breeze	lahor
breeze	novost
breeze	obad
breeze	povjetarac
breeze	vijest
breeze	vjetrić
breezy	lahorast
breezy	svjež
breezy	veseo
breezy	vjetrovit
breezy	živahan
brethren	braća po Kristu
breviary	molitvenik
brevity	jezgrovitost
brevity	kratkoća
brevity	sažetost
brew	variti pivo
brew	zakuhati
brew	zakuhati (čaj)
brewer	pivar
brewery	pivara
brewery	pivovara
briar	kupina
briar	trn
briar	trnov žbun
bribe	mititi
bribe	mito
bribe	podmititi
bribe	podmićivanje
bribe	podmićivati
bribe	potplatiti
bribery	podmitljivost
bribery	podmićivanje
brick	cigla
brick	opeka
bricklayer	zidar
brickwork	zidanje ciglom
brickyard	ciglana
bridal	svadba
bridal	svadben
