brokerage	posredništvo
bromine	brom
bronchial	bronhijalne
bronchial	bronhijalni
bronchial	dušnikov
bronchitis	plućni katar
bronze	bronca
bronze	brončan
bronze	brončanog
bronze	prevlačenje broncom
bronze	prevlačiti broncom
brooch	broš
brooch	nakit
brood	izvesti male
brood	izvesti mlade
brood	leglo
brood	leglu
brood	ležati na jajima
brood	potomstvo
brood	turobne misli
brook	podnositi
brook	potok
brook	rječica
broom	mesti
broom	metla
broom	žutilica
broth	buljon
broth	goveđa supa
brother	brat
brother	redovnik
brotherhood	bratstva
brotherhood	bratstvo
brougham	kupe
brougham	vrsta kola
brow	obronak
brow	obrva
brow	vrh brijega
brow	čelo
browbeat	ulijevati strah
brown	mrk
brown	smeđ
brown	smeđa
brown	smeđe
brown	smeđi
brown	taman
brownie	kućni duh
brownie	pčelica
browse	brstiti
browse	letimični pregled
browse	listati
browse	pasti (travu)
browse	pregledati
browse	prelistati
browse	pretraživanje
browse	čitati bez plana
browser	preglednik
browser	preglednika
browser	program za pregledavanje (podataka)
browser	sustav za pregledavanje (informacijskog sadržaja)
brucellosis	bruceloza
bruise	izubijati
bruise	modrica
bruise	povreda
brunette	crnka
brunt	glavni udarac
brunt	težište
brush	kist
brush	kičica
brush	kontakt četkica
brush	kontaktna četkica
brush	četka
brush	četkanje
brush	četkati
brush	četkom
brush	žbun
brushwood	grmlje
brushwood	gustiš
brushwood	guštara
brushwood	pruće
brushwood	suho granje
brusque	grub
brusque	neposredan
brusque	otvoren
brusque	oštar
brutal	brutalan
brutal	grub
brutal	nečovječan
brutal	okrutan
brutality	grubost
brutality	okrutnost
brutality	zvjerstvo
brutally	nečovječno
brute	brutalan
brute	grub
brute	gruba
brute	nečovjek
brute	prost
bubble	balon
bubble	balona
bubble	balonu
bubble	ključanje
bubble	mjehur
bubble	mjehurić
bubble	pjenušati se
bubble	varka
bubble	vrenje
buccaneer	gusar
buccaneer	pirat
buck	brbljanje
buck	gurnuti
buck	hvalisanje
buck	kicoš
buck	mužjak
buck	samac (jelen)
buck	zbaciti
bucket	bujol
bucket	fah
bucket	jedinica memorije
bucket	jedinica memoriju
bucket	kabao
bucket	kanta
bucket	kašika
bucket	lopatica
bucket	sić
bucket	vedro
bucket	ćelija
bucket	čabar
bucket	žlica
buckeye	divlji kesten
buckle	ispupčenje
buckle	izvijati se
buckle	kopča
buckle	prikopčati
buckram	platno
buckshot	sačma
buckskin	jelenska koža
buckwheat	heljda
bud	oko
bud	pupoljak
bud	pupoljaka
buddy	prijatelj
budge	mrdnuti
budge	pomjeriti se
budge	preokrenuti se
budge	promeškoljiti
budgerigar	papigica
budget	budžet
budget	proračun
budget	proračuna
budgetary	budžetski
budgetary	proračunska
budgetary	proračunski
budgetary	proračunskim
budgie	papigica
buff	koža
buff	koža bika
buff	polirati
buff	usjajiti
buffalo	bivol
buffalo	bizon
buffer	bafer
buffer	brbljivac
buffer	buffer
buffer	međumemorija
buffer	međuspremnik
buffer	odbojnik
buffer	privremeni spremnik
buffer	zaštita
buffer	šupljoglavac
buffet	bife
buffet	izazva nesreću
buffet	izazvati nesreću
buffet	udarac
buffet	šamar
buffoon	lakrdijaš
bug	buba
bug	greška
bug	greška u programu
bug	kukac
bug	kvar
bug	nezgoda
bug	programska ili sklopovska pogreška
bug	stjenica
bug	taster
bug	tipka
buggy	dječija kolica
buggy	laka kola
buggy	mali vagonet
buggy	otvoren vagon
buggy	otvoreni vagon
bugle	lovački rog
bugler	trubač
build	forma
build	graditi
build	izgradila
build	izgradimo
build	izgraditi
build	izgradnja
build	izgradnje
build	kalup
