defray	snositi trošak
defrost	odlediti
defrost	odmrznuti
defrost	otopiti
deft	spretan
deft	umješan
defunct	mrtav
defunct	mrtvac
defunct	pokojnik
defy	izazivati
defy	prezirati
defy	prkositi
degeneracy	izrođenost
degenerate	degeneriran
degenerate	degenerirati se
degenerate	izrod
degenerate	izrođen
degeneration	degeneracija
degeneration	izrođenost
degradation	degradacija
degradation	lišavanje čina
degradation	pad
degradation	ponižavanje
degradation	propadanje
degradation	razgradnja
degrade	degradirati
degrade	razgraditi
degrade	spustiti se
degree	diploma
degree	mjera
degree	položaj
degree	stupanj
degree	stupnja
degree	čin
dehydration	dehidracija
deign	dopustiti
deign	udostojati
deity	bob
deity	božanstvo
dejection	malodušnost
dejection	utučenost
delay	odgađati
delay	odgoda
delay	odgoditi
delay	odlaganje
delay	odlagati
delay	odložiti
delay	odugovlačenje
delay	odugovlačiti
delay	otezanje
delay	prepreka
delay	zadrška
delay	zadržavanje
delay	zakašnjenje
delay	zastoj
delay	zatezanje
delay	zatezati
delectable	prijatan
delegate	delegat
delegate	delegirati
delegate	izaslanik
delegate	ovlastiti
delegate	poslanik
delegation	delegacija
delegation	izaslanstvo
delegation	misija
delegation	poslanstvo
delete	brisanje
delete	brisati
delete	izbrisati
delete	obrisati
delete	poništiti
delete	prebrisati
delete	precrtati
delete	ukloniti
deletion	brisanje
deletion	izbacivanje
delft	keramika
deliberate	namjeran
deliberate	odmjeren
deliberate	pomišljati
deliberate	promišljen
deliberate	razmišljati
deliberate	savjetovati se
deliberate	spor
deliberate	svjestan
deliberate	vijećati
deliberately	promišljeno
deliberation	dogovor
deliberation	prosuđivanje
deliberation	razmišljanje
deliberative	dogovoran
delicacy	delikatesa
delicacy	nježan
delicacy	prefinjenost
delicacy	profinjenost
delicate	delikatan
delicate	nježan
delicate	osjetljiv
delicate	prijatan
delicate	profinjen
delicate	ugodan
delicatessen	delikatesna radnja
delicatessen	poslastice
delicious	bajan
delicious	divan
delicious	mio
delicious	prijatan
delicious	sladak
delicious	slastan
delicious	ukusan
delight	naslada
delight	oduševiti se
delight	očarati
delight	radovati se
delight	uživanje
delight	uživati
delight	veselje
delight	zadovoljstvo
delimit	omeđiti
delimitation	razgraničavanje
delineate	ocrtati
delineate	predstaviti
delineation	identificiranje
delineation	opisivanje
delineation	prepoznavanje
delinquency	delinkvencija
delinquency	greška
delinquency	krivica
delinquency	prestup
delinquency	prijestupništvo
delinquency	propust
delinquency	zločin
delinquent	delinkvent
delinquent	zločinac
delirious	bunovan
delirium	bunilo
delirium	delirij
delirium	ludilo
deliver	dostaviti
deliver	isporučiti
deliver	isporučivati
deliver	isporučujemo
deliver	izdati
deliver	izručiti
deliver	osloboditi
deliver	predati
deliver	uručiti
delivery	doprema
delivery	dopremiti
delivery	dostava
delivery	isporuka
delivery	isporuke
delivery	isporučuje
delivery	izručenje
delivery	otpremne
delivery	otpremni
delivery	otpremničke
delivery	otpremnički
delivery	porođaj
delivery	povjeravanje
delivery	povjeravanju
delivery	predaja
dell	klanac
dell	uska dolina
delta	delta (grčki)
delta	ušće
delta	ušće (rijeke)
deltoid	deltoidni mišić
delude	obmanuti
delude	varati
delude	zavesti
deluge	potop
deluge	potopiti
delusion	iluzija
delusion	obmana
delusion	prijevara
delusion	zabluda
deluxe	luksuzan
deluxe	raskošan
delve	prekapati
delve	rupčaga
demagogue	demagog
demagogy	demagogija
demand	pitanje
demand	pitati
demand	potražnja
demand	potreba
demand	poziv
demand	tražiti
demand	tražnja
demand	upit
demand	zahtijevati
demand	zahtjev
demanding	zahtjevan
demanding	zahtjevnom
demarcation	razgraničavanje
demean	ponašati se
dementia	senilnost
demerit	defekt
