gully	132-1881-B
gulp	132-1898-B,132-1913-B
gum	132-1933-B,132-1943-B,132-1952-B,132-1964-B,132-1977-B,132-1997-B
gumption	132-2017-B
gun	132-2041-B,132-2052-B,132-2065-B
gunboat	132-2073-B
gunfire	132-2093-B
gunpowder	132-2110-B
gunshot	132-2126-B
gurgle	132-2147-B
gush	132-2163-B,132-2178-B,132-2194-B
gust	132-2207-B,132-2225-B,132-2238-B,132-2255-B
gusto	132-2273-B,132-2288-B
gusty	132-2299-B,132-2311-B
gut	132-2334-B,132-2346-B
gutter	132-2356-B,132-2374-B,132-2386-B,132-2401-B
guttural	132-2423-B
guy	132-2439-B,132-2456-B,132-2485-B,132-2495-B
gym	132-2507-B,132-2543-B,132-2558-B,132-2571-B
gypsum	132-2590-B,132-2602-B
haberdashery	132-2615-B
habit	132-2642-B,132-2655-B,132-2669-B,132-2682-B
habitable	132-2696-B,132-2712-B
habitat	132-2746-B,132-2768-B,132-2790-B
habitation	132-2808-B,132-2824-B
habitual	132-2846-B,132-2864-B,132-2881-B
habituation	132-2901-B
hack	132-2925-B,132-2942-B
hacker	132-2952-B,132-2965-B
hackney	132-3019-B
had	132-3040-B,132-3050-B,132-3059-B,132-3070-B
haddock	132-3080-B,132-3095-B
haemorrhage	132-3118-B,132-3142-B
haft	132-3164-B,132-3176-B
hag	132-3188-B,132-3197-B
haggard	132-3211-B,132-3227-B,133-0-B,133-16-B,133-31-B
haggle	133-50-B,133-69-B
hagiography	133-89-B
hail	133-114-B,133-124-B,133-138-B,133-156-B,133-167-B
hailstorm	133-180-B
hair	133-206-B,133-217-B,133-227-B,133-237-B
hairbrush	133-247-B
haircut	133-272-B,133-293-B
hairdresser	133-311-B
hairiness	133-330-B
hairy	133-350-B
hake	133-363-B
halcyon	133-375-B
hale	133-391-B,133-404-B
half	133-415-B,133-427-B,133-436-B,133-446-B,133-460-B,133-474-B,133-488-B
halfpenny	133-502-B
halftone	133-524-B,133-541-B
halibut	133-558-B
hall	133-580-B,133-593-B,133-606-B
hallucination	133-622-B
hallway	133-649-B,133-664-B
halo	133-683-B,133-704-B,133-715-B
halogen	133-728-B
halt	133-744-B,133-757-B,133-770-B,133-785-B
halter	133-797-B,133-812-B
halve	133-824-B
halyard	133-842-B,133-858-B
ham	133-871-B,133-882-B
hamburger	133-893-B,133-913-B
hamlet	133-966-B
hammer	133-979-B,133-993-B,133-1008-B,133-1033-B
hammock	133-1048-B
hamper	133-1075-B
hamster	133-1094-B
hand	133-1109-B,133-1119-B,133-1134-B,133-1148-B,133-1170-B,133-1183-B,133-1196-B,133-1208-B,133-1218-B,133-1232-B,133-1243-B
handbag	133-1254-B
handball	133-1268-B,133-1283-B
handbook	133-1300-B,133-1316-B,133-1336-B
handful	133-1356-B,133-1385-B,133-1402-B
handicap	133-1418-B,133-1435-B,133-1454-B,133-1471-B
handicraft	133-1488-B,133-1511-B,133-1535-B,133-1558-B
handkerchief	133-1580-B,133-1600-B,133-1622-B,133-1644-B
