brak	65-904-S,167-3409-B,168-183-S,169-279-B,326-2991-B
braka	97-3081-S,97-3135-S,167-3423-S,260-271-S
brakolomnik	9-1304-B
brakolomstvo	9-1347-B
braku	326-3004-B
brana	35-1661-B,83-1385-B,92-2671-B,110-972-B,153-2662-B,256-1799-B,272-1927-B,327-350-B
brancin	35-2514-B
brani	20-2139-S,222-2828-S
branic	132-851-B
branic kod nogometa	32-1358-B
branik	50-2444-B
branilac	35-2200-B
branitelj	10-614-B,20-2207-B,132-999-B
braniti	10-633-B,26-3068-B,86-1925-B,93-2655-B,210-12-B,217-336-B,222-2239-B,229-462-B,322-1618-B
braniti djelo	210-26-B
braniti se	117-2534-B
branje	206-3236-B
branjenje	165-1783-B
brasnjav	169-2245-B
brasno	116-1783-B,121-553-B,169-2067-B,188-206-S,328-2889-S
brasnom	169-2261-S
brat	49-493-B
bratanac	183-743-B
bratanica	184-1178-B
brati	127-977-B,134-914-B,206-2964-B,210-2411-B,231-1716-B
brati pecurke	180-338-B
bratic	78-1062-B
bratski	124-1208-B
bratstva	49-523-B
bratstvo	49-544-B
brava	162-1177-B
bravar	162-1355-B,164-1752-B
bravarska	162-1372-B
bravo	46-3013-B
brazda	92-2682-B,126-212-B,131-2459-B,245-785-B,245-1305-B,250-172-B,256-2513-B,324-2052-S
brazda na vodi	294-1820-B
brazdica	245-1058-B
brazgotina	253-1132-B,256-2525-B
brbljanje	32-688-B,49-1885-B,59-2898-B,126-1181-B,197-1009-B,207-950-B,215-614-B,215-683-B,230-1143-B,297-451-B,312-1406-B
brbljarija	59-2972-B,245-2290-B
brbljati	32-705-B,41-1700-B,59-2991-B,201-1424-B,296-103-B,332-2317-B
brbljav	296-207-B
brbljavica	165-398-B
brbljavost	127-165-B
brbljivac	41-2499-B,49-2749-B,230-1160-B,243-177-B,267-322-B,298-579-B
brdasce	184-2526-B
brdo	178-892-B,178-1168-B
brdovit	178-1393-B,317-1775-B
brdovit kraj	136-2449-B
brdske	178-1182-B
brdski	136-3082-B,178-1198-B
brdskog	136-3095-B
bregasta osovina	54-252-B
brektanje	197-3020-B,274-1403-B
breme	50-2760-B,51-0-B
bremena	51-13-B
bremenit	124-1337-B,216-728-B
bremenita	144-71-B
bremza	48-268-B
breskva	201-3313-B
breskve	201-3294-S
brest	105-350-B
breza	41-204-B
brezuljak	35-2266-B,136-3009-B,139-1576-B,156-196-B,178-863-B,178-903-B,184-2542-B,246-486-B
brezuljka	136-3025-B
brezuljkast	136-3109-B
brezuljku	136-3041-B
brid	103-388-B
briga	19-3785-B,29-294-B,45-1881-B,55-1652-B,70-837-B,96-1109-B,135-1726-B,235-2606-B,310-1469-B,331-1940-B
brigada	48-705-B,282-3290-B,297-1587-B
brige	70-851-B,276-172-B
brigu	55-1663-B
brijac	35-497-B,230-2197-B
brijacnica	35-571-B
brijanje	263-1685-B
brijati	263-1700-B
brijati se	263-1714-B
brijeg	53-3069-B,136-3057-B
brijeg u moru	140-804-S
brijega	49-623-S
brijegu	136-3069-B
brijest	105-360-B
briket	53-153-B
brilijant	48-1223-B
briljantan	48-1243-B
brine	55-1674-B
brinuti	55-1685-B,133-2859-B,331-1952-B
brinuti se	28-3455-B,55-1698-B,173-1007-B,264-220-B,331-1966-B
brisac	109-3820-B,168-2415-B,330-56-B
brisalo	109-3805-B
brisanje	54-822-B,87-1222-B,87-1355-B,103-2087-B,109-3743-B,109-3835-B,241-1260-B,248-2162-S,248-2199-S,281-2123-B,294-847-B,328-1832-B,330-14-B
brisati	54-628-B,62-3333-B,87-1238-B,100-3099-B,109-3758-B,177-409-B,248-2003-B,263-1731-B,330-28-B
brisati spuzvom	281-2139-B
britanski kovani novcic	301-2650-B
britva	41-2532-B,230-2211-B
brizan	55-2087-B,276-59-B
brizljiv	4-4236-B,29-525-B,55-2103-B,184-278-B,215-2362-B
brizljivo	55-2227-B
brizljivost	4-4119-B
brizno	215-2496-B
briznost	29-310-B
brk	298-2660-B
brk samarice	132-2439-B
brkati	71-3041-B
brljati	83-658-B
brlog	88-1186-B
brnjicu	180-2188-S
brod	1-3622-S,2-1644-S,8-2118-S,36-2131-S,36-2176-S,39-792-S,43-2252-B,54-3276-S,55-1863-S,59-2505-S,69-3888-S,99-3155-S,120-467-S,122-1530-B,126-2660-S,139-256-S,155-202-S,157-2975-S,161-260-S,161-280-S,161-314-S,166-844-S,176-1820-S,213-1648-S,223-1930-B,250-2334-B,256-1698-S,263-2633-S,264-1777-B,264-1879-S,264-2619-S,269-339-S,278-543-S,278-597-S,298-2091-S,298-2109-S,298-2172-S,306-2089-S,307-658-S,308-3628-S,321-2336-B,325-2019-S,326-98-B,332-112-S
brod cisterna	296-1794-B
brod kitolovac	327-1966-B
brod nosen strujama i vjetrovima	9-394-B
brod sa duplim ili trostrukim trupom	56-2600-B
brod tegljac	311-1195-B
brod u floti	120-492-S
brod u stanju da sigurno moze ploviti i prevoziti	257-851-B
brod uz brod	2-1644-B
brod za jaruzanje	99-3278-B
brod za krstarenje	80-2854-B
brod za lov t	256-2423-B
brod za prijelaz preko kanala	117-3121-S
brod za prijelaz preko rijeke	117-3167-S
brod za prijevoz nafte	296-1815-S
brod za prijevoz ugljena	66-157-B
brod za robove	271-203-B
brod za vucu	311-1213-B
brod zbog popravka	55-1883-S
