prenosi na	297-3735-S
prenositi	221-1757-B,237-1404-B,307-1890-B,308-796-B,308-1855-B
prenositi na radiju i tv	48-2433-B
prenositi podatke	67-2185-B
prenosiv	27-801-B,183-145-B,213-997-B,307-2062-B,307-3908-B
prenosivo sidreno vitlo	78-2364-B
prenosivost	213-955-B
prenosljiv	307-2084-B,308-394-B
prenosljivi	308-2077-B
prenosljivost	307-2031-B
prenuti se	285-1080-B
preobilje	112-897-B
preoblikovati	234-363-B,235-522-B,241-1446-B
preobracenje	75-1900-B
preobratiti	75-2010-B
preobratiti se	312-90-B
preobrazaj	234-1296-B,307-2493-B,322-343-B
preobrazbe	307-2467-B
preobrazen	235-3258-B
preobrazenje	307-2204-B
preobrazimo	307-2256-B
preobraziti	307-1323-B,307-2278-B,308-1099-B
preobuci	94-4164-B
preokrenuti	244-603-B,294-2039-B
preokrenuti se	49-2434-B
preokret	58-3212-B,244-408-B,244-2046-B,276-1300-B,276-2184-S,322-367-B
preopsiran	321-95-B
preopsirnost	234-1532-B
preopterecenje	195-125-B,195-1659-B,293-811-B
preopterecenost	195-3872-B
preopteretiti	195-1636-B,195-3131-B,195-3642-B,293-787-B
preosjetljiv	169-1148-B,299-3035-B
preosjetljivost	140-217-B
preostali	204-2809-B,238-345-B,241-2120-B,321-2599-B
preostali dio	33-1913-B,238-283-B
preostao	189-2461-B
preostati	159-253-B,238-205-B
prepad	122-1201-S,122-1227-B,148-3677-B,228-1754-S,228-1776-B,294-2554-B
preparat	171-1718-S,216-2060-B
prepecen	195-507-B
prepecenac	304-270-B
prepelica	226-865-B
prepelicar	211-2118-B
prepelice	199-3566-S
prepirati se	23-3064-B,133-69-B
prepirka	15-2356-B,23-3313-B,40-88-B,74-802-B,75-569-B,96-860-B,226-2199-B,248-1620-B,281-1676-B,282-3215-B,331-2744-B
prepisati	8-1259-B,76-1126-B,244-2568-B,307-1346-B
prepisati podatke pohranjene u me	244-2509-S
prepisati preko	195-3916-B
prepisivanje	307-1508-B
prepisivanje memorije	101-1160-B
prepiska	76-3564-B
preplanulost	296-979-B
preplanuo	296-996-B
preplasiti	253-1480-B
preplaviti	120-3057-B,195-768-B,195-3766-B
preplesti	150-4135-B
preplet	308-2553-B
prepoloviti	41-548-B
prepona	35-2100-B,91-3856-B,131-2371-B,139-2123-B,286-1831-S
prepone	131-2385-B
preporod	244-1610-B
preporoditelja	120-276-B
preporoditi	235-3281-B
preporuciti	10-314-B,66-3326-B,232-4020-B,236-476-B,291-2883-B
preporucivati	232-4043-B
preporucljiv	9-2499-B,10-216-B
preporucuju	232-4068-B
preporuka	200-1346-B,233-69-B,234-2722-B,299-2601-S
preporuka itu	233-94-B
preporuku	232-3932-S
prepotentan	19-1610-B
prepoznati	140-2094-B
prepoznatljiv	90-2990-B,96-3767-B
prepoznatljivi dio cjeline	104-3042-B
prepoznavanja	232-3554-B
prepoznavanje	87-2373-B,140-1884-B,140-2114-B,232-3580-B
prepoznavanje govora	279-2731-B
prepraviti	233-758-B,234-3282-B,238-1638-B
prepravka	234-3299-B,235-543-B
prepreden	23-1004-B,25-784-B,81-2555-B,266-45-B,272-2681-B,291-926-B,309-2833-B,329-1639-B
prepredenjak	98-487-B
prepreka	8-3553-B,33-2729-B,35-1675-B,35-2116-B,60-189-B,83-1418-B,87-912-B,92-2716-B,99-2620-B,137-34-B,160-2826-B,189-0-B,189-327-B,242-2949-B,261-942-B,286-245-B,294-1554-S,307-528-B
prepreke	166-1021-B
prepreku	35-2133-B,313-2835-S
prepricati	198-1679-B,243-580-B
prepricavanje	135-615-B,198-1702-B
prepricavati	233-2052-B,243-116-B
preprijecit put	39-948-B
preprijeciti	34-3104-B,35-1994-B,83-1431-B,150-2214-B,189-240-B
preprodaji	240-3879-B
preprodati	241-310-B
preprodavac	84-2066-B
prepuniti	71-3506-B,78-3145-B,195-788-B
prepunjen	239-3224-B
prepustanje	1-403-B,58-1356-B
prepusten slucaju	9-474-B
prepustiti	1-261-B,2-1539-B,70-0-B,237-3521-B
prerada	6-3123-B,24-2255-B,219-1575-B,234-3091-B,251-825-B
preraditi	6-2893-B,219-1375-B,232-362-B,233-544-B,234-2970-B,235-2103-B,244-1457-B
prerano sazrio	215-2868-B
preranost	102-819-B
preraspodjela	96-128-B
prerasti	194-83-B
prerađevina	89-2367-B
prerađivanje	331-865-B
prerija	215-319-B
prerogativa	216-2824-B
prerusavanje	94-4183-B
prerusiti se	95-0-B,168-1273-B
presaditi	239-3124-B,308-1651-B
presanje	217-1334-B
presati	217-944-B
presati u bale	33-2528-B
presavijanje	331-2933-B
presavijati	38-2459-B
presađivanje	308-1753-B
presedan	38-2266-B
preseliti se	178-2568-B,304-0-B
preseljavanje	238-2244-B
preseljavati	236-2781-B
preseljavati se	172-2911-B
presicenost	293-1133-B
presijec	145-2122-S
presijecanje puta	71-2410-B
presijecanje putanje	82-2606-B
presijecati	80-1329-B,151-1878-B
presijecati put	71-2439-B
presing	217-1126-B
presititi	252-267-B
presjeci	82-2643-B,151-1790-B,283-860-B
presjeci putanju	151-1900-B
presjecnica	308-2653-B
presjedavajuci	58-1946-B
presjek	82-2631-B,151-2010-B,257-2530-B,296-2444-B
preskakanje nedozvoljenog poziva	150-2238-B
preskakati	229-323-B,270-945-B
preskakivati	158-2367-B
presklopite	294-2058-B
preskoci	270-974-B
preskociti	154-2101-B,270-989-B
preskok	41-3125-B,138-798-B,270-961-B
preslatko	164-561-B
preslika	76-1141-B,239-3288-B
preslikava putem mreze i uzrokuje	331-1825-S
preslikavanje	167-1414-B
preslusavanja	29-1139-S
presnimati	32-3053-B
presnimiti	32-3071-B
prespoj	47-1797-B
prespojnik	80-1504-B
presresti	150-2281-B,151-1928-B,326-1334-B
prest	309-1710-S
prestampavanje	240-1154-B
prestanak	58-1301-B,63-2942-B,68-4108-B,70-1909-B,106-3357-B,115-2564-B,156-1562-B,189-3059-B,299-743-B
prestanak napajanja strujom	41-2327-S
prestanak rasta	290-640-B
prestani	107-3451-B
prestanka	58-1321-B
prestao	57-1367-B
prestati	57-1381-B,57-1493-B,63-2958-B,90-988-B,94-1549-B,106-3371-B,115-2330-B,228-2784-B,288-230-B,299-473-B
prestati naredba	227-2030-B
prestati upotrebljavati	97-1371-B
presti	225-1714-B,280-1443-B
prestici	193-3236-B,194-1667-B,194-2505-B,195-1095-B,195-3040-B
prestiz	217-1419-B
prestiznog	217-1489-B
prestrasen	11-338-B,22-1353-B
prestrasiti	124-3233-B,299-1576-B
prestraviti	253-1498-B
prestravljen	11-3396-B
prestup	87-2465-B,112-914-B,309-1766-B
prestupnik	117-2081-B
presucivanje	241-689-B,241-892-B
presuda	8-77-B,23-734-B,70-2884-S,249-1034-B,259-3081-B,321-161-B
presuda sudska	70-2856-B
presudan	80-631-B,215-1646-B
presude	8-21-S
presuditelj	8-98-B
presuditi	8-0-B,23-597-B,85-1247-B,311-623-B
presudni	80-2470-B
presudno	80-649-B
presutan	295-1664-B
presutjeti	104-3543-B,174-3060-B
presutna suglasnost	5-2198-B
presutno	295-1695-B
presvijetlost	260-1665-B
presvlacenje	264-809-B
presvlaka	24-946-S,118-3120-S,266-1173-B
presvlake	317-1657-B
presvuci papirom	198-141-B
presvuci tapetama	198-165-B
pretakanje	307-2838-B
preteca	122-2578-B,215-3111-B
preteci	173-902-B,193-3258-B
preteci cinom	194-1453-B
pretegnuti	194-2634-B
pretek	114-4034-B,195-1277-B
pretenciozan	217-2010-B
pretendirati	217-1967-B
pretezni	216-2610-B
pretezno	15-911-B,165-1376-B,177-3056-B
preteznost	217-2560-B
prethistorijski	216-809-B
prethistorijsko	216-837-B
prethistorijskog	216-865-B
prethodan	122-1572-B,150-3909-B,217-3311-B,223-1403-B
