savjetnistvo	73-2891-B,73-3034-B
savjetodavac	176-1900-B
savjetodavan	10-430-B
savjetodavni	10-452-B
savjetodavno	10-474-B
savjetovaliste	77-1849-B
savjetovanja	71-1070-B
savjetovanje	10-151-B,27-1787-B,71-1094-B,73-3061-B
savjetovati	8-3400-B,10-352-B,77-1873-B,113-3851-B,232-4091-B
savjetovati se	71-850-B,73-2835-B,87-1519-B
savjetuju	233-0-B
savladan	273-1468-B
savladati	5-2397-B,14-1018-B,168-2053-B,194-3577-B,195-333-B,195-2146-B,195-3807-B,217-2450-B,293-580-B,293-1567-B
savlađivan	183-482-B
savlađivati	183-273-B
savova	256-2828-S
savovima	256-2846-S
savrsen	2-3108-B,73-3279-B,140-1421-B,203-3478-B,203-3723-B,263-2742-B,301-1503-B,318-2501-B
savrsena stvar	210-2784-B
savrsene	112-230-B
savrseniji	140-1436-B
savrseniji stupanj automatizacije	30-3358-S
savrseno	104-1346-B,203-3495-B,203-3796-B
savrsenost	207-2929-B
savrsenstvo	203-3634-B
sazalijeva	239-2296-S
sazaljenje	68-405-B,171-1787-B,208-1890-B,238-1893-B
sazaljevati	70-3793-B,208-1907-B,236-1240-B
sazaljiv	208-1735-B
sazet	48-511-B,68-941-B,70-1774-B,82-1127-B,182-1062-B,265-1289-B,291-1662-B,299-2073-B
sazeta rijec	74-2903-B
sazetak	3-897-B,242-3801-B,292-374-B
sazeti	65-2397-B,114-2638-B
sazeto izraziti	70-2989-B
sazetost	47-3125-B
sazidati	73-2018-B
sazimanje	67-3495-B,69-2730-B,266-866-B
saziv	26-2145-B,26-2671-B,71-3886-B,75-3063-B
sazivac	75-976-B
sazivanje	75-3081-B
sazivati	75-928-B
saznanje	65-804-B,94-2295-B,259-1824-B
saznati	119-915-B,155-538-B,156-357-B,158-2437-B
sazove	75-945-B
sazreo	246-272-B
sazreti	169-937-B,246-336-B,257-298-B
sazrijevanje	91-1523-B
sazrio	215-2868-S
sazvati	26-2352-B,75-960-B,233-1089-S
sazvijezđe	73-1034-B
sađenje	209-1264-B
scena	253-2522-B
scenarij	253-2388-B,255-3492-B
scenarij filma	255-3508-B
scene	283-3229-B
scenska dekoracija	253-2629-B
scepati	56-2978-B,130-3215-B,131-1974-B,258-2331-B,274-421-B
scvrsnuti	276-727-B
