aardvark	mravenečník
aback	překvapen
aback	vzadu
aback	zpět
abacus	počitadlo
abaft	dozadu
abaft	na zádi
abaft	na záď
abaft	vzadu
abaft	za
abandon	abandonovat
abandon	opouštět
abandon	opustit
abandon	vzdát se
abandon	zanechat
abandonment	opuštění
abandonment	zřeknutí se
abase	degradovat
abase	pokořit
abase	ponížit
abasement	pokoření
abasement	ponížení
abate	odečítat
abate	polevit
abate	rušit
abate	skoncovat s
abate	slábnout
abate	snížit
abate	stát se neplatným
abate	ustávat
abate	zastavit
abate	zmenšit
abate	zmenšovat
abate	zmírnit
abate	zmírnění
abate	zrušit
abatement	odečet
abatement	potírání
abatement	rabat
abatement	sleva
abatement	snížení
abatement	srážka
abatement	zastavení
abatement	zmenšení
abatement	zmírnění
abatement	zrušení
abatement	úleva
abattoir	jatky
abbacy	opatství
abbe	abbé
abbess	abatyše
abbey	budova opatství
abbey	opatství
abbot	opat
abbreviate	zestručnit
abbreviate	zkracovat
abbreviate	zkrátit
abbreviation	zkratka
abbreviation	zkrácení
abdicate	abdikovat
abdication	abdikace
abdomen	břicho
abdomen	zadeček
abdominal	abdominální
abdominal	břišní
abduct	unést
abduction	únos
abductor	únosce
abeam	ze strany
aberrant	aberující
aberrant	nenormální
aberrant	vyšinutý
aberration	aberace
aberration	odchylka
aberration	úchylka
abet	navádět
abet	ponoukat
abeyance	latentní stav
abeyance	nerozhodnutý stav
abhor	děsit se
abhor	ošklivit si
abhorrence	odpor
abhorrent	odporný
abide	dodržet
abide	dodržovat
abide	snášet
abide	snést
abide	strpět
abide	vydržet
abide	vystát
abide	vyčkat
ability	dovednost
ability	důvtip
ability	schopnost
ability	vlohy
ability	zdatnost
ability	způsobilost
ability	zručnost
abject	bídný
abjection	degradace
abjection	ponížení
abjection	skleslost
abjectly	bídně
abjuration	odvolání
abjure	odpřisáhnout
abjure	zříct se
ablate	odejmout
ablation	ablace
ablation	snesení
ablative	ablativ
ablative	ablační
ablaze	hořící
ablaze	planoucí
able	dovedný
able	nadaný
able	schopen
able	schopný
able	zdatný
ablution	mytí se
ably	dovedně
abnegate	vzdát se
abnegate	zříct se
abnegation	zřeknutí se
abnormal	abnormální
abnormal	nenormální
abnormal	výjimečný
abnormality	abnormalita
abnormality	abnormálnost
abnormality	nenormálnost
abnormality	nepravidelnost
abnormality	odchylka
abnormality	vada
abnormally	abnormálně
aboard	na palubu
aboard	na palubě
aboard	naloděn
aboard	v autobusu
aboard	ve vlaku
abode	bydliště
abolish	anulovat
abolish	odstranit
abolish	zrušit
abolition	zrušení
abolitionist	abolicionista
abominable	hnusný
abominable	odporný
abominable	ohavný
abominably	odporně
abominably	ohavně
abominate	děsit se
abominate	hnusit
abominate	ošklivit si
abomination	hnus
abomination	odpor
abomination	ohavnost
abomination	sprostota
aboriginal	domorodý
aboriginal	prapůvodní
aborigine	domorodec
abort	nezdařit se
abort	potratit
abort	překazit
abort	přerušit
abort	selhat
abort	zmařit
abort	zrušit
abortion	interrupce
abortion	interupční
abortion	potrat
abortion	přerušení
abortionist	doktor provádějící potrat
abortive	abortivní
abortive	nezdařený
abortive	neúspěšný
abound	hojně se vyskytovat
abound	oplývat
abound	překypovat
abound	přetékat
about	asi
about	dokola
about	kolem
about	kvůli
about	o
about	okolo
about	po
about	přibližně
about	sem tam
about	skoro
about	u
about	u sebe
above	nad
above	nade
above	nahoru
above	nahoře
above	přes
above	shora
above	shora uvedený
above	výše
above	výše uvedený
aboveground	nadzemní
