entree	právo vstoupit
entrench	etablovat
entrench	utvrdit
entrenchment	opevnění se zákopy
entrenchment	zákop
entrepreneur	podnikatel
entrepreneurial	podnikatelský
entrepreneurial	podnikavý
entropy	entropie
entrust	svěřit
entrust	svěřovat
entry	nástup
entry	přístup
entry	vstup
entry	zapsání
entry	zápis
entry	záznam
entry	údaj
entryway	vchod
entryway	vjezd
entwine	oplést se
entwine	ovinout se
entwine	proplést se
entwine	splést se
entwine	zaplést se
enumerable	počitatelný
enumerable	spočetný
enumerate	spočítat
enumerate	vypočítat
enumerate	vyčíslit
enumeration	enumerace
enumeration	vyjmenování
enumerator	enumerátor
enunciate	formulovat
enunciate	vyslovovat
enunciation	vyslovení
enunciation	výslovnost
enuresis	enuréza
enuresis	pomočování
envelop	obklopit
envelop	zabalit
envelop	zahalit
envelope	kryt
envelope	obal
envelope	obálka
enviable	záviděníhodný
envious	nepřející
envious	závistivý
enviously	závistivě
environ	obklopit
environment	okolní prostředí
environment	okolí
environment	prostředí
environment	životní podmínky
environment	životní prostředí
environmental	ekologický
environmental	environmentální
environmental	týkající se prostředí
environmentalist	ekolog
environmentally	ekologicky
envisage	konfrontovat
envisage	pojímat
envisage	předpokládat
envisage	předvídat
envisage	čelit
envision	představit si
envision	předvídat
envision	v duchu vidět
envoy	vyslanec
envy	závidět
envy	závist
enzymatic	enzymatický
enzyme	enzym
eon	věk
eon	věčnost
eosin	eozín
eosin	fluorescentní barvivo
epee	kord
ephedrine	efedrin
ephemera	jepice
ephemeral	jepičí
ephemeral	pomíjivý
ephemeral	prchavý
ephemerality	pomíjivost
ephemeris	efemerida
epic	epický
epic	epos
epical	epický
epicene	hermafrodit
epicene	hermafroditický
epicentre	epicentrum
epicranium	epikranium
epicure	labužník
epicure	požitkář
epicure	rozkošník
epicyclic	epicyklický
epidemic	epidemický
epidemic	epidemie
epidemiological	epidemiologický
epidemiologist	epidemiolog
epidemiology	epidemiologie
epidermal	epidermální
epidermis	pokožka
epidiascope	epidiaskop
epidural	epidural
epigastric	epigastrický
epigenesis	epigeneze
epigram	epigram
epigrammatic	epigramatický
epigraph	epigraf
epigraph	nápis např. na pomníku
epigraphy	epigrafie
epigraphy	epigrafika
epilepsy	padoucnice
epileptic	epileptik
epilogue	doslov
epilogue	epilog
epilogue	závěr
epinephrine	adrenalin
epinephrine	epinefrin
epiphany	zjevení
epiphenomenon	epifenomén
epiphenomenon	průvodní jev
epiphyseal	epifyzeální
epiphysis	epifýza
epiphyte	epifyt
epiphytic	epifytický
episode	epizoda
episodic	epizodický
episodic	občasný
episodically	epizodicky
epistemic	vědomostní
epistemological	gnozeologický
epistemology	gnozeologie
epistemology	teorie poznání
epistle	dlouhý dopis
epistle	epištola
epistolary	dopisový
epistolary	epistolární
epistolary	napsaný ve formě dopisů
epistolary	písemný
epitaph	epitaf
epitaph	náhrobní nápis
epithelial	epiteliální
epithelial	epitelový
epithelial	výstelkový
epithelium	epitel
epithelium	výstelka
epithet	přídomek
epitome	model
epitome	prototyp
epitome	stručný obsah
epitome	typický představitel
epitome	zhuštění
epitome	zkrácená verze
epitome	ztělesnění
epitomise	ztělesňovat
epitomize	představovat
epitomize	symbolizovat
epitomize	zestručnit
epitomize	zhustit
epitomize	ztělesňovat
epizootic	epizootický
epoch	epocha
epoch	éra
epochal	epochální
epochal	převratný
eponymous	eponymický
eponymous	eponymní
epos	epická báseň
epos	epos
epoxy	epoxid
epsilon	epsilon
equable	vyrovnaný
equal	rovnající se
equal	rovnoměrný
equal	rovnoprávný
equal	rovný
equal	sobě rovný
equal	stejný
equalisation	vyrovnání
equalise	vyrovnat
equaliser	ekvalizér
equaliser	vyrovnávač
equality	rovnocennost
equality	rovnost
equality	stejnost
equalization	kompenzace
equalization	rovnováha
equalization	vyrovnání
equalization	zrovnoprávnění
equalize	kompenzovat
equalize	rovnoměrně rozdělit
equalize	vyrovnat
equalize	vyrovnávat
equalizer	ekvalizér
equalizer	kompenzátor
equalizer	vyrovnávač
equally	rovnoměrně
equally	stejně
