fogey	staromódní člověk
foggy	mlhavo
foggy	mlhavý
foggy	zamlžený
foghorn	mlhová siréna
foible	slabůstka
foil	fólie
foil	zmařit
foist	vnucovat
folate	vitamín M
fold	násobek
fold	ohyb
fold	ovinout
fold	přehyb
fold	přehýbat
fold	překládat
fold	přelom
fold	přeložení
fold	skládat
fold	složit
fold	vrása
fold	zabalit
foldable	sklopný
foldaway	sklopný
foldaway	zaklapovací
folder	adresář
folder	desky
folder	pořadač
folder	složka
folder	šanon
folding	přehýbání
folding	rozkládací
folding	skládací
folding	skládání
folding	sklápěcí
foliage	listoví
foliage	listí
foliate	listnatý
foliate	listovitý
foliation	foliace
foliation	foliování
foliation	pučení listí
folie	šílenství
folio	folio
foliose	listnatý
foliose	lístkovitý
folk	lid
folk	lidi
folk	lidový
folk	lidé
folk	národní
folklore	folklor
folklore	folkloristika
folklore	folklorní
folklore	folklór
folksy	lidový
folksy	přátelský
follicle	míšek
follicular	folikulární
follies	hlouposti
follies	pošetilosti
follow	chápat
follow	dbát na
follow	dodržovat
follow	doprovázet
follow	držet se
follow	následovat
follow	provázet
follow	sledovat
follow	stopovat
follow	uposlechnout
follow	vyplývat
follow-on	situace v kriketu
follow-through	dokončení akce
follow-through	dotažení akce
follow-up	navazující
follow-up	navázání
follow-up	pokračování
follow-up	přešetření
follow-up	vyšetření
follower	následovník
follower	přívrženec
follower	stoupenec
following	následování
following	následující
following	publikum
folly	pošetilost
foment	podněcovat
fond	laskavý
fond	milující
fond	příjemný
fondant	fondán
fondant	fondánový
fondle	hladit
fondle	mazlit
fondly	naivně
fondly	zamilovaně
fondness	slabost
fondness	záliba
fondue	fondue
font	font
font	písmo
food	jídlo
food	pokrm
food	potrava
food	potravina
food	potraviny
food	strava
foodstuff	potravina
foodstuff	potraviny
fool	blázen
fool	bláznit
fool	hlupák
fool	pošetilec
fool	trouba
fool	vůl
foolhardiness	ztřeštěnost
foolhardy	nerozumný
foolhardy	ztřeštěný
foolish	bláhový
foolish	hloupý
foolish	nerozumný
foolish	pošetilý
foolishly	pošetile
foolishness	pošetilost
foolproof	blbuvzdorný
foolproof	robustně navržený
foolproof	spolehlivý
foolproof	zabezpečený
foolscap	druh rozměru papíru
foolscap	čepice šaška
foot	chodidlo
foot	nožní
foot	uhradit
foot	zaplatit
foot	úpatí
footage	délka měřená ve stopách
footage	stopáž
footage	záznam
football	americký fotbal
football	fotbal
football	fotbalový
football	kopací míč
football	kopaná
football	míč
footballer	fotbalista
footboard	stupačka
footboard	stupátko
footbridge	lávka
footer	chodec
footfall	zvuk chůze
foothill	předhůří
foothold	opora
foothold	základ
footing	pata
footing	podklad
footing	postavení
footing	součet
footing	základ
footloose	bez závazků
footman	sluha
footnote	anotace
footnote	poznámka pod čarou
footnote	vysvětlivka
footpad	lapka
footpath	pěšina
footpath	stezka
footplate	stupátko
footprint	stopa
footprint	šlápota
footprint	šlépěj
footrest	opěra pro nohu
footrest	stupačka
footsore	mající bolavé nohy
footstep	stopa
footstep	šlépěj
footstool	podnožka
footstool	stolička pod nohy
footwear	obuv
footwork	práce nohou
fop	elegán
fop	floutek
foppish	fintivý
foppish	parádivý
for	k
for	na
for	neboť
for	o
for	pro
for	protože
for	za
forage	drancovat
forage	krmivo
forage	shánět
foramen	otvor
foray	nájezd
forbear	zdržet se něčeho
forbearance	shovívavost
forbearance	snášenlivost
forbearance	tolerance
