frogman	potápěč
frolic	dovádět
frolic	legrace
frolic	rozpustilost
frolic	žert
frolic	žertovat
from	od
from	ode
from	z
from	ze
frond	vějířovitý list
front	fasáda
front	fronta
front	frontální
front	líc
front	popředí
front	průčelní
front	průčelí
front	předek
front	předek vozidla
front	přední
front	přední strana
front	přední část
front	čelit
front	čelní
front	čelo
frontage	fasáda
frontage	průčelí
frontal	frontální
frontal	přímý
frontally	frontálně
frontier	hranice
frontier	hraniční
frontier	pohraniční
frontier	pohraničí
frontier	pomezí
frontiersman	hraničář
frontispiece	frontispis
frontispiece	přední průčelí
frost	jinovatka
frost	mráz
frost	ojínit
frost	pokrýt jinovatkou
frost	zmrazit
frostbite	omrzlina
frostily	chladně
frostily	mrazivě
frostiness	ledovost
frostiness	mrazivost
frosty	mrazivý
froth	pěna
froth	pěnit
frothy	zpěněný
frown	mračit
frown	zamračení
frown	zamračený
frowning	mračící se
frowning	zamračený
frowningly	zamračeně
frowsy	nepořádný
frozen	mražený
frozen	zamrzlý
frozen	zmrazený
frozen	zmrzlý
fructose	fruktóza
frugal	hospodárný
frugal	skromný
frugal	skrovný
frugal	střídmý
frugal	šetrný
frugality	šetrnost
frugally	hospodárně
fruit	ovoce
fruit	ovocnářský
fruit	ovocný
fruit	plod
fruit	teplouš
fruit	výsledek
fruitcake	biskupský chlebíček
fruiterer	ovocnář
fruitful	plodný
fruitfully	plodně
fruitfulness	plodnost
fruitfulness	úrodnost
fruitfulness	úspěšnost
fruition	schopnost plodit ovoce
fruition	zrealizování
fruitless	bezvýsledný
fruitless	marný
fruitless	neplodný
fruitlessly	bezvýsledně
fruitlessly	neplodně
fruity	ovocný
frump	ochechule
frumpish	nevkusně oblečený
frumpy	nevkusný
frustrate	frustrovat
frustrate	zklamat
frustrating	frustrující
frustration	frustrace
frustration	zklamání
fry	smažit
fry	usmažit
fryer	smažící osoba
frying	opékání
frying	smažení
frying	smažící
fuchsia	fuchsie
fuck	do prdele
fuck	ošoustat
fuck	šoustat
fuck	šoustání
fucker	parchant
fuckhead	blbec
fucking	posraný
fucking	zasraný
fuddle	opilost
fuddle	opít
fuddle	zmatek
fudge	podvádět
fudge	vymýšlet si
fuel	palivo
fuel	pohonná hmota
fuel	pohonná látka
fuel	pohonné hmoty
fuel	topivo
fug	dusno
fugal	fugální
fugitive	prchající
fugitive	uprchlík
fugitive	uprchlý
fugue	fuga
fulcrum	bod otáčení
fulcrum	osa otáčení
fulcrum	střed otáčení
fulfil	naplnit
fulfil	plnit
fulfil	splnit
fulfil	vyhovět
fulfil	vykonat
fulfil	vyplnit
fulfill	splnit
fulfill	vykonat
fulfillment	splnění
fulfilment	splnění
fulfilment	vyplnění
full	naplněný
full	obsazený
full	pln
full	plný
full	plně
full	zaplněný
full	zcela
full	úplný
full	úplně
full-blown	rozvinutý
full-blown	zralý
full-dress	vyžadující slušné oblečení
full-grown	dospělý
full-grown	plně vyvinutý
full-length	nezkrácený
full-page	celostránkový
full-scale	totální
full-size	nezmenšený
full-size	v plné velikosti
full-size	v životní velikosti
full-time	na plný úvazek
fullback	bek
fullback	obránce
fullness	plnost
fully	plně
fully	zcela
fully	úplně
fulmar	buřňák lední
fulminant	fulminantní
fulminant	výbušný
fulminate	fulminát
fulminate	horlit
fulminate	hřímat
fulminate	ostře kritizovat
fulsome	nechutný
fulsome	odpudivý
fulsomely	přehnaně
fumble	tápat
fumble	šmátrat
fume	dým
fume	dýmat
fume	kouř
fume	kouřit
fume	zuřit
fumigate	vydezinfikovat kouřem
fumigate	vykouřit
fumigation	dezinfekce
fumigation	fumigace
fumigation	vykuřování
fun	legrace
fun	zábava
function	fungovat
function	funkce
function	funkční
