gingerbread	perník
gingerly	opatrně
gingery	ryšavý
gingery	zrzavý
gingham	gingham
gingivitis	gingividita
gingivitis	zánět dásní
ginseng	ženšen
giraffe	žirafa
gird	obklíčit
girder	nosník
girder	traverza
girder	trám
girdle	opasek
girdle	podvazkový pás
girdle	pruh
girdle	pás
girl	dívka
girl	děvče
girl	holka
girl	služebná
girl	služka
girlfriend	milá
girlfriend	přítelkyně
girlhood	dívčí věk
girlish	dívčí
girlish	holčičí
girlishly	jako dívka
girlishness	dívčí chování
giro	žiro
girt	opásat
girt	pás
girt	připásat
girth	popruh
gist	jádro
gist	podstata
give	darovat
give	dej
give	dejte
give	dát
give	dávat
give	podat
give	poddajnost
give	poskytnout
give	poskytovat
give	povolit
give	pořádat
give	pružnost
give	předat
give	udělit
give	vyslovit
give	věnovat
give	způsobit
give-and-take	kompromis
give-and-take	kompromisní
give-and-take	vzájemné ústupky
giveaway	levný
giveaway	neúmyslné prozrazení
giveaway	prozrazení
giveaway	reklamní dar
giveaway	téměř zadarmo
given	dal
given	daný
given	dohodnutý
given	dán
given	stanovený
given	určený
giver	dárce
giving	dávající
gizmo	věcička
gizzard	předžaludek
glacial	ledovcový
glacial	ledový
glaciation	zalednění
glaciation	zledovatění
glacier	ledovec
glad	být rád
glad	potěšený
glad	potěšit
glad	potěšující
glad	radostný
glad	rád
gladden	potěšit
glade	místo v lese bez stromů
glade	mýtina
gladiator	gladiátor
gladiatorial	gladiátorský
gladiolus	gladiola
gladiolus	mečík
gladly	ochotně
gladly	rád
gladness	potěšení
gladness	radost
glamorize	idealizovat
glamorize	zkrášlit
glamorous	fascinující
glamorous	okouzlující
glamorous	přitažlivý
glamour	kouzlo
glamour	osobní kouzlo
glamour	přitažlivost
glamour	půvab
glamour	tělesný půvab
glamourous	kouzelně krásný
glance	lesk
glance	lesknout se
glance	pohled
glance	rychlý pohled
glance	třpyt
glance	třpytit se
gland	žláza
glandular	žlázový
glans	žalud penisu
glans	žalud poštěváčku
glare	záře
glare	zářit
glare	zírat
glaring	nápadný
glaring	oslňující
glaringly	křiklavě
glasnost	glasnost
glass	skelný
glass	sklenice
glass	sklenička
glass	sklenka
glass	skleněný
glass	sklo
glass	sklářský
glass	sklíčko
glass	zasklený
glasses	brýle
glassful	množství sklenice
glassful	plná sklenice
glasshouse	skleník
glasshouse	sklárna
glassmaker	sklář
glassware	skleněné výrobky
glassy	skelný
glassy	sklovitý
glaucoma	glaukom
glaucoma	zelený zákal
glaucous	ojíněný
glaze	glazovat
glaze	glazura
glaze	glazurovat
glaze	lesk
glaze	leštit
glazer	polévač
glazier	sklenář
gleam	blesknout
gleam	blyštit se
gleam	lesk
gleam	lesknout se
gleam	náznak
gleam	svit
gleam	třpyt
gleam	záblesk
gleam	záře
gleaming	lesklý
gleaming	zářící
glean	shromažďovat
gleaner	paběrkovač
glebe	církevní půda
glee	radost
gleeful	škodolibý
gleefully	škodolibě
glen	rokle
glen	soutěska
glen	strž
glib	výmluvný
glib	zlehčující
glibly	nenuceně
glibness	nenucenost
glibness	úlisnost
glide	klouzat
glide	plachtit
glider	kluzák
glider	větroň
glimmer	blikání
glimmer	jiskření
glimmer	problikávat
glimmer	třpyt
glimpse	letmo zahlédnout
glimpse	letmý pohled
glimpse	mihnout se
glimpse	nahlédnutí
glimpse	náznak
glimpse	spatřit
glimpse	zahlédnout
glimpse	zahlédnutí
glint	třpyt
glint	třpytit se
glissade	sjezd
glissando	glissando
glisten	lesknout se
glitch	porucha
glitch	závada
glitter	pozlátko
glitter	třpytit
glitter	třpytit se
