latest	poslední
latex	latex
lath	lať
lath	lišta
lathe	soustruh
lather	pěna
lather	pěnit
latish	trochu pozdě
latitude	prostor
latitude	rozsah
latitude	volnost
latitude	zeměpisná šířka
latitude	šíře
latitude	šířka
latitudinal	šířkový
latrine	latrína
latter	nedávný
latter	posledně jmenovaný
latter	pozdější
latter-day	moderní
latter-day	současný
latterly	nedávno
lattice	mříž
latticework	mřížovina
latticework	mřížoví
laud	chválit
laudable	chvalitebný
laudable	chválihodný
laudanum	laudánum
laudanum	opium
laudatory	pochvalný
laugh	legrace
laugh	pobavit se
laugh	psina
laugh	smát se
laugh	smích
laugh	zasmá¡ní
laughable	směšný
laughably	směšně
laugher	smíšek
laughing	smích
laughingly	směšně
laughter	smích
launch	odpálení
launch	odpálit
launch	odstartovat
launch	spouštět
launch	spustit
launch	vymrštit
launch	vypustit
launcher	raketomet
launching	spuštění
launching	vypuštění
launder	prát
launder	umýt
launder	vyprat
launder	vyčistit
launderette	prádelna
launderette	samoobslužná prádelna
laundress	pradlena
laundry	prací
laundry	prádelna
laundry	prádlo
laundryman	pracovník v prádelně
laureate	hodný nejvyššího ocenění
laureate	laureát
laureate	ověnčen vavřínem
laurel	bobek
laurel	vavřín
lav	záchod
lava	láva
lavage	výplach
lavatory	WC
lavatory	klozet
lavatory	toaleta
lavatory	umývárna
lavatory	záchod
lavender	levandule
lavish	plýtvat
lavish	štědrý
lavishly	marnotratně
lavishly	okázale
lavishly	štědře
lavishness	honosnost
lavishness	marnotratnost
lavishness	okázalost
lavishness	rozhazovačnost
law	pravidlo
law	právní
law	právní stav
law	právní řád
law	právo
law	zákon
law	řád
lawbreaker	osoba porušující zákon
lawful	legitimní
lawful	legální
lawful	zákonitý
lawful	zákonný
lawfully	legálně
lawfully	pravomocně
lawfully	právoplatně
lawfully	zákonně
lawfulness	zákonitost
lawfulness	zákonnost
lawgiver	zákonodárce
lawless	bezprávný
lawless	protiprávní
lawless	protizákonný
lawless	zločinný
lawlessness	nezákonnost
lawlessness	protiprávnost
lawmaker	zákonodárce
lawman	právník
lawn	pažit
lawn	trávník
lawsuit	proces
lawsuit	soud
lawsuit	soudní pře
lawsuit	soudní řízení
lawyer	advokát
lawyer	právní zástupce
lawyer	právník
lax	laxní
lax	ležérní
lax	nedbalý
laxative	laxativní
laxative	projímadlo
laxative	projímavý
laxity	laxnost
laxity	nedbalost
laxly	laxně
lay	brloh
lay	klást
lay	nezasvěcený
lay	nora
lay	pokládat
lay	poloha
lay	položit
lay	prostřít
lay	umístit
lay-by	odpočívadlo
layabout	povaleč
layer	poloha
layer	sloj
layer	vrstva
layer	úroveň
layette	výbava novorozence
laying	ležící
layman	laik
layman	neodborník
layoff	vysazení z práce
layoff	výluka
layoff	zastavení práce
layout	dispozice
layout	nákres
layout	návrh
layout	plán
layout	rozložení
layout	rozmístit
layout	rozmístění
layout	rozvržení
layout	uspořádat
layout	uspořádání
layout	vytyčení
layperson	zelenáč
lazar	chudák
lazar	lazar
lazar	malomocný
laze	lenošit
lazily	líně
laziness	lenost
lazuli	lazurit
lazy	lenivý
lazy	líný
lazy	zahálčivý
lea	louka
lea	lučina
lea	niva
lea	pastvina
leach	loužit
leach	vyluhovat
lead	být v čele
lead	být vůdcem
lead	dirigovat
lead	hlavní role
lead	iniciativa
lead	náskok
lead	olovnatý
lead	olovnice
lead	olovo
lead	olověný
lead	olůvko
lead	plomba
lead	přimět
lead	přivést
lead	přívod
lead	vedení
lead	vedoucí
lead	vodit
