murkily	temně
murkiness	temnota
murky	kalný
murky	ponurý
murky	temný
murky	šerý
murmur	mumlat
murmur	šepot
murmur	šum
murmurous	mumlavý
murrain	mor domácích zvířat
muscat	muškát
muscatel	muškát
muscle	sval
muscle	svalovina
muscle-bound	svalnatý
muscleman	svalovec
muscular	svalnatý
musculature	svalstvo
musculoskeletal	muskuloskeletální
musculoskeletal	týkající se svalů a kostí
musculus	sval
muse	dumat
muse	dumání
muse	múza
muse	přemítat
muse	uvažování
muse	zamyšlení
musette	malý batoh
museum	muzeum
mush	kaše
mushroom	houba
mushroom	houbový
mushroom	hřib
mushroom	žampión
mushy	kašovitý
music	harmonie
music	hudba
music	hudební
music	kompozice
music	muzika
music	noty
music	part
music	skladba
musical	hudební
musical	melodický
musical	muzikál
musical	muzikální
musical	zhudebněný
musicality	muzikálnost
musically	hudebně
musically	muzikálně
musician	hudebník
musician	muzikant
musicianship	muzikantství
musicological	muzikologický
musicologist	muzikolog
musicology	muzikologie
musingly	hloubavě
musk	pižmo
musket	mušketa
musketeer	mušketýr
musketry	mušketýři
musketry	střelba z mušket
muskrat	ondatra
musky	pižmový
muslin	mušelín
muss	chaos
muss	rozcuchat
mussel	slávka
mussy	nepořádný
mussy	v nepořádku
mussy	zaneřáděný
must	muset
must	musit
must	musí
mustache	knír
mustache	knírek
mustang	mustang
mustard	hořčice
mustard	hořčicový
muster	nahromadění
muster	sebrat
muster	shromáždit
muster	shromáždění
muster	vzor
mustiness	zatuchlost
musty	plesnivý
musty	zatuchlý
mutability	proměnlivost
mutable	nestálý
mutable	proměnlivý
mutagen	mutagen
mutagenesis	mutageneze
mutagenic	mutagenní
mutant	mutant
mutant	zrůda
mutate	mutovat
mutation	mutace
mutation	přeměna
mutation	změna
mutational	mutační
mute	dusítko
mute	neozvučený
mute	němý
mute	ztlumit
mutely	ztlumeně
muteness	odmítnutí mluvit
mutilate	zmrzačit
mutilation	zmrzačení
mutineer	vzbouřenec
mutinous	bouřící se
mutinous	vzpurný
mutiny	vzpoura
mutism	mutismus
mutt	psisko
mutter	brblat
mutter	brumlat
mutter	mručet
mutter	mumlat
mutter	zamručet
muttering	mručení
muttering	mumlání
mutton	skopové
mutton	skopový
mutual	oboustranný
mutual	oboustraný
mutual	společný
mutual	vzájemný
mutuality	vzájemnost
mutually	navzájem
mutually	vzájemně
muzzle	náhubek
muzzle	čenich
muzzle	čumák
muzzy	nejasný
muzzy	otupělý
my	moje
my	moji
my	má
my	mé
my	mí
my	můj
myalgia	myalgie
myalgia	svalová bolest
myasthenia	svalová slabost
mycelium	mycelium
mycelium	podhoubí
mycologist	mykolog
mycology	mykologie
mycoplasma	mykoplazma
myelin	myelin
myelin	tuk kolem nervového vlákna
myeloid	myeloidní
myeloma	myelom
mynah	druh asijského špačka
myocardial	myokardiální
myocardium	myokard
myoglobin	myoglobin
myopia	krátkozrakost
myopia	myopie
myopic	krátkozraký
myosin	myozin
myriad	myriáda
myriad	nesčetný
myrrh	myrha
myrtle	myrta
myself	já
myself	mně
myself	mě
myself	sebe
mysterious	tajemný
mysterious	tajuplný
mysterious	záhadný
mysteriously	záhadně
mystery	tajemství
mystery	záhada
mystic	mystický
mystic	mystik
mystical	mystický
mystical	tajemný
mystical	záhadný
mystically	mysticky
mysticism	mysticismus
mysticism	mystika
mystification	mystifikace
mystify	mystifikovat
mystify	oklamat
mystify	zmást
mystique	mystika
myth	báje
myth	mýtus
mythic	mytický
mythic	mýtický
mythical	mytický
mythical	mýtický
mythological	bájeslovný
mythological	mytologický
mythology	bájesloví
mythology	mytologie
