nominally	nominálně
nominate	jmenovat
nominate	nominovat
nominate	ustanovit
nomination	jmenování
nomination	nominace
nominative	nominativ
nominee	kandidát
non	ne
nonaggression	neútočení
nonagon	devítiúhelník
nonce	příležitostný
nonchalance	nonšalance
nonchalant	nonšalantní
nonchalantly	nonšalantně
noncommittal	nic neříkající
noncommittal	vyhýbavý
noncompliance	nevyhovění
nondescript	nepopsatelný
none	ani jeden
none	nikdo
none	žádný
nonentity	nebytí
nonessential	nepodstatný
nonesuch	jedinečný
nonetheless	nicméně
nonexistent	neexistující
nonfeasance	opominutí
nonfeasance	zanedbání povinností
nonfiction	literatura faktu
nonfiction	nebeletristický
nonhuman	nelidský
nonlinear	nelineární
nonparametric	neparametrický
nonpareil	nedostižný
nonpareil	neporovnatelný
nonpareil	nesrovnatelný
nonparty	bezpartijní
nonparty	nestranický
nonpayment	neplacení
nonpolitical	apolitický
nonpolitical	nepolitický
nonprofessional	neprofesionální
nonprofit	nevýdělečný
nonprofit	neziskový
nonsense	hloupost
nonsense	nesmysl
nonsense	nesmyslnost
nonsense	nesmysly
nonsense	pitomost
nonsense	pitomosti
nonsensical	nesmyslný
nonsmoker	nekuřák
nonspecific	nespecifický
nonspecific	neurčitý
nonstandard	nestandardní
nonstick	teflonový
nonstop	bez zastávky
nonstop	nepřetržitý
nonstop	nonstop
nonsuch	jedinečný
nonsuch	unikát
nonverbal	mimoslovní
nonverbal	mimoverbální
nonverbal	neslovesný
nonverbal	neverbální
nonviolence	nenásilí
nonviolent	nenásilný
noodle	hlupák
noodle	nudle
nook	kout
nook	koutek
nook	zákoutí
noon	poledne
noonday	poledne
noontide	poledne
noontide	zenit
noose	oběsit
noose	oprátka
noose	smyčka
nor	ani
noradrenaline	druh hormonu
noradrenaline	noradrenalin
norm	norma
normal	běžný
normal	normála
normal	normální
normal	obyčejný
normal	přirozený
normalcy	normální stav
normalisation	normalizace
normalise	normalizovat
normality	normalita
normality	normálnost
normalization	normalizace
normalize	normalizovat
normally	normálně
normative	normativní
north	sever
north	severní
northeast	severovýchod
northeast	severovýchodní
northeasterly	severovýchodní
northeastern	severovýchodní
norther	severák
northerly	severní
northerly	severně
northern	severní
northernmost	nejsevernější
northward	na sever
northward	severní
northward	severně
northwest	severozápad
northwest	severozápadní
northwesterly	severozápadní
northwestern	severozápadní
nose	nos
nose	příď
nose	rypák
nose	čenich
nose	čumák
nose	špička
nosebag	obročnice
nosebleed	krvácení z nosu
nosedive	letět střemhlav
nosegay	kytička
noseless	beznosý
nosey	nosatý
nosey	páchnoucí
nosiness	dotěrnost
nostalgia	nostalgie
nostalgia	stesk
nostalgic	nostalgický
nostalgically	nostalgicky
nostril	nosní dírka
nostril	nozdra
nostrum	všelék
nosy	nosatý
nosy	voňavý
not	ne
not	nikoli
notable	pozoruhodný
notable	vynikající
notable	význačný
notably	pozoruhodně
notary	notář
notation	notace
notation	poznámky
notation	zápis
notation	záznam
notch	vrub
notch	zářez
note	bankovka
note	lístek
note	melodie
note	nota
note	nóta
note	poznamenat
note	poznámka
note	směnka
note	tón
note	zpráva
notebook	diář
notebook	notebook
notebook	notes
notebook	poznámkový blok
notebook	zápisník
notepad	poznámkový blok
notepaper	dopisní papír
noteworthy	pozoruhodný
nothing	nic
nothingness	marnost
nothingness	nicota
nothingness	nicotnost
nothingness	prázdnota
notice	cedule
notice	návěští
notice	oznámení
notice	povšimnout si
notice	povšimnutí
notice	recenze
notice	upozornění
notice	výpověď
notice	všimnout si
notice	zahlédnout
notice	zpozorovat
noticeable	pozoruhodný
noticeably	pozoruhodně
notifiable	mající ohlašovací povinnost
notification	ohlášení
notification	oznámení
notification	upozornění
notification	uvědomění
notification	vyrozumění
notify	avizovat
notify	ohlásit
notify	oznámit
notify	uvědomit
notion	dojem
notion	pojem
