premenstrual	předmenstruální
premier	premiér
premiere	premiéra
premiership	období vlády premiéra
premise	premisa
premise	premise
premise	předpoklad
premiss	předpoklad
premium	náhrada
premium	odměna
premium	pojistné
premium	prémie
premolar	druh zubu
premolar	premolár
premonition	předtucha
premonition	zlá předtucha
premonitory	varovný
premonitory	výstražný
prenatal	prenatální
preoccupation	bezmyšlenkovitost
preoccupation	hlavní zájem
preoccupation	předpojatost
preoccupation	roztržitost
preoccupation	zaujatost
preoccupy	upoutat pozornost
preoccupy	zcela upoutat pozornost
preoperative	předoperační
prep	domácí úkoly
prep	přípravka
prep	přípravný
prepaid	předplacený
preparation	preparace
preparation	preparování
preparation	preparát
preparation	připravování
preparation	příprava
preparation	přípravek
preparation	přípravy
preparative	přípravný
preparatory	přípravný
prepare	chystat
prepare	nachystat
prepare	přichystat
prepare	připravit
prepare	připravovat
prepare	uchystat
preparedness	připravenost
prepayment	placení předem
prepayment	předplatné
preponderance	převaha
preponderant	převládající
preponderant	převážný
preponderantly	převážně
preposition	předložka
prepositional	předložkový
prepossession	předsudek
preposterous	absurdní
preposterous	nesmyslný
preposterously	absurdně
preposterously	směšně
prepuce	předkožka
prerequisite	náležitost
prerequisite	předpoklad
prerogative	privilegium
prerogative	privilegovaný
prerogative	přednost
prerogative	přednostní právo
prerogative	výsada
prerogative	výsadní
prerogative	výsadní právo
presage	předzvěst
presage	znamení
presbyter	presbyter
presbytery	fara
presbytery	presbytář
preschool	předškolní
prescience	jasnovidnost
prescience	jasnozřivost
prescribe	nařídit
prescribe	předepsat
prescribe	stanovit
prescription	lékařský předpis
prescription	předpis
prescription	recept
prescription	vydržení
prescriptive	nařizující
presence	prezence
presence	přítomnost
presence	vzezření
presence	zevnějšek
present	dar
present	darovat
present	dosavadní
present	dárek
present	nynější
present	poskytovat
present	prezentovat
present	představit
present	přítomen
present	přítomnost
present	přítomný
present	přítomný čas
present	skutečný
present	současnost
present	současný
present	trvající
present	věnovat
present-day	moderní
present-day	nynější
present-day	současný
presentable	pohledný
presentable	reprezentativní
presentable	reprezentační
presentation	podání
presentation	prezentace
presentation	představení
presentation	předvedení
presentation	předvádění
presentation	reklama
presentation	uvedení
presentational	představující
presentational	předvádějící
presenter	konferenciér
presentiment	předtucha
presently	aktuálně
presently	brzy
presently	momentálně
presently	nyní
presently	v současné době
presentment	podání
presentment	představení
presentment	předvedení
preservation	uchování
preservation	udržení
preservation	zachování
preservative	konzervační
preservative	ochranný
preserve	chránit
preserve	hájemství
preserve	hájit
preserve	marmeláda
preserve	rezervace
preserve	uchovat
preserve	udržovat
preserve	zachovat
preserve	zachránit
preserve	zavařenina
preserver	konzervátor
preserver	ochranář
preserver	restaurátor
preserving	konzervování
preserving	udržující
preserving	zachovávající
preset	předvolba
preset	předvolit
preside	předsedat
presidency	prezidentství
presidency	předsednictví
president	president
president	prezident
president	předseda
presidential	presidentský
presidential	prezidentský
presidium	prezidium
presidium	prezídium
presidium	předsednictvo
press	lis
press	lisovat
press	mandlovat
press	novináři
press	přitisknout
press	přitlačit
press	rekvizice
press	stisknout
press	stlačit
press	svírat
press	tisk
press	tisknout
press	tiskový
press	tlak
press	tlačenice
press	tlačit
press	tísnit
press	urgovat
press	utiskovat
press	vylisovat
press	zatlačit
press	zmáčknout
press	zmáčknutí
pressing	lisování
pressing	naléhavý
pressing	výlisek
pressingly	naléhavě
pressingly	neodkladně
pressman	novinář
pressman	žurnalista
pressure	lisování
pressure	nátlak
pressure	přítlak
pressure	stisk
