backcloth	jevištní pozadí
backdate	antedatovat
backdrop	horizont
backdrop	pozadí
backdrop	prospekt
backer	podporovatel
backer	stoupenec
backfire	mít opačný účinek
backgammon	vrhcáby
background	grafické pozadí
background	hudební kulisa
background	minulost
background	okolnosti
background	pozadí
background	původ
backhand	backhand
backing	opora
backing	podpora
backlash	odpor
backless	s hlubokým výstřihem
backlog	nedodělek
backpack	batoh
backpack	krosna
backpack	ruksak
backpacker	turista s batohem
backplate	podložka
backrest	opěradlo
backrest	opěradlo zad
backseat	zadní sedadlo
backside	rub
backside	zadek
backside	zadní strana
backslide	upadnout
backspace	backspace
backspace	backspace klávesa
backspace	krok zpět
backstage	zákulisní
backstage	zákulisí
backstairs	zadní schodiště
backstroke	znak
backtrack	pronásledovat
backtrack	stopovat
backup	záloha
backup	zálohovat
backup	zálohování
backup	záložní
backward	dozadu
backward	pozpátku
backward	zaostalý
backward	zpětný
backwardness	zaostalost
backwash	důsledky
backwater	stojaté vody
backwoods	zaostalý
backyard	dvorek
backyard	zadní dvůr
bacon	slanina
bacteria	bakterie
bacteria	baktérie
bacterial	bakteriální
bactericidal	baktericidní
bactericidal	ničící bakterie
bacteriological	bakteriologický
bacteriologist	bakteriolog
bacteriology	bakteriologie
bacteriophage	bakteriofág
bacteriophage	virus napadající bakterie
bacteriostatic	bakteriostatický
bacterium	bakterie
bacterium	baktérie
bad	pochybný
bad	vadný
bad	zkažený
bad	zle
bad	zlý
bad	špatný
badge	odznak
badger	jezevec
badger	sužovat
badger	trápit
badger	týrat
badger	škádlit
badinage	škádlení
badlands	neúrodná půda
badly	silně
badly	zle
badly	šeredně
badly	špatně
badminton	badminton
badness	zkaženost
badness	špatnost
baffle	mást
baffle	norná stěna
baffle	znemožnit
bafflement	zmatení
bag	brašna
bag	kabela
bag	kabelka
bag	nahrabat
bag	peněženka
bag	pytel
bag	pytlík
bag	sáček
bag	taška
bag	vak
bag	váček
bag	zavazadlo
bag	úlovek
bagatelle	bagatela
bagatelle	maličkost
bagatelle	minikulečník
bagel	slané pečivo
bagful	plný pytel
baggage	bagáž
baggage	fracek
baggage	zavazadla
baggage	zavazadlo
baggy	vydutý
bagman	cesťák
bagman	tramp
bagpipe	dudy
baguette	bageta
bail	kauce
bail	propuštění na kauci
bail	soudní kauce
bail	třmen
bail	záruka
bail	zástava
bailee	depozitář
bailee	opatrovník
bailee	uschovatel
bailiff	soudní vykonavatel
bailiwick	šafářství
bailment	deponování
bailment	depozice
bailment	depozitum
bailor	deponent
bailor	vkladatel
bailor	úschovce
bairn	dítě
bait	vnadidlo
baize	látka na kulečníkovém stolu
bake	péci
bake	péct
bake	upéci
bake	upéct
bake	vypalovat
bakehouse	pekárna
baker	pekař
bakery	pekařství
bakery	pekárna
baking	bankovnictví
baking	pečení
baking	vypalovací
baking	vypalování
baksheesh	bakšiš
baksheesh	spropitné
baksheesh	úplatek
balaclava	kukla
balalaika	balalajka
balance	balancovat
balance	bilance
balance	bilancovat
balance	harmonie
balance	porovnávat
balance	rovnováha
balance	rovnovážný stav
balance	rozvaha
balance	saldo
balance	srovnávat
balance	udržet rovnováhu
balance	vyrovnanost
balance	vyrovnat
balance	vyrovnání
balance	vyrovnávat
balance	vyvažovat
balance	vyváženost
balance	vyvážení
balance	vyvážit
balance	zůstatek
balance	účetní rozvaha
balancer	setrvačník
balancing	balancování
balancing	balancující
balancing	saldování
balancing	uzavírání účtů
balancing	uzávěrka
balancing	vyvažování
balancing	vyvážení
balbriggan	bavlněná látka
balcony	balkon
balcony	balkonový
bald	holohlavý
bald	holý
bald	lysý
bald	nepřikrášlený
bald	neskrývaný
bald	plešatý
bald	plešatět
balderdash	nesmysl
