prohibitionist	prohibicionista
prohibitive	prohibitivní
prohibitive	přemrštěný
prohibitive	zakazující
prohibitive	znemožňující
prohibitively	prohibičně
prohibitory	prohibitivní
prohibitory	prohibiční
project	navrhovat
project	návrh
project	plán
project	projekt
project	projektovat
project	promítat
project	promítnout
project	výzkumný úkol
projectile	projektil
projectile	střela
projecting	navrhování
projecting	plánování
projecting	projektování
projection	projekce
projection	promítnutí
projection	promítání
projectionist	promítač
projector	projektor
prolactin	druh hormonu
prolactin	prolaktin
prolapse	prolaps
prolapse	výhřez
proletarian	proletář
proletarian	proletářský
proletariat	proletariát
proliferate	množit
proliferate	množit se
proliferate	rozrůstat se
proliferate	rozšiřovat
proliferate	šířit
proliferation	bujení
proliferation	šíření
prolific	hojný
prolific	plodný
prolific	produktivní
prolix	zdlouhavý
prolixity	rozvláčnost
prologue	prolog
prologue	proslov
prologue	předehra
prolong	prodloužit
prolong	prolongovat
prolongation	prodloužení
prolongation	prolongace
prolongation	protáhnutí
prom	promenáda
prom	školní ples
promenade	promenovat
promenade	promenáda
prominence	papaláš
prominence	popředí
prominence	prominent
prominence	velké zvíře
prominence	vynikající postavení
prominence	vyčnělek
prominence	výběžek
prominence	výstupek
prominence	výtečnost
prominence	význačnost
prominence	výčnělek
prominent	markantní
prominent	nápadný
prominent	prominentní
prominent	přední
prominent	vynikající
prominent	význačný
prominently	markantně
prominently	nápadně
prominently	prominentně
promiscuity	promiskuita
promiscuous	promiskuitní
promiscuously	promiskuitně
promise	přislíbit
promise	příslib
promise	slib
promise	slibovat
promise	slíbit
promising	slibný
promisingly	slibně
promissory	slibující
promontory	mys
promontory	předhoří
promontory	výběžek
promote	podporovat
promote	povýšit
promote	propagovat
promote	prosazovat
promoter	podporovatel
promoter	pořadatel
promoter	promotor
promotion	podporování
promotion	postup
promotion	povýšení
promotion	propagace
promotion	prosazování
promotion	reklama
promotional	propagační
promotional	reklamní
promotive	podpůrný
prompt	okamžitý
prompt	pobídka
prompt	pobídnout
prompt	pohotový
prompt	prompt
prompt	promptní
prompt	připomínka
prompter	nápověda
prompting	pobízení
promptitude	pohotovost
promptitude	pohotovost k akci
promptitude	promptnost
promptly	ihned
promptly	okamžitě
promptly	pohotově
promptness	pohotovost
promulgate	promulgovat
promulgate	vyhlásit
promulgation	promulgace
promulgation	uveřejnění
promulgation	vyhlášení
prone	mající sklon
prone	nakloněný
prone	náchylný
proneness	dispozice
proneness	náklonnost
prong	bodec
prong	vidle
pronominal	pronomiální
pronominal	zájmenný
pronoun	zájmeno
pronounce	uznat
pronounce	vyhlásit
pronounce	vyslovit
pronounce	vyslovovat
pronounceable	vyslovitelný
pronouncement	prohlášení
pronouncement	projev
pronto	a rychle!
pronto	fofrem
pronunciation	výslovnost
proof	doklad
proof	důkaz
proof	korektura
proof	nepropustný
proof	nátisk
proof	osvědčený
proof	test
proof	vyzkoušení
proof	zkouška
proofread	korigovat
proofread	číst korekturu
proofreader	korektor
proofreader	čtenář korektury
prop	opora
prop	opřít
prop	podepřít
prop	podpěra
prop	stojka
prop	vzpěra
prop	zarážka
propaganda	propagace
propaganda	propaganda
propagandist	propagandista
propagandistic	propagandistický
propagate	propagovat
propagate	rozmnožovat
propagation	propagace
propagation	šíření
propagator	propagátor
propane	propan
propanol	propylalkohol
propel	hnát
propel	pohánět
propellant	pohon
propellant	pohonná látka
propeller	lodní šroub
propeller	vrtule
propensity	náchylnost
propensity	sklon
propensity	tendence
propensity	tíhnutí
proper	hodící se
proper	korektní
proper	náležitý
proper	náležitě
proper	patřičný
proper	pořádný
proper	vhodný
proper	vyhovující
proper	řádný
properly	důkladně
properly	náležitě
