baldhead	plešatec
baldly	otevřeně
baldly	spoře
baldness	holohlavost
baldness	holost
baldness	plešatost
baldric	bandalír
baldrick	bandelír
bale	žok
baleen	velrybí kostice
baleful	neblahý
baleful	zhoubný
balk	překážka
balk	ucuknout
balk	zablokovat
balk	zábrana
ball	bál
ball	koule
ball	kulička
ball	míč
ball	míček
ball	ples
ball	sbalit
ballad	balada
ballade	balada
ballast	balast
ballast	přítež
ballast	zátěž
ballerina	balerína
ballet	balet
balletic	baletní
ballistic	balistický
balloon	balon
balloon	balonek
balloon	balón
balloon	balónek
balloon	baňka
balloon	bublina
balloonist	vzduchoplavec
ballot	hlasovací lístek
ballot	hlasování
ballot	tajná volba
ballot	tajně hlasovat
ballpoint	propiska
ballroom	sál
balls-up	zmatek
bally	sakramentský
bally	setsakramentsky
bally	zpropadený
bally	zpropadeně
ballyhoo	zbytečný povyk
balm	balzám
balmy	mírný
balmy	tišící
baloney	nesmysl
balsa	balzové dřevo
balsa	balzový strom
balsam	balzám
balsamic	balzámový
balsamic	hojivý
baluster	balustr
baluster	sloupek v zábradlí
balustrade	balustráda
bambino	děťátko
bambino	jezulátko
bamboo	bambus
bamboozle	zmást
ban	klatba
ban	vypovědět
ban	vypovězení
ban	zakazovat
ban	zakázat
ban	zákaz
banal	banální
banal	otřepaný
banal	všední
banality	banalita
banality	banálnost
banality	všednost
banana	banán
band	banda
band	houf
band	kapela
band	muzika
band	proužek
band	pruh
band	pás
band	pásek
band	páska
band	pásmo
band	skupina
band	stuha
band	stádo
band	tlupa
band	řemen
bandage	bandáž
bandage	obvaz
bandanna	šátek
bandbox	krabice
bandeau	stuha do vlasů
bandit	bandita
bandit	gangster
bandit	loupežník
banditry	banditství
bandleader	kapelník
bandmaster	kapelník
bandoleer	bandalír
bandsman	člen kapely
bandstand	pódium
bandwagon	móda
bandwidth	šířka pásma
bandy	vyprávět si
bane	prokletí
bane	zhouba
baneful	zhoubný
bang	bacit
bang	bouchnout
bang	bouchnutí
bang	prásknout
bang	prásknutí
bang	rána
bang	třesk
bang	třísknout
bang	udeřit
bang	uhodit
bang	výstřel
bang	úder
banger	petarda
banger	párek
banging	výprask
bangle	náramek
banish	odstranit
banish	vyhnat
banish	vyhostit
banish	vypudit
banishment	vyhnanství
banishment	vypovězení
banister	zábradlí
banjo	bendžo
bank	banka
bank	bankovní
bank	břeh
bank	lavice
bank	mělčina
bank	násep
bank	spořitelna
bank	stráň
bank	svah
bankable	obchodovatelný
banker	bankéř
banking	bankovnictví
banking	bankovní
banking	bankéřství
banking	peněžnictví
banking	stavba náspů
banknote	bankovka
bankroll	financovat
bankrupt	bankrot
bankrupt	bankrotář
bankrupt	zruinovat
bankrupt	úpadce
bankruptcy	bankrot
bankruptcy	konkursní
bankruptcy	konkurz
bankruptcy	konkurzní
bankruptcy	krach
bankruptcy	úpadek
banner	korouhev
banner	prapor
banner	transparent
banneret	praporek
banning	zakazování
banning	zakázání
banns	ohlášky
banquet	banket
banquet	hodovat
banquet	hody
banquet	hostina
banquet	recepce
banquette	čalouněná lavička
banshee	smrtka
bantam	bantamka
bantamweight	bantamová váha
banter	dobírat si
banter	škádelení
banter	škádlení
banter	škádlit
banter	žertovat
banyan	banyán
banzai	hurá!
baobab	baobab
bap	bochánek
baptise	pokřtít
baptism	křest
baptismal	křestní
baptistry	baptisterium
baptize	křtít
baptize	pokřtít
bar	advokacie
bar	bar
