untaught	neškolený
untechnical	neodborný
untenable	neobhajitelný
untenable	neudržitelný
unthinkable	nemyslitelný
unthinkingly	bezmyšlenkovitě
unthought	neočekávaný
unthought	nepředvídaný
untidily	neupraveně
untidily	neuspořádaně
untidiness	nepořádnost
untidiness	neupravenost
untidy	nedbalý
untidy	nepořádný
untidy	neuklizený
untidy	neupravený
untidy	neuspořádaný
untie	odpoutat
untie	odvázat
untie	rozvázat
until	až
until	do
until	dokud
until	dokud ne
until	než
untimely	předčasně
unto	ke
unto	vůči
untold	nevýslovný
untouchable	nedotknutelný
untoward	neobvyklý
untoward	nečekaný
untraceable	nevypátratelný
untraceable	nevysledovatelný
untraditional	netradiční
untranslatable	nepřeložitelný
untrue	falešný
untrue	lživý
untrue	nepravda
untrue	nepravdivý
untrue	nepřesný
untrue	nesprávný
untrue	nečestný
untrustworthiness	nedůvěryhodnost
untrustworthy	nespolehlivý
untruth	nepravda
untruthful	lživý
untruthful	prolhaný
untruthfully	prolhaně
untwist	rozplést
untypical	netypický
untypically	nevšedně
unusable	nepotřebný
unusable	nepoužitelný
unusual	mimořádný
unusual	neobvyklý
unusual	neobyčejný
unusually	neobvykle
unutterable	nevýslovný
unutterably	nevýslovně
unveil	odhalit
unveil	prozradit
unverifiable	neověřitelný
unwarily	neopatrně
unwarrantable	neomluvitelný
unwarrantable	neospravedlnitelný
unwarrantable	nezaručitelný
unwary	neopatrný
unwary	nerozvážný
unwelcome	nevítaný
unwell	nemocný
unwholesome	nezdravý
unwieldy	neohrabaný
unwieldy	nepraktický
unwieldy	neskladný
unwilling	bezděčný
unwilling	neochotný
unwillingly	neochotně
unwillingness	neochota
unwind	odmotat
unwind	odvinout
unwind	odvíjet
unwind	rozmotat
unwind	rozvinout
unwise	nerozumný
unwisely	nerozumně
unwittingly	nevědomky
unwontedly	neobvykle
unworkable	nedosažitelný
unworkable	neproveditelný
unworldly	nezištně
unworldly	nezkušeně
unworn	neobnošený
unworthily	nehodně
unworthiness	nehodnost
unworthy	nehodný
unwound	rozmotaný
unwound	rozpletený
unwound	uvolněný
unwrap	rozbalit
unwrap	vybalit
unwritten	nenapsaný
unwritten	nepsaný
unyoke	odpřáhnout
unyoke	vypřáhnout
unzip	dekomprimovat
unzip	rozepnout
up	na
up	nahoru
up	nahoře
up	vzhůru
up-to-date	aktuální
up-to-date	nejnovější
upbeat	radostný
upbringing	výchova
update	aktualizace
update	aktualizovat
update	modernizovat
update	opravit
update	update
update	zmodernizovat
updating	aktualizace
updating	aktualizování
updating	aktualizující
upfield	směrem k soupeři
upgrade	aktualizace
upgrade	aktualizovat
upgrade	obohacovat
upgrade	obohatit
upgrade	rozšířit
upgrade	upgrade
upgrade	vylepšit
upgrade	zdokonalení
upgrade	zušlechtit
upgrade	zušlechťovat
upheaval	pozdvižení
uphill	do kopce
uphill	nahoru
uphold	prosazovat
uphold	udržovat
upholder	příznivec
upholder	zastánce
upholster	vyčalounit
upholster	vyčalounovat
upholster	čalounit
upholsterer	čalouník
upholstery	vycpávka
upholstery	čalounění
upkeep	udržování
upkeep	údržba
upland	vrchovina
uplift	povznést
upload	nahrání do sítě
upload	upload
upmarket	výběrový
upmost	nejhořejší
upon	na
upon	nad
upon	o
upon	po
upon	při
upper	horní
upper	hořejší
upper	svrchní
upper	vrchní
upper-class	vysoká společnost
uppercase	napsaný velkými písmeny
uppercut	druh úderu v boxu
uppercut	úder zvedák
uppermost	nejhořejší
uppish	arogantní
uppity	povyšující se
uppity	povýšený
upright	poctivý
upright	svislý
upright	vzpřímený
upright	čestný
uprightness	svislost
uprightness	čestnost
uprising	povstání
upriver	proti proudu
uproar	povyk
uproarious	hlučný
uproariously	bouřlivě
uproot	vykořenit
upset	rozrušený
upset	rozrušit
upset	rozčilený
upset	rozčílit
upset	zmatek
upset	zmatený
upset	zneklidnit
upset	zneklidněný
upset	znepokojení
upset	znervóznit
upsetting	překocení
upsetting	rozrušující
upsetting	rozčilující
upsetting	zneklidňující
upsetting	znervózňující
