chattering	třesení
chattily	upovídaný
chattily	upovídaně
chatty	upovídaný
chauffeur	řidič
chauffeur	šofér
chauffeuse	řidička
chauffeuse	šoférka
chauvinism	šovinismus
chauvinism	šovinizmus
chauvinist	šovinista
chauvinistic	šovinistický
cheap	laciný
cheap	levný
cheap	levně
cheap	mizerný
cheap	za babku
cheap	zlevněný
cheapen	zlevnit
cheaply	levně
cheapness	levnost
cheapness	láce
cheapskate	držgrešle
cheapskate	krkoun
cheapskate	lakomec
cheat	fixlovat
cheat	oblafnout
cheat	ošidit
cheat	ošálit
cheat	podvod
cheat	podvádět
cheat	podvést
cheat	šejdíř
cheat	švindlovat
cheater	podvodník
cheating	podvádění
check	kontrola
check	kontrolovat
check	ověření
check	ověřit
check	ověřovat
check	prověrka
check	prověřit
check	prověřovat
check	překontrolovat
check	přezkoušení
check	přezkoušet
check	revidovat
check	zabránit
check	zadržení
check	zadržet
check	zadržovat
check	zarazit
check	zarážka
check	zatržení
check	zaškrtnutí
check	zkontrolovat
check	zkouška
check	zrevidovat
check	šach
checker	kontrolor
checker	zkoušeč
checkerboard	šachovnice
checklist	kontrolní seznam
checkmate	mat
checkout	odchod z hotelu
checkout	odhlášení
checkout	pokladna
checkout	uvolnění pokoje
checkout	vystěhování
checkpoint	kontrola
checkpoint	kontrolní bod
checksum	kontrolní součet
checkup	překontrolování
checkup	vyšetření
cheddar	čedar
cheek	drzost
cheek	líc
cheek	troufalost
cheek	tvář
cheekbone	lícní kost
cheekily	troufale
cheekiness	drzost
cheekiness	neomalenost
cheeky	neomalený
cheeky	nestoudný
cheeky	troufalý
cheep	pípat
cheep	pípání
cheer	fandit
cheer	nálada
cheer	pohoštění
cheer	potěšit
cheer	povzbudit
cheer	povzbuzení
cheer	povzbuzovat
cheer	provolávat slávu
cheerful	radostný
cheerful	spokojený
cheerful	veselý
cheerful	šťastný
cheerfully	radostně
cheerfully	vesele
cheerfulness	veselost
cheerily	radostně
cheering	potěšující
cheering	povzbuzující
cheerio	ahoj
cheerio	na shledanou
cheerio	nazdar
cheerio	nazdar!
cheerleader	cheerleader
cheerleader	fanynka
cheerleader	roztleskávačka
cheerless	neradostný
cheerless	neveselý
cheerless	ponurý
cheery	radostný
cheese	sýr
cheeseboard	servírovací prkénko na sýr
cheeseburger	cheeseburger
cheeseburger	houska se sýrem
cheesecake	tvarohový koláč
cheesecloth	fáčovina
cheesy	laciný
cheesy	ošuntělý
cheesy	podřadný
cheesy	sýrovitý
cheetah	gepard
chef	šéfkuchař
chela	klepeto
chemical	chemický
chemical	chemikálie
chemical	syntetický
chemical	umělý
chemically	chemicky
chemiluminescence	chemiluminiscence
chemise	dámská košile
chemist	chemik
chemist	lékárna
chemist	lékárník
chemistry	chemické složení
chemistry	chemie
chemotherapeutic	chemoterapeutický
chemotherapeutic	chemoterapeutikum
chemotherapy	chemoterapie
chenille	pruh tkaniny v koberci
cheque	složenka
cheque	šek
chequebook	šeková knížka
chequer	kostkovaný vzorek
chequer	kostkovat
cherish	opatrovat
cherish	uchovávat
cheroot	druh doutníku
cherry	třešeň
cherry	třešně
chert	rohovec
cherub	andílek
cherub	andělíček
cherub	cherub
cherub	cherubín
cherubic	andělský
chervil	druh rostliny
chervil	kerblík
chess	šachový
chess	šachy
chessboard	šachovnice
chessman	šachová figurka
chest	bedna
chest	hruď
chest	komora
chest	prsa
chest	prádelník
chest	truhla
chestnut	kaštan
chestnut	kaštanový
chesty	hrudní
chesty	prsatý
chesty	průduškový
chevron	krokev
chevron	tvar v
chevy	chevrolet
chevy	sekýrovat
chew	přežvykovat
chew	žvýkat
chewable	žvýkatelný
chewing	žvýkací
chewing	žvýkající
chewing	žvýkání
chewy	tuhý
chewy	žvýkací
chi	chí
chiaroscuro	šerosvit
chiasma	chiasma
chiasma	překřížení
chiasmus	chiasmus
chic	elegance
chic	elegantní
chic	móda
