concave	vydutý
concavity	konkávnost
conceal	skrýt
conceal	skrývat
conceal	tajit
conceal	ukrýt
conceal	utajit
conceal	zakrýt
conceal	zakrývat
conceal	zamaskovat
conceal	zatajit
concealment	maskování
concealment	ukrytí
concealment	utajení
concealment	zatajování
concealment	úkryt
concede	připustit
concede	přiznat
conceit	domýšlivost
conceit	ješitnost
conceit	nafoukanost
conceivable	myslitelný
conceivably	myslitelně
conceive	koncipovat
conceive	otěhotnět
conceive	počít
conceive	představit si
conceive	vymyslet
concentrate	koncentrovat
concentrate	koncentrovat se
concentrate	koncentrát
concentrate	soustředit
concentrate	soustředit se
concentrate	zahušťovat
concentration	koncentrace
concentration	soustředění
concentration	soustřeďování
concentration	zhuštění
concentric	souosý
concentric	soustředný
concentric	soustředěný
concept	koncepce
concept	koncept
concept	pojem
concept	pojetí
concept	představa
conception	chápání
conception	koncepce
conception	nápad
conception	pojem
conception	pojetí
conception	početí
conception	představa
conceptual	konceptuální
conceptualisation	konceptualizace
conceptualise	vytvořit pojem
conceptualism	konceptualismus
conceptualization	vymyšlení konceptu
conceptualize	vytvořit pojem
conceptually	koncepčně
conceptually	pojmově
conceptus	zárodek
concern	koncern
concern	podnik
concern	podíl
concern	starost
concern	týkat se
concern	vztah
concern	znepokojení
concern	zájem
concern	záležitost
concern	účast
concerning	co se týče
concerning	ohledně
concerning	pokud jde o
concerning	týkající se
concerning	ve věci
concert	koncert
concert	koncertní
concertina	harmonika
concerto	koncert
concession	koncese
concession	koncesovaný
concession	oprávnění
concession	povolení
concession	připuštění
concession	sleva
concession	výsada
concession	úleva
concession	ústupek
concessionaire	koncesionář
concessive	přípustkový
conch	lastura
concha	apsida
conciliate	smířit
conciliation	smíření
conciliation	usmíření
conciliation	vyrovnání
conciliator	usmiřovatel
conciliatory	smírčí
conciliatory	smířlivý
concise	koncízní
concise	stručný
concise	zhuštěný
concisely	stručně
conciseness	výstižnost
conclave	konkláve
conclave	schůzka za zavřenými dveřmi
conclave	tajná schůzka
conclude	dohodnout
conclude	přijít k názoru
conclude	ukončit
conclude	usuzovat
conclude	uzavřít
conclude	vyjednat
conclude	vyvodit
conclude	vyvozovat
concluding	konečný
concluding	závěrečný
conclusion	konečný úsudek
conclusion	sjednání
conclusion	soud
conclusion	ukončení
conclusion	uzavření
conclusion	výsledek usuzování
conclusion	vývod
conclusion	závěr
conclusion	úsudek
conclusive	nezvratný
conclusive	průkazný
conclusive	přesvědčivý
conclusive	rozhodující
conclusively	nezvratně
conclusively	průkazně
conclusiveness	nezvratnost
conclusiveness	přesvědčivost
concoct	vymyslet
concoction	namíchání
concoction	smíchání
concomitant	průvodní
concord	shoda
concord	soulad
concordance	shoda
concordance	soulad
concordant	harmonický
concordant	konkordantní
concordant	shodný
concordant	souhlasný
concordat	konkordát
concourse	hala
concourse	nahromadění
concrete	beton
concrete	betonovat
concrete	betonový
concrete	konkrétní
concrete	vybetonovat
concretely	hmatatelně
concretely	konkrétně
concreteness	konkrétnost
concretion	konkrece
concretion	zhutňování
concubinage	konkubinát
concubine	konkubína
concupiscence	chtíč
concupiscence	žádostivost
concur	shodovat se
concur	souhlasit
concur	spolupůsobit
concurrence	sbíhání
concurrence	shoda
concurrence	souběh
concurrence	souběžnost
concurrence	souhlas
concurrence	spolupůsobení
concurrent	souběžný
concurrently	souběžně
concurrently	současně
concussion	otřes
concussion	otřes mozku
condemn	odsoudit
condemn	odsuzovat
condemn	určit k demolici
condemnation	odsouzení
condemnatory	odsuzující
condemning	odsuzující
condensate	kondenzát
condensation	kondenzace
condense	kondenzovat
condense	zkrátit
condenser	kondenzor
condenser	kondenzátor
condescend	chovat se povýšeně
condescend	milostivě svolit
condescend	ráčit
condescendingly	blahosklonně
condescension	blahosklonnost
condign	zasloužený
condiment	koření
condition	kondice
condition	okolnost
