cromlech	kromlech
crone	bába
crony	blízký přítel
cronyism	bratříčkování
cronyism	rodinkaření
crook	darebák
crook	hák
crook	háček
crook	ohnout
crook	ohyb
crook	ohýbat
crook	podvodník
crookedly	křivě
croon	broukat si
croon	pozpěvovat si
crooner	zpěvák balad
crop	dávat úrodu
crop	odřezávat
crop	osekat
crop	ořezat
crop	oříznout
crop	plodina
crop	rukojeť
crop	sklidit
crop	sklizeň
crop	sklízet
crop	úroda
crop	žeň
cropper	odřezávač
croquet	kroket
croquette	kroketa
crosier	biskupská berla
cross	kříž
cross	křížek
cross	křížem
cross	křížit
cross	křížový
cross	pokřižovat
cross	protnout
cross	protnutí
cross	protínat
cross	přejet
cross	přejít
cross	překřížení
cross	překřížit
cross	přeškrtat
cross	přeškrtnout
cross	rozmrzelý
cross	zkřížený
cross	zkřížit
cross-check	přezkoumat
cross-country	přespolní
cross-country	terénní
cross-fertilisation	oplodnění
cross-fertilization	křížové oplodnění
cross-link	příčná vazba
cross-pollination	opylení křížem
cross-question	vyslýchat
cross-refer	odkázat na něco
cross-reference	odkaz
cross-section	průřez
cross-sectional	průřezový
cross-sectional	příčný
cross-stitch	křížový steh
crossbar	příčka
crossbill	křivonoska
crossbones	smrtihlav
crossbones	zkřížené hnáty
crossbow	kuše
crossbow	samostříl
crossbreed	kříženec
crossbreed	míšenec
crosscut	procházet napříč
crosscut	příčný řez
crosse	raketa na lakros
crossfire	křížová palba
crosshead	křížová hlava
crosshead	křížák
crossing	přechod
crossly	naštvaně
crossness	rozladěnost
crossness	rozmrzelost
crossover	míšení
crossover	přejezd
crossover	překřížení
crossover	přesah
crosspatch	bručoun
crosspatch	mrzout
crosspiece	příčník
crossroad	křižovatka
crossroad	rozcestí
crosstalk	nežádoucí signál
crossway	křižovatka
crosswind	boční vítr
crosswise	křížem
crosswise	napříč
crosswise	příčný
crosswise	příčně
crossword	křížovka
crotch	dvoják
crotch	rozkrok
crotchet	čtvrťová nota
crotchety	bručounský
crotchety	mrzoutský
croton	kroton
crouch	přikrčení
croup	záškrt
croupier	krupiér
croupy	záškrtový
crow	jásat
crow	kokrhat
crow	kokrhání
crow	krákat
crow	krákorat
crow	megera
crow	páčidlo
crow	sochor
crow	vrána
crowbar	páčidlo
crowbar	sochor
crowd	dav
crowd	houf
crowd	kompars
crowd	mačkanice
crowd	tlačenice
crowd	zástup
crowfoot	pryskyřník
crowfoot	šipka na výkresu
crown	dovršit
crown	dýnko
crown	koruna
crown	korunka
crown	korunní
crown	korunovat
crown	temeno
crown	věnec
crown	věnčit
crozier	biskupská berla
crucial	klíčový
crucial	kritický
crucial	rozhodující
crucial	velmi důležitý
crucial	zásadní
crucially	kriticky
crucially	rozhodně
cruciate	křížový
crucible	kelímek
crucible	tavicí kotlík
crucible	tyglík
crucifix	krucifix
crucifix	kříž
crucifixion	ukřižování
cruciform	křížovitý
crucify	ukřižovat
crude	hrubý
crude	nehotový
crude	neomalený
crude	neopracovaný
crude	nezažitý
crude	nezpracovaný
crude	primitivní
crude	ropa
crude	sprostý
crude	surová nafta
crude	surový
crude	syrový
crudely	hrubě
crudely	odhadem
crudeness	hrubost
crudeness	nehotovost
crudeness	neotesanost
crudeness	surovost
crudeness	syrovost
crudity	surovost
cruel	krutý
cruel	surový
cruel	ukrutný
cruelly	krutě
cruelty	krutost
cruelty	surovost
cruelty	ukrutnost
cruet	karafa
cruise	křižovat
cruise	křižování
cruise	plavba
cruise	plavit se
cruiser	křižník
cruiserweight	polotěžká váha
crumb	drobek
crumb	drobeček
crumb	drobit
crumb	nadrobit
crumb	strouhanka
crumb	střída
crumb	špetka
crumble	drobit
crumble	drolit
crumble	hroutit
crumble	nadrobit
crumble	rozdrobit
