reduktor	275-3863-B
reduplikace	275-4223-B
reeditovat	278-56-B
reentrantni	272-2505-B
refektar	276-571-B
referat	280-2172-B
reference	276-518-B
referencni	276-868-B
referendum	251-1729-B,276-804-B
referent	230-2162-B,280-2360-B
referovat	280-2155-B
refinancovat	276-944-B
reflace	276-1348-B
reflektor	97-1594-B,161-2331-B,161-2402-B,199-1918-B,276-1724-B,296-3053-B,319-2340-B
reflektoru	319-2360-S
reflex	276-1744-B,276-1798-B
reflexe	276-1815-B
reflexivita	276-1876-B
reflexivni	276-1854-B
reflux	276-1965-B
reforma	276-2180-B,276-2213-B
reformace	276-2233-B
reformacni	276-2278-B
reformator	276-2355-B
reformatorsky	276-2327-B
reformista	276-2376-B
reformisticky	276-2397-B
reformovat	276-2195-B
reformulovat	276-2449-B
refrakce	276-2545-B
refrakcni	276-2584-B
refraktometr	276-2607-B
refren	58-912-B,276-2806-B
refundace	277-3468-B
refundance	276-3715-B
refundovat	276-3733-B,277-3424-B
regal	38-2857-B,269-3469-B
regata	277-582-B
regenerace	275-942-B,277-620-B
regeneracni	282-3738-B
regenerovat	274-2065-B,275-584-B,277-597-B
regenerujici	275-1934-B
regent	277-644-B
reggae	277-689-B
regiment	277-767-B,277-837-B
region	277-944-B
regionalne	277-1070-B
regionalni	277-1027-B
registr	277-1163-B,277-1656-B
registrace	117-1302-B,133-2260-B,277-1461-B
registrator	277-1339-B
registrovat	274-4239-B,277-1180-B
reglementace	277-876-B
regres	277-1770-B
regrese	277-1873-B
regresivni	277-1892-B
regulace	6-1549-B,21-2893-B,74-4270-B,152-3417-B,277-2692-B
regulacni	77-836-B,277-2712-B,277-2780-B,277-2824-B
regulator	74-4305-B,75-83-B,277-2803-B
regulerni	277-2285-B
regulovani	6-1569-B,277-2735-B
regulovat	48-2095-B,74-4287-B,277-2379-B,277-2463-B,277-2529-B
regulovatelny	6-1367-B,74-4472-B
regulujici	277-2625-B
rehabilitace	277-2994-B,366-3243-B
rehabilitacni	277-3022-B
rehabilitovat	277-2945-B,366-3084-B
rehabilitujici	277-3053-B
rehole	289-2126-B
reholnice	227-2372-B
rehonit se	149-3168-B
rehtacka	271-3220-B,272-1192-B
rehtani	225-315-B
reinstalovat	277-3863-B
reinterpretovat	277-4029-B
rej	373-1391-B
rejdar	304-75-B
rejnok	207-2405-B,272-2297-B,325-172-B
rejnoka	325-150-S
rejpal	222-177-B
rejsek	305-1813-B
rejstrik	40-196-S,104-1828-S,177-2185-B,200-2033-B
rejstrikovy	177-2315-B
rek	163-2765-B
reka	286-3147-B
rekalkulace	273-3556-B
rekapitulace	273-3795-B,273-3882-B,283-690-B,283-3902-B
rekapitulovat	273-3814-B,273-3834-B,283-710-B
rekl	291-932-B
rekl pravdu	142-2572-S
reklama	5-1596-B,7-1860-B,7-1939-B,7-2070-B,37-864-B,66-1415-B,251-3389-B,258-2677-B,262-2229-B,265-1435-B
reklamace	59-2617-B,67-4026-B,228-1454-B
reklamni	5-1607-B,7-2090-B,262-2272-B
reklamni dar	150-981-B
reklamni heslo	52-1184-B
reklamni letak	59-210-S,344-1688-B
reklamni tabule	306-2161-B
reklamni textar	6-1741-B,76-1903-B
reklamni trik	169-3385-B
reklamovani	274-2132-B
reklamovat	59-2633-B,67-3759-B,274-2085-B
reklamovatelny	274-2104-B
rekli	291-943-B
rekognoskace	274-3736-B
rekombinace	274-3042-B
rekonstituovat	274-3930-B
rekonstrukce	274-4061-B
rekonstruovat	274-4009-B,282-3797-B
rekonvalescence	75-574-B,275-962-B
rekord	274-4258-B
rekordni	274-4272-B
rekordu	275-103-S
rekreace	165-3192-B,275-1065-B,282-1168-B
rekreacni	165-3209-B,275-1085-B
rekreant	48-1587-B,165-3271-B
rekriminace	275-1110-B
rekriminacni	275-1172-B
rekrut	275-1290-B
rekrutovani	275-1405-B
rekrutovat	275-1305-B
rektalni	275-1477-B
rektor	275-1786-B
rektum	275-1831-B
rekultivace	274-2158-B
rekuperace	275-1887-B
rekuperacni	275-1990-B
rekuperativni	275-1962-B
rekurentne	275-2215-B
rekurentni	275-2193-B
rekurze	275-2239-B
rekurzivni	275-2257-B
rekviem	281-799-B
rekvirovat	281-1169-B
rekvizice	174-1830-B,258-3847-B,281-1147-B
reky	120-2653-S,234-1312-S,286-3159-S,286-3187-S
relace	278-712-B
relacni	278-801-B
relativismus	278-1165-B
relativisticky	278-1189-B,278-1218-B
relativita	278-1250-B
relativne	278-1143-B
relativni	278-1102-B
relaxace	278-1411-B
relaxovat	278-1321-B
rele	278-1529-B
relevantne	278-2420-B
relevantni	149-1249-B,278-2379-B
relief	278-2948-B
relikt	278-2845-B
relikviar	278-3416-B
relikvie	278-2759-B
remake	279-180-B
remcani	155-2701-B
remen	27-1523-B,31-3298-S,31-3454-B,326-3228-B
remenem	31-3418-S
remeslna vyroba	159-858-B
remeslnicka dovednost	377-395-B
remeslnicka zrucnost	377-431-B
remeslnik	20-710-B,20-1008-B,80-221-B,377-3509-B
remeslo	80-171-B,159-888-B,349-435-B
reminek	196-1885-B,343-1725-B
remiza	107-518-B,345-412-B
remizovat	107-503-B
remorker	353-2908-B
remy	289-2634-B
renderovani	279-2690-B
renderovat	279-2523-B
rendlik	51-2057-B
renegat	16-2105-B,279-2864-B
renesancni clovek	148-1394-B
renome	222-705-B,279-3168-B,281-632-B
renomovane	281-527-B
renomovany	259-137-B,281-464-B
renovace	235-2621-B,279-3127-B,279-3928-B
renovator	279-3147-B
renovovat	276-3784-B,279-3090-B,282-3819-B
renta	11-1603-B,14-3261-B
rentabilita	261-2641-B
rentabilni	77-3623-B,261-2762-B
rentgen	287-1564-B,378-921-B
rentgenografie	270-1116-B
rentgenogram	270-983-B
rentgenolog	270-1038-B
rentgenovaci	295-3074-B
rentgenovy	270-1091-B
rentgenovy snimek	270-1007-B
rentier	279-3452-B
reologie	284-3783-B
reorganizace	279-3562-B,279-3590-B,302-806-B,302-903-B
reorganizovat	274-3958-B,279-3664-B
reorientace	279-3748-B
repa	31-430-S,31-451-B,31-475-S
reparace	280-135-B
repatriace	280-311-B
repatriant	280-237-B
repatriovat	280-259-B
repelent	280-840-B
repertoar	280-953-B,280-975-B
repetice	280-583-B
repeticni	280-1092-B
repetilka	137-494-B
repicek	9-2130-B
repka	271-1792-B
replika	278-409-B,280-1757-B
replikace	280-1815-B
replikovat	280-1794-B
reportaz	280-2188-B,280-2319-B,319-1956-S
reporter	224-3632-B,280-2378-B
representovat	280-2735-B
represivni	232-1891-B,280-3404-B,283-1536-B
reprezentace	171-1814-S,280-3007-B
reprezentacni	258-2522-B,280-3095-B
reprezentant	280-3157-B
reprezentativni	258-2493-B,280-3185-B
reprezentovat	280-2759-B
repriza	280-3532-B
reprodukce	251-49-B,280-3903-B
reprodukce zvuku	23-1966-B
reprodukcni	280-3955-B
reprodukovat	280-3721-B
reprodukovatelne	280-3872-B
reprodukovatelnost	280-3806-B
reprodukovatelny	280-3841-B
reproduktivni	280-3927-B
reproduktor	203-874-B,280-3763-B,317-57-B
reproduktoru	376-2373-S
reptal	216-2390-B
reptat	155-3048-B,156-2458-B
reptavy	268-3581-B
republika	280-4131-B
republikan	280-4150-B
republikansky	280-4173-B
republikanstvi	281-0-B
reputace	222-718-B,281-647-B
repy	347-2512-S
rericha	81-1556-B,222-2164-B,370-3455-B
resekce	281-1891-B
resektovat	122-2883-B
reseni	15-441-B,282-631-B,314-3314-B,325-3253-S
reserpin	281-2242-B
reserse	274-1222-B
reset	281-2580-B
resetlak	44-361-B
reseto	285-1504-B,306-1504-B
resetovat	281-2592-B
resici	314-3567-B
residence	281-2852-B
residentni	281-2999-B
resistence	281-3980-B
resit	314-3418-B,337-1374-B
resitel	314-3550-B
resitelny	282-680-B,314-3333-B
resonovat	282-1252-B
resorpce	272-2644-B,282-1116-B
resort	92-2901-B,282-1184-B
respekt	25-729-B,282-1527-B
respektive	232-2811-B
respektovat	282-1543-B
respirace	282-2216-B
respiracni	282-2302-B
respirator	282-2258-B
respondent	15-505-B,282-2492-B
restart	282-3023-B
restartovat	273-3064-B,281-1316-B
restaurace	41-391-B,47-1201-B,282-3150-B,339-2365-B
restauracni	282-3172-B
restaurator	72-1577-B,258-3364-B,282-3197-B,282-3940-B
restaurovat	282-3837-B
restituce	282-3291-B
restrikce	283-284-B
