covering	79-1502-B,79-1516-B,79-1533-B
coverlet	79-1549-B
covert	79-1568-B,79-1585-B,79-1600-B,79-1615-B
covertly	79-1631-B,79-1648-B
covet	79-1664-B,79-1677-B
covetous	79-1692-B,79-1711-B,79-1731-B
covetousness	79-1753-B,79-1777-B
covey	79-1804-B
cow	79-1816-B,79-1827-B
coward	79-1838-B
cowardice	79-1855-B
cowardly	79-1876-B
cowboy	79-1895-B,79-1909-B
cower	79-1931-B
cowgirl	79-1947-B
cowhand	79-1977-B
cowherd	79-1997-B
cowhide	79-2024-B
cowl	79-2047-B,79-2058-B,79-2070-B
cowman	79-2091-B
cowpea	79-2115-B
cowpoke	79-2128-B,79-2143-B
cowpox	79-2163-B
cowrie	79-2190-B,79-2213-B
cowslip	79-2230-B,79-2249-B
cox	79-2267-B
coxa	79-2284-B
coxcomb	79-2296-B,79-2314-B
coxswain	79-2330-B
coy	79-2352-B,79-2376-B,79-2389-B,79-2403-B,79-2419-B,79-2431-B,79-2448-B,79-2462-B,79-2476-B
coyly	79-2493-B,79-2511-B
coyness	79-2526-B,79-2547-B,79-2566-B,79-2581-B,79-2602-B
coyote	79-2624-B
coypu	79-2637-B
cozen	79-2650-B,79-2664-B
coziness	79-2678-B,79-2694-B
cozy	79-2713-B
crab	79-2727-B,79-2737-B,79-2749-B,79-2763-B
crabby	79-2776-B,79-2791-B,79-2809-B,79-2831-B
crabgrass	79-2849-B
crabwise	79-2871-B,79-2886-B
crack	79-2903-B,79-2918-B,79-2932-B,79-2948-B,79-2964-B,79-2982-B,79-2996-B,79-3010-B,79-3024-B,79-3043-B,79-3060-B,79-3074-B,79-3087-B
crackdown	79-3103-B,79-3118-B,79-3149-B
cracker	79-3167-B,79-3183-B,79-3196-B,79-3210-B,79-3225-B
crackerjack	79-3242-B,79-3258-B,79-3276-B,79-3296-B
cracking	79-3316-B,79-3337-B,79-3357-B
crackle	79-3375-B,79-3391-B
crackpot	79-3410-B
cracksman	79-3427-B
cradle	79-3444-B,80-0-B
craft	80-17-B,80-28-B,80-44-B,80-65-B,80-76-B,80-90-B,80-102-B,80-113-B,80-128-B,80-144-B,80-158-B,80-171-B,80-186-B
craftily	80-201-B
craftsman	80-221-B
craftsmanship	80-243-B,80-267-B,80-284-B,80-308-B
crafty	80-333-B,80-348-B,80-365-B
crag	80-383-B,80-397-B
craggy	80-408-B
crake	80-425-B
cram	80-442-B,80-456-B,80-468-B,80-483-B
crammer	80-495-B
cramp	80-539-B,80-552-B,80-565-B,80-580-B,80-595-B,80-607-B
crampon	80-619-B,80-646-B
cranberry	80-661-B
crane	80-680-B,80-694-B
cranial	80-714-B,80-734-B
cranium	80-752-B
crank	80-766-B,80-777-B,80-789-B,80-805-B,80-818-B,80-835-B
crankcase	80-861-B
crankiness	80-889-B
crankshaft	80-912-B
cranky	80-941-B,80-957-B,80-975-B
cranny	80-995-B,80-1010-B
crap	80-1026-B,80-1037-B,80-1051-B
crape	80-1064-B,80-1075-B
crappy	80-1099-B
crash	80-1115-B,80-1131-B,80-1146-B,80-1162-B,80-1177-B,80-1190-B,80-1204-B,80-1217-B,80-1234-B,80-1245-B,80-1259-B,80-1271-B,80-1287-B,80-1302-B,80-1315-B,80-1332-B,80-1347-B,80-1366-B
crashing	80-1383-B,80-1402-B
crass	80-1422-B
crassness	80-1436-B,80-1455-B
crate	80-1475-B,80-1486-B,80-1498-B
crater	80-1515-B
cravat	80-1530-B
crave	80-1545-B,80-1565-B,80-1579-B,80-1604-B
craven	80-1619-B
craw	80-1636-B,80-1654-B,80-1664-B
crawfish	80-1678-B
crawl	80-1696-B,80-1713-B,80-1725-B,80-1739-B,80-1751-B,80-1767-B,80-1785-B
crawler	80-1803-B,80-1823-B
crawling	80-1840-B
crayfish	80-1860-B
crayon	80-1873-B,80-1896-B
craze	80-1910-B
crazily	80-1928-B,80-1947-B
craziness	80-1969-B,80-1991-B
crazy	80-2017-B,80-2031-B,80-2048-B,80-2059-B,80-2080-B,80-2100-B,80-2116-B,80-2131-B,80-2152-B,80-2170-B,80-2187-B,80-2206-B,80-2226-B,80-2242-B
creak	80-2258-B,80-2274-B,80-2290-B,80-2309-B
creaky	80-2321-B
cream	80-2339-B,80-2351-B,80-2365-B,80-2382-B,80-2398-B,80-2420-B
creamer	80-2437-B
creamery	80-2464-B,80-2484-B
creaminess	80-2519-B,80-2541-B
creamy	80-2564-B,80-2581-B
crease	80-2599-B,80-2615-B,80-2634-B,80-2649-B,80-2661-B,80-2678-B,80-2698-B,80-2713-B,80-2730-B,80-2745-B,80-2761-B,80-2778-B
crease resistant	80-2792-B
create	80-2821-B,80-2837-B,80-2852-B,80-2868-B,80-2885-B,80-2902-B
creatine	80-2920-B
creation	80-2937-B,80-2957-B,80-2972-B,80-2988-B,80-3008-B,80-3024-B,80-3042-B,80-3061-B,80-3082-B,80-3104-B,80-3119-B,80-3136-B
creationism	80-3153-B
creative	80-3179-B,80-3198-B,80-3217-B,80-3242-B
creatively	80-3262-B,80-3284-B
creativeness	80-3305-B,80-3330-B
creativity	80-3354-B
creator	80-3376-B
creature	80-3392-B,80-3408-B,80-3426-B,80-3445-B,81-0-B,81-14-B,81-31-B,81-48-B
creche	81-66-B
credence	81-79-B,81-97-B
credential	81-112-B,81-136-B
credibility	81-163-B,81-191-B,81-217-B,81-242-B
credible	81-267-B,81-291-B,81-316-B,81-337-B
credibly	81-358-B,81-382-B
credit	81-403-B,81-425-B,81-439-B,81-459-B,81-475-B,81-492-B,81-508-B,81-522-B
creditable	81-535-B,81-560-B,81-580-B,81-607-B
creditably	81-630-B
creditor	81-653-B
creditworthiness	81-672-B,81-713-B
creditworthy	81-747-B,81-774-B
credo	81-803-B
credulity	81-816-B
credulous	81-840-B
creed	81-863-B
creek	81-879-B,81-891-B,81-904-B
creel	81-918-B
creep	81-943-B,81-957-B,81-975-B,81-987-B,81-1003-B,81-1021-B,81-1039-B,81-1053-B,81-1071-B,81-1092-B,81-1109-B,81-1127-B,81-1144-B
creeping	81-1161-B
creepy	81-1181-B,81-1197-B,81-1213-B,81-1233-B,81-1254-B
cremation	81-1281-B,81-1299-B
crematorium	81-1322-B
creole	81-1346-B
creosote	81-1365-B
crepe	81-1382-B,81-1393-B
crepuscular	81-1410-B
crescendo	81-1433-B,81-1457-B
crescent	81-1478-B,81-1511-B,81-1532-B
cress	81-1556-B
crest	81-1572-B,81-1586-B,81-1611-B,81-1621-B,81-1634-B,81-1648-B,81-1661-B
crestfallen	81-1675-B
cretaceous	81-1699-B,81-1721-B
cretin	81-1743-B,81-1756-B,81-1769-B
cretinism	81-1784-B
cretinous	81-1806-B,81-1825-B
cretonne	81-1847-B
crevasse	81-1863-B
crevice	81-1880-B,81-1896-B,81-1912-B
crew	81-1931-B,81-1945-B,81-1958-B,81-1974-B,81-1987-B,81-2005-B,81-2020-B,81-2034-B,81-2044-B
crewman	81-2057-B
crib	81-2080-B,81-2091-B,81-2105-B
cribbage	81-2117-B
crick	81-2144-B
cricket	81-2166-B,81-2182-B,81-2197-B
cricketer	81-2216-B
crier	81-2241-B,81-2258-B
crime	81-2276-B,81-2290-B,81-2310-B,81-2324-B
criminal	81-2342-B,81-2364-B,81-2385-B,81-2403-B,81-2421-B,81-2440-B
criminalise	81-2460-B
criminality	81-2487-B,81-2511-B
criminally	81-2535-B,81-2555-B
criminological	81-2579-B
criminologist	81-2610-B,81-2637-B
criminology	81-2662-B
crimp	81-2687-B,81-2716-B,81-2738-B,81-2756-B
crimson	81-2772-B
cringe	81-2786-B
crinkle	81-2801-B,81-2817-B
crinkly	81-2832-B,81-2848-B,81-2868-B,81-2887-B
crinoid	81-2905-B
crinoline	81-2922-B,81-2944-B,81-2965-B
cripple	81-2989-B,81-3004-B,81-3021-B
crisis	81-3039-B
crisp	81-3052-B,81-3066-B,81-3081-B
crisply	81-3097-B
crispness	81-3115-B,81-3137-B,81-3157-B
crispy	81-3178-B,81-3196-B
crisscross	81-3213-B
criterion	81-3235-B
critic	81-3256-B
critical	81-3270-B,81-3289-B
criticality	81-3312-B
critically	81-3336-B
criticise	81-3356-B
criticism	81-3377-B,81-3395-B,81-3417-B,298-2655-S
criticize	81-3434-B,81-3455-B
critique	81-3477-B,81-3494-B
critter	81-3511-B
croak	81-3524-B,81-3538-B
croaky	81-3555-B
crochet	81-3575-B,81-3594-B
crock	81-3616-B
crockery	81-3638-B
crocodile	81-3656-B
crocodilian	81-3676-B
crocus	81-3700-B,81-3714-B
croft	81-3730-B,81-3745-B
crofter	81-3762-B
croissant	81-3788-B,81-3808-B
cromlech	82-0-B
crone	82-18-B
crony	82-30-B
cronyism	82-54-B,82-82-B
crook	82-105-B,82-120-B,82-131-B,82-145-B,82-158-B,82-169-B,82-183-B
crookedly	82-200-B
croon	82-218-B,82-235-B
crooner	82-256-B
crop	82-279-B,82-298-B,82-315-B,82-327-B,82-340-B,82-356-B,82-369-B,82-383-B,82-396-B,82-410-B,82-424-B,82-436-B
cropper	82-447-B
croquet	82-468-B
croquette	82-483-B
crosier	82-501-B
cross	82-526-B,82-540-B,82-556-B,82-572-B,82-588-B,82-606-B,82-625-B,82-640-B,82-656-B,82-672-B,82-686-B,82-701-B,82-723-B,82-743-B,82-761-B,82-781-B,82-798-B,82-817-B
cross check	82-834-B
cross country	82-858-B,82-884-B
cross fertilisation	82-908-B
cross fertilization	82-940-B
cross link	82-984-B
cross pollination	82-1012-B
cross question	82-1049-B
cross refer	82-1075-B
cross reference	82-1105-B
cross section	82-1127-B
cross sectional	82-1150-B,82-1179-B
cross stitch	82-1206-B
crossbar	82-1236-B
crossbill	82-1255-B
crossbones	82-1277-B,82-1298-B
crossbow	82-1329-B,82-1344-B
crossbreed	82-1365-B,82-1388-B
crosscut	82-1409-B,82-1439-B
crosse	82-1464-B
crossfire	82-1488-B
crosshead	82-1516-B,82-1544-B
crossing	82-1565-B
crossly	82-1583-B
crossness	82-1602-B,82-1625-B
crossover	82-1647-B,82-1667-B,82-1686-B,82-1712-B
crosspatch	82-1730-B,82-1750-B
crosspiece	82-1768-B
crossroad	82-1791-B,82-1814-B
crosstalk	82-1834-B
crossway	82-1865-B
crosswind	82-1887-B
crosswise	82-1911-B,82-1931-B,82-1951-B,82-1972-B
crossword	82-1993-B
crotch	82-2015-B,82-2030-B
crotchet	82-2045-B
crotchety	82-2071-B,82-2094-B
croton	82-2115-B
crouch	82-2129-B
croup	82-2149-B
croupier	82-2164-B
croupy	82-2182-B
crow	82-2202-B,82-2214-B,82-2227-B,82-2243-B,82-2256-B,82-2271-B,82-2283-B,82-2298-B,82-2310-B
crowbar	82-2322-B,82-2340-B
crowd	82-2355-B,82-2365-B,82-2376-B,82-2390-B,82-2407-B,82-2424-B
crowfoot	82-2438-B,82-2460-B
crown	82-2488-B,82-2503-B,82-2516-B,82-2529-B,82-2543-B,82-2558-B,82-2574-B,82-2587-B,82-2600-B
crozier	82-2615-B
crucial	82-2640-B,82-2659-B,82-2677-B,82-2699-B,82-2725-B
crucially	82-2743-B,82-2762-B
cruciate	82-2782-B
crucible	82-2803-B,82-2821-B,82-2846-B
crucifix	82-2863-B,82-2881-B
crucifixion	82-2898-B
cruciform	82-2925-B
crucify	82-2949-B
crude	82-2969-B,82-2982-B,82-2998-B,82-3015-B,82-3035-B,82-3052-B,82-3072-B,82-3090-B,82-3101-B,82-3116-B,82-3136-B,82-3150-B
crudely	82-3164-B,82-3179-B
crudeness	82-3195-B,82-3213-B,82-3234-B,82-3256-B,82-3275-B
crudity	82-3294-B
cruel	82-3311-B,82-3324-B,82-3338-B
cruelly	82-3353-B
cruelty	82-3368-B,82-3384-B,82-3401-B
cruet	82-3419-B
cruise	82-3432-B,82-3450-B,82-3471-B,82-3485-B
cruiser	82-3502-B
cruiserweight	82-3521-B
crumb	82-3554-B,82-3567-B,82-3583-B,82-3596-B,82-3611-B,82-3628-B,82-3643-B
crumble	82-3657-B,82-3672-B,82-3687-B,82-3703-B,82-3720-B,83-0-B,83-18-B
crumbly	83-35-B
crummy	83-52-B
crump	83-70-B,83-82-B
crumpet	83-96-B
crumple	83-113-B,83-129-B,83-145-B,83-162-B
crunch	83-179-B,83-195-B,83-212-B,83-227-B,83-243-B
crunchy	83-259-B
crusade	83-277-B,83-306-B
crusader	83-323-B
cruse	83-342-B
crush	83-358-B,83-370-B,83-384-B,83-397-B,83-418-B,83-435-B,83-450-B,83-467-B,83-487-B,83-507-B,83-524-B,83-541-B,83-560-B,83-579-B,83-597-B,83-612-B
crusher	83-626-B
crushing	83-641-B,83-658-B,83-679-B
crushingly	83-703-B
crust	83-722-B,83-735-B,83-750-B,83-763-B,83-775-B
crustacean	83-791-B
crusty	83-810-B,83-825-B
