fistful	135-1382-B,135-1395-B
fistula	135-1410-B,135-1426-B,135-1443-B
fit	135-1461-B,135-1474-B,135-1487-B,135-1502-B,135-1517-B,135-1537-B,135-1555-B,135-1570-B,135-1584-B,135-1596-B,135-1610-B,135-1624-B,135-1640-B
fitch	135-1653-B,135-1666-B
fitful	135-1692-B
fitfully	135-1714-B
fitly	135-1738-B
fitment	135-1758-B,135-1787-B
fitness	135-1807-B,135-1823-B,135-1841-B,135-1858-B
fitter	135-1879-B
fitting	135-1898-B,135-1915-B,135-1932-B,135-1950-B,135-1967-B,135-1987-B,135-2007-B,135-2024-B,135-2043-B,135-2064-B
fittingly	135-2081-B,135-2103-B
five	133-577-S,135-2121-B,135-2131-B,141-2267-S,301-1798-S,308-1499-S,343-1348-S,354-2815-S
fivefold	135-2143-B
fiver	135-2167-B
fix	135-2184-B,135-2195-B,135-2207-B,135-2218-B,135-2230-B,135-2245-B,135-2257-B,135-2270-B,135-2282-B,135-2294-B,135-2306-B,135-2317-B,135-2331-B
fixate	135-2345-B,135-2360-B
fixation	135-2377-B
fixative	135-2393-B
fixedly	135-2413-B
fixer	135-2430-B,135-2444-B,135-2462-B
fixing	135-2475-B,135-2489-B,135-2507-B,135-2525-B,135-2543-B,135-2562-B
fixity	135-2580-B,135-2595-B,135-2612-B,135-2628-B
fixture	135-2642-B,135-2661-B,135-2687-B
fizz	135-2702-B
fizzle	135-2715-B
fizzy	135-2731-B,135-2746-B
fjord	135-2762-B
flab	135-2774-B
flabbiness	135-2802-B
flabby	135-2823-B
flaccid	135-2839-B,135-2854-B
flack	135-2871-B
flag	135-2897-B,135-2920-B,135-2935-B,135-2951-B,135-2975-B,135-2988-B,135-3003-B,135-3018-B,135-3030-B,135-3044-B,135-3059-B,135-3074-B,135-3089-B,135-3101-B
flagellant	135-3122-B,135-3143-B
flagellation	135-3170-B
flagellum	135-3195-B
flageolet	135-3213-B
flagon	135-3233-B,135-3248-B
flagpole	135-3262-B,135-3280-B
flagrant	135-3296-B,135-3323-B,135-3344-B
flagship	135-3364-B
flagstone	135-3388-B
flail	135-3416-B
flair	136-0-B,136-16-B,136-29-B,136-40-B,136-57-B
flak	136-69-B,136-80-B,136-101-B
flake	136-120-B
flaky	136-134-B
flambeau	136-153-B
flamboyance	136-172-B,136-196-B
flamboyant	136-219-B,136-249-B,136-271-B,136-292-B
flame	136-313-B,136-329-B,136-342-B,136-354-B,136-367-B,136-383-B
flamenco	136-399-B
flameproof	136-417-B
flamethrower	136-441-B
flamingo	136-465-B
flammable	136-485-B,136-505-B
flan	136-525-B
flange	136-548-B,136-562-B
flank	136-579-B,136-594-B,136-608-B,136-625-B,136-639-B,136-652-B
flanker	136-667-B
flannel	136-694-B,136-709-B,136-728-B
flannelette	136-744-B
flap	136-774-B,136-788-B,136-800-B,136-811-B
flapjack	136-826-B
flapper	136-844-B
flapping	136-879-B
flare	136-898-B,136-914-B,136-934-B,136-961-B,136-977-B,136-993-B,136-1010-B,136-1022-B
flare up	136-1035-B
flash	136-1055-B,136-1067-B,136-1083-B,136-1102-B,136-1117-B,136-1134-B,136-1149-B,136-1165-B,136-1182-B,136-1200-B,136-1221-B
flashback	136-1240-B,136-1264-B
flashbulb	136-1285-B
flasher	136-1315-B
flashiness	136-1338-B
flashing	136-1361-B,136-1380-B
flashlight	136-1405-B,136-1424-B,136-1441-B,136-1471-B
flashy	136-1492-B,136-1510-B,136-1528-B,136-1555-B,136-1572-B,136-1591-B
flask	136-1609-B,136-1622-B,136-1637-B,136-1657-B
flat	136-1671-B,136-1680-B,136-1693-B,136-1708-B,136-1726-B,136-1743-B,136-1756-B,136-1770-B,136-1782-B
flatboat	136-1798-B
flatfish	136-1811-B
flatfoot	136-1828-B,136-1843-B
flathead	136-1865-B,136-1886-B
flatiron	136-1908-B
flatlet	136-1928-B,136-1948-B
flatly	136-1965-B,136-1984-B,136-1998-B,136-2012-B
flatmate	136-2028-B
flatness	136-2052-B
flatten	136-2070-B,136-2086-B,136-2102-B
flatter	136-2119-B,136-2135-B,136-2152-B,136-2171-B,136-2191-B
flatterer	136-2210-B,136-2231-B,136-2253-B
flattery	136-2276-B,136-2296-B,136-2314-B,136-2332-B
flatulence	136-2356-B,136-2378-B
flatulent	136-2401-B,136-2419-B
flatus	136-2440-B
flatware	136-2462-B
flatworm	136-2481-B,136-2497-B
flaunt	136-2516-B,136-2531-B
flautist	136-2548-B
flavin	136-2568-B
flavor	136-2582-B,136-2595-B,136-2613-B
flavour	136-2627-B,136-2641-B,136-2655-B,136-2672-B,136-2688-B,136-2706-B
flavourful	136-2725-B
flavourless	136-2748-B,136-2770-B
flavoursome	136-2795-B,136-2819-B,136-2839-B,136-2863-B
flaw	136-2887-B,136-2899-B,136-2908-B,136-2924-B,136-2937-B,136-2947-B
flawless	136-2960-B,136-2980-B,136-2999-B
flawlessly	136-3018-B,136-3040-B
flax	136-3061-B
flaxen	136-3070-B
flay	136-3097-B
flea	136-3112-B
flea bitten	136-3124-B,136-3158-B
fleck	136-3182-B
fledge	136-3195-B,136-3212-B
flee	136-3230-B,136-3245-B,136-3257-B
fleece	136-3269-B
fleecy	136-3281-B,136-3300-B
fleeing	136-3314-B,136-3335-B
fleet	136-3350-B,136-3364-B,136-3377-B,136-3390-B,136-3405-B
fleeting	136-3424-B,136-3444-B
flesh	136-3462-B,136-3476-B,136-3491-B,136-3505-B,136-3517-B,136-3528-B
fleshly	136-3540-B,137-0-B,137-18-B
fleshy	137-36-B,137-56-B,137-71-B
fleur de lis	137-88-B
flex	137-124-B,137-135-B,137-148-B
flexibility	137-162-B,137-186-B,137-207-B
flexible	137-229-B,137-249-B,137-270-B,137-287-B,137-306-B
flexibly	137-324-B
flexion	137-342-B,137-356-B,137-369-B
flexor	137-388-B,137-402-B,137-417-B
flexure	137-438-B,137-451-B
flibbertigibbet	137-471-B,137-494-B
flick	137-520-B,137-531-B,137-546-B
flicker	137-563-B,137-578-B,137-593-B,137-612-B,137-631-B,137-649-B
flickering	137-665-B
flier	137-686-B,137-698-B,137-711-B
flight	137-723-B,137-734-B
flightless	137-749-B,137-773-B
flighty	137-800-B,137-818-B
flimsily	137-839-B,137-857-B
flimsiness	137-876-B
flimsy	137-897-B,137-911-B,137-928-B,137-947-B,137-961-B
flinch	137-975-B,137-991-B,137-1007-B
flint	137-1023-B,137-1035-B,137-1058-B
flintlock	137-1073-B
flinty	137-1092-B,137-1113-B,137-1132-B
flip	137-1152-B,137-1166-B,137-1179-B,137-1194-B
flip flop	137-1205-B
flippancy	137-1228-B,137-1249-B,137-1273-B
flippant	137-1298-B,137-1317-B
flippantly	137-1339-B
flipper	137-1360-B
flirt	137-1376-B,137-1388-B,137-1404-B
flirtation	137-1420-B
flirtatious	137-1444-B
flirtatiously	137-1465-B
flit	137-1490-B,137-1505-B
flitch	137-1521-B
float	137-1536-B,137-1548-B,137-1565-B,137-1578-B,137-1593-B,137-1606-B,137-1618-B,137-1634-B,137-1648-B,137-1660-B,137-1670-B,137-1689-B
floatation	137-1704-B,137-1723-B,137-1745-B
floater	137-1770-B,137-1796-B
floating	137-1812-B,137-1831-B,137-1850-B,137-1869-B,137-1890-B
floatplane	137-1911-B
floaty	137-1933-B,137-1947-B
flocculation	137-1964-B,137-1987-B
flocculent	137-2014-B
flock	137-2038-B,137-2053-B,137-2065-B,137-2076-B,137-2086-B,137-2105-B,137-2117-B,137-2136-B,137-2158-B,137-2172-B
floe	137-2185-B,137-2194-B,137-2211-B
flog	137-2230-B,137-2244-B,137-2256-B
flood	137-2270-B,137-2283-B,137-2298-B,137-2314-B,137-2333-B,137-2350-B,137-2365-B,137-2379-B,137-2394-B
floodgate	137-2408-B
flooding	137-2427-B,137-2445-B,137-2465-B,137-2484-B,137-2502-B
floodlight	137-2519-B
floodlit	137-2541-B
floor	137-2562-B,137-2572-B,137-2584-B,137-2598-B,137-2614-B,137-2630-B,137-2644-B,137-2666-B,156-1133-S
floorboard	137-2678-B
floozie	137-2706-B,137-2721-B
floozy	137-2737-B,137-2750-B
flop	137-1205-S,137-2764-B,137-2780-B,137-2814-B,137-2827-B
flophouse	137-2842-B,137-2864-B
floppy	137-2883-B,137-2898-B,137-2913-B,137-2928-B,137-2945-B,137-2961-B
flora	137-2979-B,137-2992-B
floral	137-3007-B,137-3026-B
floret	137-3042-B,137-3057-B
florid	137-3070-B,137-3088-B
floridly	137-3104-B
florin	137-3124-B,137-3152-B
florist	137-3166-B,137-3186-B
floss	137-3208-B
flossy	137-3220-B,137-3238-B
flotation	137-3257-B
flotilla	137-3275-B
flotsam	137-3292-B,137-3317-B,137-3332-B
flounce	137-3353-B,137-3380-B
flounder	137-3405-B
flour	137-3425-B,137-3437-B,137-3451-B,137-3468-B,138-0-B,138-14-B,138-35-B
flourish	138-50-B,138-65-B,138-84-B,138-100-B,138-120-B,138-141-B,138-161-B
flourishing	138-184-B,138-206-B,138-233-B
floury	138-260-B
flout	138-276-B,138-293-B
flow	138-312-B,138-325-B,138-338-B,138-351-B,138-360-B,138-371-B,138-382-B
flower	138-396-B,138-410-B,138-423-B
flowering	138-439-B,138-459-B,138-480-B
flowerless	138-499-B
flowerpot	138-522-B
flowery	138-544-B
flowing	138-564-B
flown	164-1874-S
flu	138-581-B
fluctuate	138-594-B,138-615-B
