juridical	190-1263-B
jurisdiction	190-1285-B,190-1309-B,190-1334-B
jurisdictional	190-1364-B
jurisprudence	190-1393-B,190-1421-B,190-1448-B
jurisprudential	190-1477-B
jurist	190-1510-B,190-1526-B,190-1542-B,190-1559-B
juristic	190-1573-B
juror	190-1594-B
jury	190-1608-B
just	190-1620-B,190-1635-B,190-1644-B,190-1655-B,190-1666-B,190-1679-B,190-1690-B,190-1708-B,190-1722-B
justice	190-1734-B,190-1750-B,190-1765-B,190-1780-B,190-1802-B
justiciary	190-1823-B
justifiable	190-1846-B,190-1871-B
justifiably	190-1901-B,190-1926-B
justification	190-1956-B,190-1984-B,298-3589-S
justificatory	190-2014-B
justifier	190-2047-B,190-2066-B
justify	190-2091-B,190-2108-B,190-2126-B,190-2147-B
justly	190-2171-B,190-2191-B
justness	190-2211-B,190-2260-B,190-2283-B
jut	190-2303-B,190-2316-B
jute	190-2331-B
juvenile	190-2341-B,190-2361-B
juxtapose	190-2382-B,190-2399-B,190-2418-B
juxtaposition	190-2450-B,190-2476-B,190-2512-B
k	190-2540-B
kale	190-2544-B
kaleidoscope	190-2557-B
kaleidoscopic	190-2582-B
kamikaze	190-2613-B,190-2632-B
kangaroo	190-2656-B
kaolin	190-2672-B,190-2686-B
kaolinite	190-2701-B
kapok	190-2720-B,190-2732-B
kappa	190-2754-B
kaput	190-2766-B
karabiner	190-2782-B
karaoke	190-2802-B
karate	190-2818-B
karma	190-2832-B
kart	151-2556-S
karyotype	190-2844-B
kasha	190-2863-B
katabatic	190-2885-B
kava	190-2908-B
kayak	190-2925-B
kazoo	190-2937-B
kebab	190-2969-B
kedgeree	190-2981-B
keel	190-3014-B
keen	190-3024-B,190-3037-B,190-3052-B,190-3066-B,190-3083-B,190-3098-B,190-3110-B,190-3124-B,190-3140-B,190-3153-B,190-3165-B,190-3181-B,190-3195-B
keenly	190-3211-B
keenness	190-3227-B
keep	190-3246-B,190-3258-B,190-3272-B,190-3288-B,190-3300-B,190-3313-B,190-3323-B,190-3342-B,190-3356-B,190-3370-B,190-3387-B,190-3403-B,190-3418-B,190-3428-B,190-3441-B,190-3456-B,190-3470-B,190-3484-B,190-3501-B,190-3515-B,190-3529-B,190-3546-B
keeper	190-3560-B,190-3575-B,190-3591-B,190-3607-B,190-3621-B
keeping	190-3638-B,190-3660-B,191-0-B,191-21-B,191-37-B,191-59-B,191-74-B,191-90-B,191-109-B,191-130-B,191-152-B
keepsake	191-169-B
keg	191-196-B,191-207-B
kelp	191-215-B
kelvin	191-228-B
kempt	191-242-B,191-266-B,191-282-B
ken	191-298-B
kennel	191-319-B,191-332-B,191-345-B,191-363-B
kepi	191-378-B
kept	191-406-B,191-418-B,191-432-B,372-1092-S,372-1121-S
keratin	191-447-B
kerb	191-463-B,191-478-B
kerbstone	191-492-B
kerchief	191-512-B
kernel	191-529-B,191-543-B
kerosene	191-556-B
kestrel	191-574-B
ketch	191-592-B
ketchup	191-615-B,191-630-B
