alert	wakker
alga	alge
alga	wier
alga	zeewier
algae	zeewier
algebra	algebra
algebra	stelkunde
algorithm	algoritme
alias	bijnaam
alias	schuilnaam
alibi	alibi
alien	buitenlander
alien	buitenlands
alien	onwennig
alien	uitheems
alien	vreemd
alienate	vervreemden
alight	landen
alight	neerstrijken
alight	uitstappen
alike	eender
alike	even
alike	evenzeer
alike	gelijk
alike	gelijkelijk
alike	gelijkend
alike	soortgelijk
aliment	spijs
aliment	voedsel
alimentation	voeding
alimony	alimentatie
alimony	onderhoud
alimony	uitkering
alive	levend
alive	levendig
alive	opgewekt
alkali	alkali
alkali	loogzout
alkaline	alkalisch
all	al
all	alle
all	allemaal
all	allen
all	allerhande
all	allerlei
all	alles
all	compleet
all	gans
all	geheel
all	heel
all	helemaal
all	volkomen
all-out	vol
all-powerful	almachtig
allay	kalmeren
allegation	bewering
allege	beweren
allegiance	trouw
allegoric	allegorisch
allegoric	zinnebeeldig
allegorical	allegorisch
allegorical	zinnebeeldig
allegory	allegorie
allegory	gelijkenis
allegory	zinnebeeld
allergic	allergisch
allergy	allergie
alleviate	verlichten
alleviation	verlichting
alley	doorgang
alley	gang
alley	laan
alley	pad
alley	steeg
alliance	alliantie
alliance	bondgenootschap
alliance	verbond
allied	verwant
alligator	alligator
allocate	verdelen
allopathy	allopathie
allotment	aandeel
allotment	deel
allow	erkennen
allow	gedogen
allow	gunnen
allow	laten
allow	loslaten
allow	toegeven
allow	toelaten
allow	toestaan
allow	vergunnen
allow	veroorloven
allowance	aandeel
allowance	portie
allowance	rantsoen
allowance	toeslag
allowance	vergunning
alloy	alliage
alloy	legering
allude	zinspelen
allure	lokken
allure	verleiden
allure	verlokken
alluring	aanlokkelijk
alluringly	aanlokkelijk
allusion	toespeling
allusion	zinspeling
ally	aansluiten
ally	verbinden
almanac	almanak
almightiness	almacht
almighty	almachtig
almond	amandel
almost	bijkans
almost	bijna
almost	haast
almost	schier
almost	vrijwel
almost	welhaast
almost	zowat
alms	aalmoes
aloe	aloë
aloft	boven
aloft	omhoog
alone	alleen
alone	eenzaam
alone	enig
alone	louter
alone	verlaten
along	langs
along	naar
along	verder
along	voor
along	voort
along	vooruit
aloof	ver
aloud	hardop
aloud	luid
alp	alp
alp	alpenweide
alpaca	alpaca
alphabet	ABC
alphabet	alfabet
alpinist	bergbeklimmer
already	al
already	alreeds
already	alvast
already	reeds
also	bovendien
also	eveneens
also	evenzeer
also	mede
also	ook
also	overigens
also	verder
altar	altaar
alter	veranderen
alteration	keer
alteration	kentering
alteration	omkeer
alteration	verandering
alteration	verloop
alteration	verzetting
alteration	wijziging
alteration	wisseling
altercate	krakelen
altercate	twisten
altercation	ruzie
altercation	twist
alternate	veranderen
alternation	afwisseling
alternative	alternatief
alternative	keus
alternative	keuze
alternatively	anders
although	al
although	alhoewel
although	hoewel
although	ofschoon
although	wel
altitude	hoogte
altitude	stand
alto	alt
altogether	allemaal
altogether	helemaal
altogether	totaliter
altogether	volkomen
alum	aluin
aluminium	aluminium
aluminum	aluminium
always	altijd
always	immer
always	steeds
amalgam	amalgaam
amalgam	mengelmoes
amalgamate	verenigen
amanuensis	secretaris
amateur	amateur
amateur	dilettant
