amateur	liefhebber
amaze	bevreemden
amaze	verbazen
amaze	verwonderen
amazing	verbazingwekkend
amazon	amazone
ambassador	afgezant
ambassador	ambassadeur
ambassador	bode
ambassador	gezant
amber	barnsteen
ambiguous	dubbelslachtig
ambiguous	dubbelzinnig
ambiguously	dubbelzinnig
ambit	omvang
ambition	ambitie
ambition	eerzucht
ambitious	ambitieus
ambitious	eerzuchtig
ambitiously	ambitieus
ambitiously	eerzuchtig
ambulance	ambulance
ambulance	veldhospitaal
ambulance	ziekenauto
ambulance	ziekenwagen
ambuscade	hinderlaag
ambush	hinderlaag
ameer	emir
ameliorate	verbeteren
amen	amen
amenable	gedwee
amenable	verantwoordelijk
amend	verbeteren
amendment	wijziging
amercement	boete
amethyst	amethist
amiably	vriendelijk
amir	emir
amiss	kwaad
amiss	kwalijk
amiss	mis
amiss	verkeerd
amity	vriendschap
ammo	ammunitie
ammonia	ammonia
ammonia	ammoniak
ammunition	ammunitie
ammunition	munitie
amnesty	amnestie
amnesty	begenadiging
among	midden
among	middenin
among	onder
among	tussen
amongst	onder
amongst	tussen
amorphous	amorf
amorphous	vormloos
amortize	afbetalen
amortize	aflossen
amortize	amortiseren
amortize	delgen
amortize	uitdelgen
amount	bedrag
amount	bedragen
amount	grootte
amount	hoeveelheid
amount	som
amount	somma
amount	summa
amount	totaal
amount	totaalbedrag
amphibian	amfibie
amphitheatre	amfitheater
amphora	amfora
amphora	kruik
ample	breedvoerig
ample	omvangrijk
ample	ruim
ample	uitgebreid
ample	uitgestrekt
ample	veelomvattend
ample	wijd
amplification	vergroting
amply	ruimschoots
amputate	afzetten
amputate	amputeren
amputate	wegsnijden
amputation	amputatie
amputation	wegneming
amulet	amulet
amulet	talisman
amuse	amuseren
amuse	onderhouden
amuse	vermaken
amusement	amusement
amusement	schik
amusement	vermaak
amusing	aardig
amusing	amusant
amusing	grappig
amusing	leuk
amusing	vermakelijk
amusingly	amusant
amusingly	vermakelijk
an	een
anabaptist	wederdoper
anachronism	anachronisme
anaemia	anemie
anaemia	bloedarmoede
anaesthetise	verdoven
anaesthetise	wegmaken
anaesthetize	verdoven
anaesthetize	wegmaken
analogy	analogie
analogy	overeenkomst
analogy	overeenstemming
analyse	analyseren
analyse	ontbinden
analyse	ontleden
analysis	analyse
analysis	ontbinding
analysis	ontleding
analyze	analyseren
analyze	ontbinden
analyze	ontleden
anarchic	anarchistisch
anarchical	anarchistisch
anarchism	anarchisme
anarchist	anarchist
anarchy	anarchie
anarchy	regeringloosheid
anathema	anathema
anathema	ban
anathema	banvloek
anathema	excommunicatie
anatomic	anatomisch
anatomic	ontleedkundig
anatomical	anatomisch
anatomical	ontleedkundig
anatomize	ontleden
anatomy	anatomie
anatomy	ontleedkunde
ancestor	stamvader
ancestor	voorvader
ancestry	afkomst
ancestry	afstamming
anchor	anker
anchorite	kluizenaar
anchovy	ansjovis
ancient	aloud
ancient	antiek
ancient	oud
ancient	ouderwets
ancillary	ondergeschikt
and	en
anecdote	anecdote
anecdote	anekdote
anemia	anemie
anemia	bloedarmoede
anemone	anemoon
anesthesia	anesthesie
anesthesia	verdoving
anesthetise	verdoven
anesthetise	wegmaken
anesthetize	verdoven
anesthetize	wegmaken
angel	engel
angelica	engelwortel
anger	boosheid
anger	gramschap
anger	toorn
anger	vertoornen
anger	woede
angina	angina
angina	keelontsteking
angle	hoek
angry	boos
angry	kwaad
angry	nijdig
angry	toornig
angry	verbolgen
angry	verstoord
angry	vertoornd
anguish	angst
anguish	beklemming
anguish	benauwdheid
anguish	zielsangst
angular	hoekig
angular	kantig
anil	indigo
aniline	aniline
animadversion	aanmerking
animadversion	berisping
animal	beest
animal	dier
animal	dierlijk
animate	aanvuren
animate	aanwakkeren
animate	levend
