swindle	zwendelen
swine	varken
swine	zwijn
swing	balanceren
swing	draaien
swing	slingeren
swing	swingen
swing	vuur
swing	wiegelen
swing	zwaaien
swing	zwenken
swing	zwiepen
swing	zwieren
swipe	gappen
swipe	slaan
swipe	slag
swipe	stelen
swish	fluiten
swish	ritselen
swish	ruisen
swiss	Zwitsers
switch	gard
switch	omkeer
switch	omschakelen
switch	roede
switch	schakelaar
switch	spitsroede
switch	stokje
switch	stroomwisselaar
switch	verandering
switch	wissel
swivel	draaien
swollen	dik
swoon	bewusteloos raken
swop	inruilen
swop	ruilen
swop	wisselen
sword	degen
sword	sabel
sword	slagzwaard
sword	zwaard
swordplay	schermen
swordsmanship	schermkunst
syllable	lettergreep
syllable	syllabe
syllabus	programma
syllogism	sluitrede
syllogism	syllogisme
symbol	symbool
symbol	teken
symbol	zinnebeeld
symbolism	symboliek
symbolize	symboliseren
symmetric	regelmatig
symmetric	symmetrisch
symmetrical	regelmatig
symmetrical	symmetrisch
symmetrically	symmetrisch
symmetry	symmetrie
sympathetic	innemend
sympathetic	sympathiek
sympathetic	zielsverwant
sympathetically	innemend
sympathetically	sympathiek
sympathetically	zielsverwant
sympathize	sympathiseren
sympathy	deelneming
sympathy	medegevoel
sympathy	sympathie
symphony	symfonie
symptom	symptoom
symptom	teken
synagogue	jodenkerk
synagogue	synagoge
synchronous	synchronisch
syncopation	syncope
syncope	syncope
syndicate	syndicaat
syndicate	vakbond
syndicate	vakvereniging
synod	kerkvergadering
synod	synode
synonymic	synoniem
synonymic	zinverwant
synonymous	synoniem
synonymous	zinverwant
synopsis	overzicht
synopsis	samenvatting
synoptical	synoptisch
syntax	syntaxis
syntax	zinsbouw
syntax	zinsleer
synthesis	synthese
synthetic	synthetisch
synthetical	synthetisch
syphilis	syfilis
syringa	sering
syringe	injectiespuit
syringe	spuit
syringe	spuiten
syringe	uitspuiten
syrup	siroop
syrup	stroop
system	bestel
system	inrichting
system	stelsel
system	systeem
systematic	planmatig
systematic	stelselmatig
systematic	systematisch
systematical	stelselmatig
systematical	systematisch
systematically	stelselmatig
systematically	systematisch
tab	label
tabby	kat
tabby	poes
tabernacle	bedehuis
tabernacle	tent
table	register
table	tabel
table	tafel
tableau	tableau
tableland	plateau
tablet	tablet
tack	koers
tack	richting
tackle	gerei
tackle	tuig
tacky	kleverig
tact	beleid
tact	maat
tact	ritme
tact	tact
tactic	tactiek
tactics	tactiek
tactless	tactloos
tadpole	kikkervisje
taffeta	taf
tag	aanhangsel
tag	etiket
tag	label
tail	achterste
tail	staart
tail	uiteinde
tailor	kleermaker
tailor	kleren maken
tailor	snijder
tailor	tailleur
tails	rok
taint	aansteken
taint	bederven
taint	besmetten
taint	bezoedelen
taint	blaam
take	aannemen
take	aanvaarden
take	aanvatten
take	accepteren
take	afnemen
take	behalen
take	bekleden
take	beschouwen
take	beslaan
take	bezetten
take	erkennen
take	gebruiken
take	halen
take	ontvangen
take	ontvangst
take	pakken
take	treffen
take	vatten
take	waarnemen
takings	ontvangst
talc	talk
tale	geschiedenis
tale	relaas
tale	verhaal
tale	vertelling
tale	vertelsel
talent	aanleg
talent	begaafdheid
talent	gave
talent	talent
talented	begaafd
talented	geboren
talented	getalenteerd
talented	talentvol
talisman	amulet
talisman	talisman
talk	bespreking
talk	conversatie
talk	gesprek
talk	onderhoud
talk	praten
talk	spreken
talkative	praatziek
talkative	spraakzaam
tall	groot
