dilly-dally	treuzelen
dim	donker
dim	doven
dim	duister
dim	flauw
dim	vaag
dim	verduisteren
dim	zwak
dimension	afmeting
dimension	bestek
dimension	dimensie
dimension	grootte
dimension	omvang
dimension	uitgebreidheid
diminish	verkleinen
diminutive	gering
diminutive	karig
diminutive	klein
diminutive	luttel
diminutive	min
din	herrie
dingy	duister
dingy	smerig
dingy	somber
dingy	vuil
dinky	klein
dinner	avondeten
dinner	diner
dinner	eten
dinner	middageten
dinner	middagmaal
dint	kracht
diocese	bisdom
diocese	diocees
dip	bad
dip	duiken
dip	helling
dip	indompelen
dip	indopen
dip	neerlaten
dip	soppen
dip	verven
diphtheria	difterie
diphthong	tweeklank
diploma	akte
diploma	brevet
diploma	bul
diploma	diploma
diplomacy	diplomatie
diplomat	diplomaat
dipper	dompelaar
dipper	duiker
dipsomania	drankzucht
dipsomaniac	drankzuchtige
dire	akelig
dire	ijselijk
direct	adresseren
direct	besturen
direct	direct
direct	dirigeren
direct	geleiden
direct	leiden
direct	live
direct	mennen
direct	recht
direct	rechtstreeks
direct	richten
direct	rondleiden
direction	bestuur
direction	bevel
direction	consigne
direction	directie
direction	instructie
direction	koers
direction	leiding
direction	regie
direction	richting
direction	voorschrift
directive	bevel
directive	instructie
directly	aanstonds
directly	direct
directly	onmiddellijk
directly	overeind
directly	recht
directly	rechtop
directly	rechtstreeks
director	bestuurder
director	directeur
director	regisseur
directory	catalogus
dirigible	luchtschip
dirk	dolk
dirt	aarde
dirt	drek
dirt	grond
dirt	modder
dirt	vuil
dirt	vuiligheid
dirty	bevuilen
dirty	bezoedelen
dirty	gemeen
dirty	morsig
dirty	onrein
dirty	smerig
dirty	vies
dirty	vuil
dirty	vuilmaken
disadvantage	minpunt
disadvantage	nadeel
disadvantage	schaduwzijde
disadvantage	verlies
disagreeable	onaangenaam
disagreement	geschil
disagreement	meningsverschil
disagreement	onenigheid
disagreement	verschil
disagreement	weigering
disallow	afkeuren
disallow	weigeren
disappearance	verdwijning
disappoint	teleurstellen
disapprobation	afkeuring
disapproval	afkeuring
disarm	ontwapenen
disarrange	verwarren
disarray	verwarring
disaster	ongeluk
disaster	onheil
disaster	ramp
disastrous	noodlottig
disavow	ontkennen
disband	afdanken
disband	ontbinden
disburden	ontlasten
disburse	betalen
disburse	uitbetalen
disbursement	uitgaaf
disbursement	uitgave
disc	grammofoonplaat
disc	schijf
discard	afdanken
discern	onderscheiden
discern	waarnemen
discharge	afdanken
discharge	afladen
discharge	afmonsteren
discharge	afschieten
discharge	etteren
discharge	kwitantie
discharge	lossen
discharge	ontladen
discharge	ontlasten
discharge	ontslaan
discharge	ontzetten
discharge	royeren
discharge	uitstoten
discharge	vervullen
disciple	discipel
discipline	discipline
discipline	tucht
disclosure	bekendmaking
disclosure	openbaring
discolor	verkleuren
discolor	verschieten
discomfit	verslaan
discomfiture	nederlaag
disconnect	afzetten
disconnect	uitschakelen
disconsolate	somber
disconsolately	somber
discontented	wrevelig
discontinuation	afbreking
discontinue	afbreken
discord	geschil
discord	meningsverschil
discord	onenigheid
discord	twist
discord	weigering
discount	afslag
discount	disconteren
discount	disconto
discount	korting
discount	rabat
discount	verdisconteren
discourage	afraden
discourage	ontmoedigen
discourse	praten
discourse	preek
discourse	redevoering
discourse	spreken
discourteous	onbeleefd
discourteously	onbeleefd
discover	ontdekken
discovery	ontdekking
discreet	bescheiden
discreet	discreet
discreet	verstandig
discreetly	bescheiden
discreetly	discreet
