fag	sigaret
faggot	bundel
faience	plateel
fail	teleurstellen
failure	afgang
failure	debâcle
failure	echec
failure	fiasco
failure	flop
failure	mislukking
failure	sof
fain	gaarne
fain	graag
faineant	lui
faineant	traag
faint	licht
faint	zwak
faintly	zwak
fair	aardig
fair	bazaar
fair	blond
fair	fair
fair	jaarbeurs
fair	kermis
fair	klaar
fair	markt
fair	marktplaats
fair	mooi
fair	rechtvaardig
fair	rein
fair	schoon
fair	tamelijk
fair	zuiver
fair-haired	blond
fairly	aardig
fairly	eerlijk
fairly	tamelijk
fairness	rechtvaardigheid
fairness	schoonheid
faith	fiducie
faith	geloof
faith	trouw
faith	vertrouwen
faithful	gelovig
faithful	getrouw
faithful	loyaal
faithful	nauwgezet
faithful	trouw
faithful	trouwhartig
faithfully	trouw
faithfulness	trouw
faithless	trouweloos
fake	vals
fakir	fakir
falcon	valk
fall	afvallen
fall	helling
fall	neervallen
fall	ondergang
fall	raken
fall	storten
fall	uitvallen
fall	val
fall	vallen
fall	verschieten
fall	waterval
fall	worden
fallacious	bedrieglijk
fallaciously	bedrieglijk
fallacy	bedrog
fallacy	dwaling
false	bedrieglijk
false	dubbelhartig
false	loos
false	onecht
false	onjuist
false	onwaar
false	vals
false	verkeerd
false	vervalst
falsehood	leugen
falsehood	onwaarheid
falsely	onjuist
falsely	vals
falsify	vervalsen
falter	wankelen
falter	weifelen
fame	befaamdheid
fame	beroemdheid
fame	faam
fame	gerucht
fame	glorie
fame	lof
fame	mare
fame	reputatie
fame	roem
fame	roep
fame	vermaardheid
famed	befaamd
famed	beroemd
famed	vermaard
familiar	bekend
familiar	gemeenzaam
familiar	vertrouwd
familiar	vertrouwelijk
familiarity	bekendheid
family	familie
family	geslacht
family	gezin
family	huis
family	huisgezin
famous	alom bekend
famous	befaamd
famous	beroemd
famous	glorieus
famous	roemruchtig
famous	roemvol
famous	vermaard
famous	welbekend
famously	beroemd
fan	ventilator
fan	waaien
fan	waaier
fan	wan
fan	wannen
fanatic	dweper
fanatic	fanaticus
fanatical	dweepziek
fanatical	dwepend
fanatical	fanatiek
fanatically	dweepziek
fanatically	fanatiek
fanaticism	dweepzucht
fanaticism	fanatisme
fancier	amateur
fancier	dilettant
fancier	liefhebber
fanciful	denkbeeldig
fancy	chic
fancy	dromen
fancy	eigenaardig
fancy	fantasie
fancy	geloven
fancy	gril
fancy	inval
fancy	menen
fancy	verbeelding
fanfare	fanfare
fanfare	fanfarekorps
fanny	zitvlak
fantasia	fantasie
fantastic	grillig
fantastical	grillig
fantasy	fantasie
fantasy	verbeeldingskracht
far	achteraf
far	afgelegen
far	veel
far	ver
far	veraf
far	verafgelegen
far	ververwijderd
far	verwijderd
far-famed	beroemd
far-off	afgelegen
far-off	ver
farcical	kluchtig
fare	kost
fare	passagier
fare	voedsel
farewell	adieu
farewell	afscheid
farewell	vaarwel
farina	zetmeel
farm	bezitting
farm	goed
farm	landgoed
farm	pachthoeve
farmer	agrariër
farmer	boer
farmer	landbouwer
farmer	landman
farming	akkerbouw
farming	landbouw
farther	verder
farther	verderop
fascicle	bosje
fascinate	betoveren
fascinate	fascineren
fascinating	bekoorlijk
fascinating	betoverend
fascinating	boeiend
fascinating	fascinerend
fascinatingly	betoverend
fashion	aard
fashion	manier
fashion	mode
fashion	modus
fashion	trant
fashion	vormen
