impressive	indrukwekkend
imprint	afdruk
imprint	afdrukken
imprint	spoor
imprint	stempel
imprison	gevangen zetten
imprison	opsluiten
improper	ongepast
improve	verbeteren
improve	veredelen
improve	verhogen
improvement	vooruitgang
improvement	vordering
improvidence	zorgeloosheid
improvident	zorgeloos
improvise	improviseren
impudent	onbeschaamd
impudent	schaamteloos
impugn	betwisten
impulse	aandrang
impulse	aandrift
impulse	drang
impulse	druk
impulse	impuls
impulse	opwelling
impulse	stoot
impulse	stuwing
impulsion	aandrang
impulsion	aandrift
impulsion	druk
impulsion	stoot
impure	onrein
imputation	beschuldiging
impute	toedichten
in	aan
in	bij
in	binnen
in	in
in	met
in	naar
in	op
in	per
in	te
in	van
in	voor
inaccessible	ontoegankelijk
inactive	flauw
inactive	passief
inactive	traag
inadequate	ontoereikend
inane	idioot
inanimate	levenloos
inappreciable	onbeduidend
inapt	onbekwaam
inarticulate	onduidelijk
inasmuch	daar
inauguration	inauguratie
inauguration	inwijding
inauspicious	ongunstig
inborn	aangeboren
inborn	ingeboren
inbred	aangeboren
inbred	ingeboren
incalculable	onmetelijk
incapable	onbekwaam
incapacitate	uitschakelen
incarcerate	opsluiten
incarnate	belichamen
incendiary	brandbom
incense	vertoornen
incense	wierook
incentive	aansporing
incentive	motief
incentive	prikkel
incentive	reden
inception	begin
incest	bloedschande
incest	incest
inch	duim
incidence	inval
incident	episode
incident	gebeurtenis
incident	incident
incident	ongeval
incident	voorval
incidental	incidenteel
incidental	toevallig
incidentally	incidenteel
incidentally	toevallig
incinerate	verbranden
incipience	aanvang
incipience	begin
incision	kerf
incision	snede
incisive	scherp
incite	aansporen
incite	aanstoken
incite	irriteren
incite	ophitsen
incite	opwekken
incite	opwinden
incite	prikkelen
incite	sarren
incitement	aansporing
inclination	aanvechting
inclination	helling
inclination	lust
inclination	neiging
inclination	zin
incline	buigen
incline	geneigd zijn
incline	helling
incline	neigen
inclose	bevatten
inclose	insluiten
include	behelzen
include	bevatten
include	inhouden
include	insluiten
include	omvatten
included	inbegrepen
including	inbegrepen
including	incluis
including	inclusief
inclusive	inclusief
inclusively	inbegrepen
inclusively	incluis
inclusively	inclusief
incognito	incognito
income	inkomen
income	inkomsten
income	ontvangst
income	opbrengst
income	recette
income	rente
income	verdienste
incommode	hinderen
incommode	storen
incompetent	onbekwaam
incomplete	onvolledig
incomprehensible	onbegrijpelijk
inconceivable	ondenkbaar
inconceivable	onvoorstelbaar
inconsequential	onbelangrijk
inconsolable	ontroostbaar
inconstant	onbestendig
inconstant	veranderlijk
inconstant	wispelturig
inconvenient	zwaar
incorporate	samenbrengen
incorporation	opname
incorrect	fout
incorrect	onjuist
incorrect	verkeerd
incorrectly	onjuist
increase	aangroei
increase	aanwas
increase	groei
increase	groeien
increase	ophogen
increase	toename
increase	toenemen
increase	vergroten
increase	vergroting
increase	verheffen
increase	verhogen
increase	vermeerderen
increase	vermeerdering
increase	wassen
incredible	onaannemelijk
incredible	ongelofelijk
increment	aanwas
increment	vermeerdering
incriminate	beschuldigen
incrimination	beschuldiging
inculpate	beschuldigen
incumbency	verplichting
incursion	inval
indebtedness	verplichting
indecisive	onzeker
indeed	echt
indeed	feitelijk
indeed	immers
indeed	inderdaad
indeed	ja
indeed	metterdaad
indeed	toch
indeed	waarachtig
indeed	waarlijk
indeed	wel
indeed	werkelijk
indeed	zeker
indeed	zelfs
indefatigable	onvermoeibaar
indefatigable	onvermoeid
indefinite	vaag
indemnity	vergoeding
indention	alinea
independence	onafhankelijkheid
independency	onafhankelijkheid
