demote	49-1779-B
demur	49-1797-B,49-1812-B,49-1826-B,49-1845-B
demure	49-1860-B,49-1876-B,49-1891-B,49-1905-B,49-1920-B
demurely	49-1933-B,49-1949-B
den	49-1964-B,49-1973-B,49-1981-B,49-1991-B,49-2002-B,49-2011-B
denial	49-2023-B
denigrate	49-2040-B
denizen	49-2062-B
denmark	1-1404-B
denominate	49-2078-B,49-2098-B
denomination	49-2116-B
denotation	49-2135-B
denote	49-2156-B
denounce	49-2173-B,49-2193-B,49-2211-B,49-2230-B,49-2251-B,49-2268-B
dense	49-2288-B,49-2300-B,49-2310-B,49-2320-B
densely	49-2335-B,49-2349-B
denseness	49-2361-B
density	49-2381-B
dentate	49-2399-B
dentifrice	49-2414-B
dentist	49-2435-B
denude	49-2452-B
deny	49-2469-B,49-2484-B,49-2499-B,49-2517-B
depart	49-2531-B,49-2545-B,49-2563-B
departed	49-2578-B
department	49-2597-B,49-2617-B,49-2636-B,49-2659-B,49-2677-B,49-2692-B,49-2707-B
departure	49-2728-B,49-2744-B,49-2762-B,49-2781-B
depend	49-2799-B
dependable	49-2815-B,49-2838-B
dependant	49-2859-B,49-2883-B
dependence	49-2904-B
dependency	49-2931-B
dependent	49-2958-B,49-2980-B,49-3004-B
depict	49-3025-B,49-3042-B,49-3060-B,49-3078-B
depletion	49-3097-B
deplorable	49-3118-B,49-3147-B
deplore	49-3166-B,49-3185-B
deploy	49-3203-B,49-3220-B
depopulate	49-3236-B
deportment	49-3257-B,49-3275-B,49-3294-B
depose	49-3312-B,49-3328-B
deposit	49-3345-B,49-3361-B,49-3379-B,49-3396-B,49-3412-B
depot	49-3432-B
deprave	49-3446-B,49-3463-B
deprecate	49-3481-B
deprecation	49-3500-B
depredation	49-3522-B
depress	49-3545-B
depression	49-3561-B
deprivation	49-3582-B,49-3603-B
deprive	49-3623-B
depth	50-0-B,50-13-B,50-26-B
deputation	50-37-B,50-61-B
depute	50-82-B,50-101-B
deputy	50-118-B,50-134-B,50-158-B
derange	50-181-B,50-196-B
derelict	50-214-B,50-232-B
dereliction	50-246-B,50-268-B
deride	50-288-B
derision	50-305-B,50-325-B,50-345-B
derivation	50-359-B
derive	50-381-B,50-397-B
dermis	50-413-B,50-425-B
descend	50-436-B,50-454-B
descendant	50-468-B,50-492-B,50-514-B,50-532-B
descendent	50-548-B,50-572-B,50-594-B,50-612-B
descent	50-628-B,50-644-B,50-663-B,50-678-B,50-694-B
describe	50-710-B
description	50-729-B,50-754-B,50-778-B,50-796-B
descry	50-817-B,50-834-B,50-851-B
desecrate	50-867-B
desert	50-889-B,50-905-B,50-922-B,50-935-B,50-952-B
deserted	50-968-B
deserve	50-990-B,50-1007-B
desiccate	50-1025-B,50-1042-B
design	50-1062-B,50-1076-B,50-1093-B,50-1110-B,50-1124-B,50-1136-B,50-1151-B,50-1166-B,50-1183-B,50-1196-B,50-1208-B,50-1227-B,50-1241-B,50-1257-B
designate	50-1275-B,50-1295-B,50-1315-B
designedly	50-1332-B
desirable	50-1355-B,50-1376-B,50-1402-B,50-1420-B
desire	50-1440-B,50-1456-B,50-1471-B,50-1483-B,50-1505-B,50-1522-B,50-1539-B,50-1551-B,50-1565-B,50-1576-B,50-1587-B
desirous	50-1600-B
desist	50-1617-B,50-1632-B
desk	50-1648-B,50-1663-B
desolate	50-1677-B,50-1694-B,50-1710-B,50-1728-B
despair	50-1743-B,50-1764-B,50-1786-B
despairing	50-1802-B
despairingly	50-1822-B
despatch	50-1844-B,50-1861-B,50-1879-B
desperate	50-1898-B,50-1917-B,50-1936-B
desperately	50-1955-B
desperation	50-1976-B,50-2001-B,50-2027-B
despicable	50-2047-B
despite	50-2071-B,50-2096-B,50-2112-B
despoil	50-2126-B,50-2142-B
despondent	50-2160-B
despot	50-2181-B,50-2196-B
despotism	50-2214-B
dessert	50-2235-B,50-2251-B,50-2269-B,50-2286-B
destination	50-2301-B
destine	50-2324-B,50-2342-B
destiny	50-2361-B,50-2380-B,50-2396-B,50-2414-B,50-2426-B,50-2449-B,50-2465-B
destitution	50-2482-B,50-2502-B
destroy	50-2521-B,50-2539-B,50-2557-B,50-2575-B,50-2595-B
destruction	50-2614-B,50-2636-B
detach	50-2661-B,50-2679-B
detached	50-2695-B
detachment	50-2708-B,50-2728-B,50-2751-B,50-2772-B
detail	50-2788-B,50-2809-B,50-2823-B,50-2835-B
detailed	50-2852-B,50-2867-B,50-2890-B,50-2909-B
detain	50-2928-B,50-2945-B,50-2961-B,50-2978-B,50-2994-B,50-3012-B,50-3031-B,50-3049-B
detect	50-3067-B
detection	50-3084-B
detective	50-3105-B,50-3125-B
detention	50-3147-B,50-3168-B,50-3185-B,50-3206-B
deter	50-3226-B
deteriorate	50-3241-B
determinant	50-3267-B
determinate	50-3290-B,50-3310-B,50-3330-B
determinately	50-3347-B,50-3369-B,50-3391-B
determination	50-3410-B,50-3433-B,50-3458-B
determinative	50-3480-B
determine	50-3505-B,50-3523-B,50-3543-B,50-3563-B,50-3585-B,50-3608-B
determined	50-3627-B
detest	51-0-B,51-20-B
detestable	51-37-B
detestation	51-61-B
dethrone	51-81-B
detonate	51-100-B
detonation	51-120-B
detour	51-143-B
detract	51-156-B
detrain	51-172-B
detriment	51-189-B
detrimental	51-206-B
deuce	51-226-B,51-240-B,51-253-B
devastate	51-264-B
develop	51-285-B,51-303-B
developing	51-323-B
development	51-346-B,51-367-B
deviate	51-392-B
deviating	51-409-B
device	51-429-B,51-445-B,51-459-B,51-479-B,51-497-B,51-515-B,51-527-B,51-539-B,51-554-B
devil	51-571-B,51-582-B,51-594-B,51-608-B
devilish	51-621-B,51-639-B,51-661-B,51-678-B,51-695-B,51-712-B
devise	51-730-B,51-746-B,51-761-B
devote	51-778-B,51-794-B,51-811-B
devoted	51-828-B,51-849-B,51-865-B,51-891-B
devotion	51-910-B
devotional	51-931-B
devoutness	51-955-B
dew	51-976-B,51-985-B
dexterity	51-996-B,51-1017-B
dexterous	51-1039-B,51-1058-B,51-1077-B,51-1095-B,51-1112-B
dextrous	51-1130-B,51-1148-B,51-1166-B,51-1183-B,51-1199-B
diabetes	51-1216-B,51-1234-B
diabolic	51-1256-B,51-1274-B,51-1296-B
diabolical	51-1313-B,51-1333-B,51-1357-B,51-1376-B,51-1395-B,51-1414-B
diadem	51-1434-B
diagonal	51-1449-B
diagram	51-1468-B
diagrammatic	51-1483-B
dial	51-1508-B,51-1520-B
dialect	51-1537-B,51-1553-B
dialog	51-1569-B,51-1584-B,51-1603-B
dialogue	51-1621-B,51-1638-B,51-1659-B
diameter	51-1679-B,51-1697-B
diamond	51-1717-B,51-1733-B
diaphragm	51-1746-B,51-1766-B
diarrhoea	51-1786-B,51-1805-B
diary	51-1823-B,51-1836-B,51-1850-B
dichromatic	51-1865-B
dicky	51-1889-B
dictate	51-1900-B,51-1917-B
dictation	51-1937-B,51-1955-B
dictator	51-1972-B
dictatorship	51-1990-B
dictionary	51-2013-B
didactics	51-2036-B
die	51-2056-B,51-2072-B,51-2085-B,51-2098-B,51-2110-B,51-2123-B,51-2138-B,51-2154-B
diet	51-2170-B,51-2181-B,51-2192-B
differ	51-2205-B,51-2220-B,51-2239-B
difference	51-2258-B,51-2277-B,51-2300-B
different	51-2320-B,51-2336-B,51-2353-B,51-2376-B
differentiate	51-2399-B
differently	51-2427-B
difficult	51-2446-B,51-2463-B,51-2482-B,51-2497-B
difficulty	51-2513-B,51-2532-B,51-2556-B,51-2579-B
diffident	51-2601-B,51-2619-B,51-2640-B
diffuse	51-2664-B
diffusion	51-2682-B
dig	51-2705-B,51-2713-B,51-2723-B,51-2734-B,51-2742-B,51-2754-B,51-2764-B
digest	51-2775-B,51-2792-B,51-2809-B,51-2829-B,51-2845-B,51-2861-B
digestible	51-2878-B
digestion	51-2901-B,51-2926-B
digit	51-2946-B,51-2959-B,51-2970-B
dignified	51-2983-B,51-3000-B
dignify	51-3018-B
dignity	51-3034-B,51-3054-B,51-3073-B
dike	51-3093-B,51-3103-B
dilapidated	51-3120-B,51-3140-B,51-3163-B,51-3182-B,51-3205-B,51-3228-B,51-3250-B
dilatation	51-3267-B
dilemma	51-3289-B
dilettante	51-3305-B,51-3324-B
diligence	51-3345-B,51-3361-B,51-3384-B
diligent	51-3400-B,51-3417-B,51-3435-B,51-3451-B
diligently	51-3468-B,51-3487-B,51-3507-B,51-3525-B
dilly dally	52-0-B
dim	52-22-B,52-33-B,52-43-B,52-55-B,52-65-B,52-74-B,52-91-B
dimension	52-100-B,52-119-B,52-136-B,52-155-B,52-173-B,52-190-B
diminish	52-215-B
diminutive	52-235-B,52-253-B,52-270-B,52-287-B,52-305-B
din	52-320-B
dingy	52-331-B,52-345-B,52-358-B,52-371-B
dinky	52-382-B
dinner	52-394-B,52-411-B,52-424-B,52-436-B,52-454-B
dint	52-472-B
diocese	52-484-B,52-499-B
dip	52-515-B,52-523-B,52-534-B,52-546-B,52-561-B,52-573-B,52-587-B,52-598-B
diphtheria	52-609-B
diphthong	52-629-B
diploma	52-649-B,52-662-B,52-677-B,52-689-B
diplomacy	52-705-B
diplomat	52-726-B
dipper	52-745-B,52-762-B
dipsomania	52-776-B
dipsomaniac	52-798-B
dire	52-824-B,52-836-B
direct	52-850-B,52-868-B,52-884-B,52-898-B,52-915-B,52-931-B,52-945-B,52-957-B,52-971-B,52-984-B,52-1004-B,52-1019-B
direction	52-1037-B,52-1055-B,52-1071-B,52-1090-B,52-1109-B,52-1130-B,52-1146-B,52-1164-B,52-1180-B,52-1199-B
directive	52-1221-B,52-1237-B
directly	52-1258-B,52-1277-B,52-1293-B,52-1315-B,52-1333-B,52-1348-B,52-1365-B
director	52-1387-B,52-1407-B,52-1426-B
directory	52-1445-B
dirigible	52-1465-B
dirk	52-1486-B
dirt	52-1496-B,52-1507-B,52-1517-B,52-1528-B,52-1540-B,52-1550-B
dirty	52-1566-B,52-1581-B,52-1598-B,52-1611-B,52-1624-B,52-1637-B,52-1650-B,52-1661-B,52-1672-B
disadvantage	52-1688-B,52-1709-B,52-1729-B,52-1755-B
disagreeable	52-1776-B
disagreement	52-1801-B,52-1822-B,52-1851-B,52-1875-B,52-1897-B
disallow	52-1920-B,52-1938-B
disappearance	52-1956-B
disappoint	52-1982-B
disapprobation	52-2007-B
disapproval	52-2032-B
disarm	52-2054-B
disarrange	52-2072-B
disarray	52-2093-B
disaster	52-2113-B,52-2130-B,52-2146-B
disastrous	52-2160-B
disavow	52-2182-B
disband	52-2200-B,52-2217-B
