aureole	aŭreolo
aurochs	uro
aurora	aŭroro
autarky	aŭtarkio
authentic	aŭtenta
authenticity	aŭtentikeco
author	verkinto
author	verkisto
authoress	aŭtorino
authoress	verkistino
authority	aŭtoritateco
authority	aŭtoritato
authority	aŭtoritatulo
authority	ekspertizisto
authority	estreco
authorization	mandato
authorization	rajtigo
authorize	rajtigi
autism	aŭtismo
autistic	aŭtisma
autobiographical	aŭtobiografia
autobiography	aŭtobiografio
autobiography	membiografio
autocracy	aŭtokratio
autocracy	aŭtokratismo
autocrat	aŭtokrato
autocratic	aŭtokrata
autodidact	meminstruito
autodidact	memlerninto
autogenous	aŭtogena
automate	aŭtomatigi
automate	aŭtomatizi
automatic	aŭtomata
automatically	aŭtomate
automation	aŭtomatigo
automobile	aŭtomobilo
automoton	aŭtomato
autonomous	aŭtonomia
autonomous	memstara
autonomy	memstareco
autopsy	aŭtopsio
autopsy	sekcado
autumn	aŭtuna
autumn	aŭtuno
autumnal	aŭtuneca
avail	utili
available	disponebla
available	havebla
avalanche	lavango
avant-garde	avangarda
avant-garde	avangardo
avarice	avareco
avaricious	avara
avenge	venĝi
avens	geumo
avenue	aleo
avenue	avenuo
average	averaĝa
average	averaĝo
average	meza
average	meznombra
average	mezo
averse	malinklina
aversion	antipatio
aviary	birdejo
aviate	aviadi
aviation	aernavigado
aviation	aviado
aviator	aviadisto
avidity	avideco
avidity	avido
avoid	eviti
avowedly	memkonfese
await	ĝisatendi
awake	maldorma
awaken	veki
aware	konscia
awareness	konscio
away	for
awful	abomena
awful	abomeninda
awful	terura
awfully	terure
awkward	malgracia
awkward	mallerta
axe	hakilo
axiom	aksiomo
axis	akso
axle	akso
azalea	azaleo
azimuth	azimuto
baboon	paviano
baby	bebo
babysitter	vespera vartantino
babysitter	vespera vartanto
back	dorsflanko
back	dorso
back	malantaŭa flanko
back	malantaŭa parto
back	nepagita
back	reen
back	returne
back	veturi malantaŭen
back-door	malantaŭa pordo
backbiting	kalumnio
background	fono
background	malantaŭplano
backpack	tornistro
backside	postaĵo
backside	pugo
backspace	retropaŝo
backup	bakupi
backup	bakupo
backup	rezerva memorkopio
backup	sekurkopii
backup	sekurkopio
backward	dorsen
backward	malantaŭen
backward	mense postrestanta
backward	retroira
backwardness	mensa postrestanteco
backwards	dorsen
backwards	malantaŭen
backwards	posten
backwards	reen
bacon	lardo
bacterium	bakterio
bad	malbona
bad	malbono
bad	mava
bad	putra
bad-smelling	fetora
bad-smelling	fetoranta
badge	insigno
badger	melo
badly	malbone
bag	sako
bag	sendaĵero
baggage	pakaĵo
bags	sendaĵeroj
bah	ba
baht	bado
bairn	infano
bait	logaĵo
bait	logilo
baize	krudlanŝtofa
baize	krudlanŝtofo
bake	baki
bakelite	bakelito
baker	panisto
bakery	bakejo
balance	balanciero
balance	balanciĝi
balance	banksaldo
balance	egalpezo
balance	pesilo
balance	saldo
balata	balato
balcony	balkono
bald	kalva
baldachin	baldakeno
baldness	kalveco
bale	pakego
bale	sendaĵero
baleen	balenlameno
baleen	balenosto
bales	sendaĵeroj
ball	balo
ball	bulo
ball	globo
ball	pilko
ball	sfero
ball	tenaro
ball	testiko
ball-room	balsalono
ballad	balado
ballade	balado
ballast	balasto
ballerina	baletistino
ballet	baleto
ballgame	pilkoludo
ballistics	balistiko
balloon	aerostato
balloon	balono
ballot	balotado
balloting	balotado
ballpoint	globskribilo
balm	balzama
balm	balzamo
balminess	mildeco
balsam	balzama
balsam	balzamino
balsam	balzamo
balustrade	balustrado
bamboo	bambuo
ban	anatemo
ban	ekskomuniko
banality	banalaĵo
banality	banaleco
banality	ŝablono²
