booking	rezervigo
booking-office	biletgiĉeto
booklet	libreto
bookmark	paĝosigno
bookseller	librovendisto
bookshop	librejo
bookshop	librobutiko
bookshop	librovendejo
bookstore	librejo
bookstore	librobutiko
bookstore	librovendejo
boon	beno
boor	impertinentulo
boor	krudulo
boot	boto
booty	rabaĵo
booze	alkoholaĵo
booze	drinkaĵo
boozer	drinkemulo
boozer	drinkulo
borax	borakso
border	bordero
border	landlimo
border	randaĵo
border	rando¹
bore	boratingi
bore	bori
bore	borilo
bore	enuigi
bore	tedi
boring	enua
boring	enuiga
boring	teda
boron	boro
borrow	deprunti
borrow	pruntepreni
borrow	prunti
borstch	barĉo
bosom	brusto
bosom	sino
boss	estro
boss	mastro
boss	ĉefo
bossy	estrema
botany	botaniko
botch	fuŝi
both	ambaŭ
bother	ĝeni
bottle	botelo
bottle	enboteligi
bottle	spili
bottle	ujo
bottom	fundo
bottom	kareno
bottom	malsupra flanko
bottom	malsupro
bottom	postaĵo
bottom	pugo
bough	branĉo
bouillon	buljono
boulder	ŝtonego
boulevard	bulvardo
bound	limi
boundary	limo
bouquet	bukedo²
bouquet	bukedo¹
bourgeois	burĝa
bourgeois	mezklasa
bourgeoisie	burĝaro
boutique	butiko
bovine	bova
bovine	bovo
bow	arko
bow	pafarko
bow	pruo
bow	riverenci
bow	riverenco
bowdlerize	ĉastigi
bowl	bovlo
bowl	pelvo
bowling	globludado
bowling	globludo
box	boksi
box	kesto
box	skatoleto
box	skatolo
box	ujo
box-room	konservejo
box-tree	bukso
boxer	boksisto
boxer	pugnobatalanto
boxing	bokso
boy	knabo
boyish	knaba
boyish	knabeca
boyscout	skolto
bra	mamzono
brace	armaturo
brace	krampo
brace	kuniga krampo
brace	murkrampo
brace	stajo
bracelet	braceleto
braces	ŝelkoj
bracket	krampo
bracket	rekta krampo
brackets	krampoj
brag	blufi
brag	fanfaroni
braid	ligaĵo
braid	plekti
brain	cerbo
brake	bremsi
brake	bremso
bramble	ordinara rubuso
bramble	rubuso
branch	branĉo
branch	disbranĉigi
branch	fako
branch	filio
branch	sekcio
branching	disbranĉigo
brand	brulmarki
brand	brulsigni
brand	brulstampi
brand	brulstampo
brandish	svingi
brandy	brando
brass	flava kupro
brass	latuna
brave	kuraĝa
bray	azenbleki
bray	bleki
breach	breĉi
breach	breĉo
bread	pano
breadwinner	panakiranto
break	derompi
break	derompiĝi
break	dividstreko
break	haltostreko
break	haltstreko
break	obeigi
break	paŭzo
break	rompi
break	rompiĝi
break	rompiĝo
break-down	panei
breakable	rompiĝema
breakaway	secesio
breakfast	matenmanĝo
breast	brusto
breast	mamo
breath	spiro
breath-taking	senspiriga
breathe	spiri
breather	spirpaŭzo
breathless	senspira
breed	bredi
breed	eduki
breed	raso
breeze	brizo
brevity	koncizeco
brew	fari bieron
bribe	korupti
bribe	koruptilo
bribe	subaĉeti
brick	brika
brick	briko
bride	fianĉino
bride	novedzino
bridegroom	novedzo
bridge	komandejo
bridge	ponto
bridle	bridi
bridle	brido
brief	konciza
brief	mallonga
briefcase	teko
briefness	koncizeco
briefs	kalsoneto
brigade	brigado
bright	brila
bright	hela
bright	luma
brilliant	brila
brilliant	brilianto
brim	randaĵo
brim	rando¹
brimming	plenplena
brimstone	sulfuro
bring	alporti
bring	alveturigi
brink	rando¹
brisk	vigla
bristle	hirti
bristly	hirta
brittle	kraketa
brittle	rompiĝema
broach	boratingi
