broach	ekkonsumi
broad	larĝa
broad	vasta
broadcast	disaŭdigi
broadcast	elsendi
broccoli	brokolo
broken	difekta
broken	difektita
broken	difektiĝinta
broken	rompita
broken	rompiĝinta
broker	makleristo
broker	maklero
brokerage	kurtaĝo
brokerage	makleraĵo
bronze	bronza
bronze	bronzi
bronze	bronzo
brook	rivereto
brooklet	rojo
broom	balailo
brothel	bordelo
brother	frato
brother-in-law	bofrato
brow	brovo
brown	bruna
brown	bruno
browneyed	brunokula
brownie	gnomo
browse	senherbigi paŝtiĝe
bruise	kontuzaĵo
bruise	kontuzi
brunette	brunhara
brush	brosi
brush	broso
brush	polvobroso
brutal	bestia
brutal	malafabla
brute	bestio
brute	bruta
brutish	bestia
bubble	bobeli
bubble	veziko
buccaneer	bukanisto
buck	virkuniklo
buck	virleporo
buck-hare	virleporo
buck-rabbit	virkuniklo
bucket	sitelo
bucket	ujo
buckle	buki
buckle	buko
bud	burĝoni
bud	burĝono
bud	elburĝoniĝi
buddy	kamarado
budget	buĝeto
budget	prezkonjekto
buffalo	bizono
buffalo	bubalo
buffer	bufro
buffet	bufedo
buffoon	arlekeno
bug	cimo
bug	kaŝaŭskulti
bugger	bugri
build	konstrui
build	konstrukcii
build	masoni
build	ĉarpenti
builder	konstruentreprenisto
builder	konstruisto
building	arkitektaĵo
building	arĥitektaĵo
building	konstruado
building	konstruaĵo
building	konstruo
building-plot	konstruareo
building-plot	konstrutereno
building-site	konstruareo
building-site	konstrutereno
bulb	ampolo
bulb	bulbo
bulk	amplekso
bulky	ampleksa
bull	virbovo
bulldozer	buldozo
bullet	kuglo
bulletin	bulteno
bullring	taŭrobatala areno
bullring	taŭrobatalejo
bumblebee	burdo
bump	malebenaĵo
bump	malglataĵo
bump	ĝibo
bump	ŝvelaĵo
bumper	bufro
bumpy	malebena
bunch	fasko
bundle	fasko
bundle	ligpakaĵo
bungalow	bangalo
bungle	fini fuŝrapide
bungle	fuŝi
bunker	bunkro
bunker	kazemato
buoy	buo
buoy	naĝosigno
burble	lirli
burble	plaŭdeti
burden	ŝarĝi
burden	ŝarĝo
burdensome	peza
burdensome	prema
bureau	oficejo
bureaucracy	burokrataro
burglar	rompŝtelisto
burgomaster	vilaĝestro
burgundy	burgunda vino
burial	enterigo
burial	entombigo
burn	bruli
burn	bruligi
burn	brulvundi
burn	ekbruli
burning	brulanta
burnt	brulgusta
burp	rukti
burr	lapo
burst	fendiĝi
burst	krevaĵo
burst	krevi
burst	krevo
bury	enfosi
bury	enterigi
bury	entombigi
bus	aŭtobuso
bus	buso²
bush	arbusto
bushbody	enmiksiĝemulo
bushbody	kibico
bushbuck	tragelafo
business	afero
business	komerco
businessman	aferisto
businessman	komercisto
busstop	bushaltejo
busy	multokupita
busy	okupata
busy	okupita
but	escepte
but	sed
but	tamen
butcher	buĉi
butcher	buĉisto
butcher	viandisto
butter	butero
buttercup	ranunkolo
butterfly	papilio
buttock	gluteo
buttock	postvango
buttock	sidvango
buttocks	pugo
button	butoni
button	butono
buy	aĉetakiri
buy	aĉeti
buy	aĉeto
buy	havigi al si
buy	provizi sin per
buyer	aĉetanto
buyer	aĉetinto
buzz	zumado
buzz	zumi
buzzer	zumilo
by	apud
by	de
by	far
by	je
by	laŭ
by	per
by	preter
by-laws	statuto
by-way	branĉvojo
by-way	flankvojo
bye	adiaŭ
bye	ĝis revido
byname	kromnomo
byre	bovejo
byte	bajto
byte	bitoko
cab	fiakro
cab-stand	taksistacio
cabaret	kabaredo
cabaret	kabareto
cabbage	brasiko
cabin	kabano
cabin	kajuto
cabinet	bretaro
cabinet	kabineto
