omit	preterlasi
omitted	ellasita
omitted	preterlasita
omnibus	omnibuso
omnipotence	ĉiopoveco
omnipotence	ĉiopovo
omnipotent	ĉiopova
omnipresent	ĉieesta
omniscient	ĉioscia
on	antaŭen
on	en
on	je
on	per
on	plu
on	sur
on	ŝaltita
onager	onagro
once	foje
once	iam
once	unufoje
one	ia
one	iu
one	oni
one	sola
one	unu
onerous	peza
onerous	prema
onion	cepo
only	nur
only	sola
only	sole
onyx	onikso
opal	opalo
open	malfermi
open	malfermita
open	nefermita
open-work	aĵura
opening	malfermo
openly	libere
openly	malkaŝe
openly	publike
openness	aperteco
opera	opero
operate	funkcii
operate	funkciigi
operate	operacii
operation	operacio
operation	operaco
operative	laboristo
operative	laborulo
ophtalmologist	okulisto
opiate	opiaĵo
opine	opinii
opinion	opinio
opium	opio
opossum	didelfo
opponent	kontraŭulo
opportune	oportuna
opportunist	oportunisto
opportunity	okazo
oppose	kontraŭi
opposite	fronte al
opposite	kontraŭa
opposite	kontraŭe de
opposite	mala
opposite	transe
opposition	antagonismo
opposition	opozicio
oppress	premi
oppressed	premita
oppressing	angora
oppression	korpremiteco
oppressive	sufoka
optician	optikisto
optimism	optimismo
optimist	optimisto
optimistic	optimisma
option	alternativo
option	elekto
or	aŭ
orache	atriplo
oracle	oraklo
oral	buŝa
oral	parola
orally	parole
orally	voĉe
orange	oranĝa
orange	oranĝo
orange-coloured	oranĝkolora
orange-tree	oranĝarbo
orange-tree	oranĝujo
orator	oratoro
oratorical	oratora
oratory	retoriko
orbit	orbito
orchard	fruktarbejo
orchard	horto
orchestra	orkestro
orchestrate	adapti por orkestro
orchestrate	orkestrumi
orchestration	adapto por orkestro
orchid	orkideo
ordain	destini
ordeal	afliktado
order	komandi
order	mendi
order	mendo
order	ordeno
order	ordo
order	ordoni
order	ordono
order	sinsekvo
order-form	mendilo
ordinarily	kutime
ordinarily	normale
ordinary	ordinara
ore	erco
organ	organo
organ	orgeno
organ-grinder	gurdisto
organic	organa
organic	organika
organism	organismo
organization	organizacio
organization	organizado
organization	organizaĵo
organization	organizo
organize	okazigi
organize	organizi
orgiastic	orgia
orgy	orgio
origin	deveno
origin	origino
original	origina
original	originala
original	originalo
originally	origine
originate	deveni
originate	origini
ornament	ornamaĵo
ornament	ornami
ornament	ornamo
ornamental	ornama
orphan	orfa
orphan	orfo
orthodox	ortodoksa
orthography	ortografio
oscillate	oscili
oscillate	svingiĝi
oscillation	oscilado
oscillator	oscilatoro
oscilloscope	oscilografo
osmium	osmio
ostrich	struto
other	alia
otherwise	alie
otherwise	alinome
otherwise	alinomite
otherwise	en alia maniero
otherwise	kontraŭe
ouch	aj
ounce	unco
our	nia
ours	la nia
out	ekstere
out	eksteren
outer	ekstera
outer	plej ekstera
outfit	kompleto
outfit	kostumo
outing	ekskurso
outlet	aĉetanta regiono
outlet-pipe	defluiga tubo
outline	konturo
outline	silueto
outline	skizo
output	eligo
outrage	malbonfaro
outside	ekster
outside	ekstera
outside	ekstere
outside	eksteren
outside	ekstero
outskirts	periferio
outstanding	nepagita
outward	eksteren
oval	ovala
oval	ovalo
ovation	ovacio
oven	bakforno
oven	bakujo
oven	forno
over	finita
over	je
over	pli ol
over	pri
over	super
over	trans
over-	tro-
overall	totala
