particle	partiklo
particular	aparta
particular	speciala
particularly	speciale
partition	apartigo
partly	parte
partner	asociano
partridge	perdriko
parturition	nasko
party	anaro
party	distra vespero
party	festo
party	partio
party	sekvantaro
pasqueflower	pulsatilo
pass	devanci
pass	montpasejo
pass	pasi
pass	pasigi
pass	preteriri
pass	preterpasi
pass	preterveturi
pass	transdoni
pass	transiri
passable	irebla
passable	priveturebla
passable	surirebla
passage	koridoro
passage	pasejo
passage	tekstparto
passage	trairejo
passage	trairo
passage	vojo
passageway	pasejo
passenger	pasaĝero
passer-by	preteriranto
passion	ardo
passion	pasio
passionate	pasia
passport	pasporto
past	antaŭa
past	estinteco
past	estinto
past	pasinta
past	pasinteco
past	pasinto
past	pli malproksime ol
past	preter
paste	alglui
paste	pasto
pastel	paŝtelo
pastor	paroĥestro
pastor	pastoro
pastor	pastro
pat	frapeti
patch	flikaĵo
patch	fliki
pate	kapo
pate	pasteĉo
patent	patento
path	irejo
path	vojeto
path	vojo
patience	pacienco
patient	malsanulo
patient	pacienca
patient	paciento
patriarch	patriarko
patriot	patrioto
patriotic	patriota
patriotism	patriotismo
patrol	patroli
patrol	patrolo
patrolman	ĝendarmo
patron	favoranto
patron	honora protektanto
patron	patrono
patron	protektanto
pattern	modelfolio
pattern	skemo
pattern	ŝablono¹
pauper	malriĉulo
pauper	mizerulo
pauper	senhavulo
pause	paŭzi
pause	paŭzo
pave	pavimi
pavement	pavimo
pavement	trotuaro
pavilion	pavilono
paving	pavimado
paw	kruro
paw	piedo
pawn	lombardi
pawn	peono
pawning	lombardo²
pawnshop	lombardejo
pay	pagegi
pay	pagi
payment	finpago
payment	pagado
payment	pago
pea	pizo
peace	paco
peaceful	paca
peaceful	pacama
peaceloving	pacama
peach	persiko
peacock	pavo
peak	pinta
peak	pinto
peal	sonori
peanut	arakido
pear	piro
pear-tree	pirarbo
pear-tree	pirujo
pearl	perlo
peasant	kamparano
peat	torfo
peculiar	stranga
pedagogue	pedagogo
pedal	pedali
pedal	pedalo
peddle	kolporti
peddle	ŝakri
pedestal	piedestalo
pedestrian	piediranto
pedicab	pedaltaksio
pedigree	genealogia tabelo
pedigree	genealogio
peel	senŝeligi
peel	ŝelo
peep	kaŝobservi
peep	observi kaŝe
peep	pepi
peer	rigardi fikse
peevish	malbonhumora
peevish	moroza
peg	aperitivo
pelican	pelikano
pelvis	pelvo
pen	bestejo
pen	plumo
pen	ŝafejo
pen-knife	poŝtranĉilo
pencil	krajono
pending	pritraktata
penetrate	enpenetri
penetrate	penetri
penicillin	penicilino
peninsula	duoninsulo
penis	kaco
penitent	pentanta
penny	penco
pension	pensio
pensioner	pensiulo
pensive	meditema
penthouse	alero
penthouse	antaŭtegmento
penthouse	markezo
penthouse	ŝedo
penury	senhaveco
people	homoj
people	personoj
people	popolo
pepper	pipri
pepper	pipro
pepsin	pepsino
per	en
per	pere de
per	po-
perceive	ekaŭdi
perceive	ekrimarki
perceive	ekvidi
perceive	percepti
perceive	sciiĝi
perchance	eble
peregrine	pilgrima falko
peremptoriness	decideco
peremptory	kategoria
perfect	perfekta
perfect	perfektigi
perfection	perfekteco
perform	aperi
perform	eniri
perform	fari
perform	ludi
perform	plenumi
perform	prezenti
perfume	parfumi
perfume	parfumo
perhaps	eble
peril	danĝero
perimeter	perimetro
period	periodo
period	punkto
periodical	perioda
periodical	revuo
periosteum	periosto
peripheral	periferia
