octuple	66-2066-B
oculist	66-2081-B
odd	66-2098-B,66-2109-B,66-2121-B,66-2132-B
ode	66-2144-B
oder	7-64-B
odin	7-74-B
odorous	66-2152-B
odour	66-2167-B
odourous	66-2179-B
odyssey	7-85-B
oedipus	7-102-B
of	66-2198-B,66-2204-B,66-2210-B
of a bitch	84-2237-S
of the line	41-2523-S
of the valley	58-1703-S
off	27-3285-S,56-2025-S,71-1208-S,71-1233-S,96-3148-S
offend	66-2217-B,66-2232-B
offended	66-2246-B
offensive	66-2264-B,66-2280-B,66-2296-B,66-2314-B,66-2331-B,66-2350-B,66-2369-B
offer	66-2388-B,66-2405-B,66-2425-B,66-2438-B,66-2451-B,66-2466-B,66-2482-B,66-2496-B
office	25-18-S,54-3551-S,66-2510-B,66-2525-B,66-2540-B,66-2553-B,72-644-S
officer	66-2568-B,66-2584-B
official	66-2601-B,66-2616-B,66-2634-B
officialdom	66-2652-B
officially	66-2676-B
offspring	66-2697-B,66-2713-B,66-2727-B,66-2742-B,66-2763-B,66-2782-B
often	66-2802-B
ogle	66-2813-B
oh	66-2826-B,66-2833-B
ohm	66-2839-B
oid	1-176-B
oil	30-2314-S,66-2847-B,66-3042-S,68-2331-S
oilcloth	66-2856-B
ointment	66-2874-B
okay	66-2893-B,66-2903-B,66-2913-B,66-2929-B,66-2939-B
olav	7-117-B
old	15-1635-S,66-2951-B,66-2960-B,66-2972-B,66-2984-B,93-1910-S
old fashioned	66-2993-B
older	66-3015-B
oligocene	7-128-B
olive	66-3030-B
olive oil	66-3042-B
olive tree	66-3061-B,66-3081-B
olympic	66-3100-B
olympics	7-148-B
olympus	7-167-B
oman	7-182-B
omega	66-3117-B
omelette	66-3129-B
omen	66-3145-B
omicron	66-3162-B
omit	66-3179-B,66-3192-B,66-3205-B,67-0-B
omitted	67-16-B,67-33-B
omnibus	67-54-B
omnipotence	67-71-B,67-94-B
omnipotent	67-115-B
omnipresent	67-135-B
omniscient	67-156-B
on	67-176-B,67-188-B,67-194-B,67-200-B,67-207-B,67-214-B,67-221-B
onager	67-233-B
once	67-247-B,67-257-B,67-266-B
one	65-1674-S,67-279-B,67-286-B,67-293-B,67-301-B,67-310-B,93-1603-S
one s	65-1687-S
onerous	67-318-B,67-331-B
onion	67-345-B
only	67-356-B,67-365-B,67-375-B
onyx	67-385-B
opal	67-397-B
open	67-408-B,67-422-B,67-438-B
open work	67-453-B
opener	91-1773-S
opening	67-470-B
openly	67-487-B,67-501-B,67-517-B
openness	67-532-B
opera	67-550-B
operate	67-562-B,67-578-B,67-596-B
operation	67-613-B,67-632-B
operative	67-650-B,67-670-B
ophtalmologist	67-689-B
opiate	67-713-B
opine	67-728-B
opinion	67-741-B
opium	67-756-B
opossum	67-767-B
opponent	67-783-B
opportune	67-804-B
opportunist	67-823-B
opportunity	67-847-B
oppose	67-865-B
opposite	67-882-B,67-901-B,67-920-B,67-942-B,67-956-B
opposition	67-972-B,67-995-B
oppress	67-1015-B
oppressed	67-1029-B
oppressing	67-1047-B
oppression	67-1065-B
oppressive	67-1089-B
optician	67-1107-B
optimism	67-1126-B
optimist	67-1145-B
optimistic	67-1164-B
option	67-1185-B,67-1204-B
or	1-186-B,67-1218-B
orache	67-1225-B
oracle	67-1240-B
oral	67-1254-B,67-1265-B
orally	67-1277-B,67-1291-B
orange	67-1304-B,67-1319-B
orange coloured	67-1334-B
orange tree	67-1363-B,67-1386-B
orator	67-1408-B
oratorical	67-1423-B
oratory	67-1442-B
orbit	67-1459-B
orchard	67-1472-B,67-1492-B
orchestra	67-1506-B
orchestrate	67-1525-B,67-1557-B
orchestration	67-1580-B
orchid	67-1614-B
ordain	67-1629-B
ordeal	67-1644-B
order	67-1661-B,67-1675-B,67-1687-B,67-1699-B,67-1712-B,67-1723-B,67-1736-B,67-1749-B
order form	67-1764-B
ordinarily	67-1783-B,67-1801-B
ordinary	67-1820-B
ore	67-1838-B
organ	22-1578-S,67-1847-B,67-1860-B
organ grinder	67-1873-B
organic	67-1896-B,67-1911-B
organism	67-1928-B
organization	67-1947-B,67-1972-B,67-1996-B,67-2021-B
organize	67-2043-B,67-2060-B
orgiastic	67-2078-B
orgy	67-2094-B
oriental	7-193-B
origin	67-2105-B,67-2119-B
original	67-2134-B,67-2151-B,67-2170-B
originally	67-2189-B
originate	67-2208-B,67-2225-B
orion	7-210-B
orkneys	7-223-B
ornament	67-2243-B,67-2262-B,67-2278-B
ornamental	67-2294-B
orphan	67-2312-B,67-2324-B
orpheus	7-239-B
orthodox	67-2336-B
orthography	67-2355-B
oscillate	67-2378-B,67-2395-B
oscillation	67-2415-B
oscillator	67-2436-B
oscilloscope	67-2458-B
osiris	7-253-B
oslo	7-266-B
osmium	67-2483-B
ossetia	7-276-B,7-291-B
ossetian	7-307-B
ostend	7-322-B
ostende	7-337-B
ostrich	67-2496-B
ostrogoth	7-353-B
other	67-2511-B
otherwise	67-2522-B,67-2537-B,67-2555-B,67-2575-B,67-2601-B
ottoman	7-373-B
ouch	67-2621-B
ounce	67-2629-B
our	67-2640-B
ours	67-2648-B
out	67-2660-B,67-2672-B,98-474-S
outer	67-2685-B,67-2699-B
outfit	67-2718-B,67-2734-B
outing	67-2749-B
outlet	67-2765-B
outlet pipe	67-2790-B
outline	67-2816-B,67-2832-B,67-2848-B
output	67-2862-B
outrage	67-2875-B
outside	67-2894-B,67-2909-B,67-2925-B,67-2941-B,67-2958-B
outskirts	67-2974-B
outstanding	67-2994-B
outward	67-3015-B
oval	67-3032-B,67-3043-B
ovation	67-3054-B
oven	67-3069-B,67-3083-B,67-3095-B
over	67-3106-B,67-3118-B,67-3126-B,67-3138-B,67-3147-B,67-3158-B,67-3169-B
overall	67-3180-B,68-0-B
overalls	68-13-B,68-29-B
overbearingness	68-48-B,68-75-B
overcoat	68-102-B
overdrive	68-117-B,68-136-B
overdue	68-155-B,68-172-B
overestimate	68-189-B
overflow	68-211-B
overflowing	68-230-B
overground	68-252-B
overgrow	68-268-B
overgrown	68-287-B
overhaul	68-309-B,68-326-B
overhead	68-348-B,68-362-B
overjoyed	68-377-B
overlay	68-400-B,68-420-B
overlook	68-433-B
overpower	68-453-B,68-474-B
override	68-491-B,68-509-B
overshoe	68-527-B
overtake	68-544-B,68-561-B,68-580-B,68-600-B
overthrow	68-622-B,68-639-B,68-656-B
overtone	68-675-B
overture	68-698-B,68-715-B
overwhelm	68-733-B
ow	68-754-B,68-760-B
owe	68-767-B
owl	68-778-B,80-1808-S
own	68-789-B,68-800-B
owner	52-2717-S,68-811-B
ownership	68-826-B
ox	63-3005-S,68-846-B
oxus	7-389-B
oxygen	68-854-B
oyster	68-870-B
ozone	68-883-B
pace	68-895-B,68-914-B,68-925-B
pacifier	68-936-B
pacifism	68-953-B
pacifist	68-972-B
pack	68-991-B,68-1003-B,68-1013-B
package	68-1023-B,68-1038-B
packages	68-1057-B
packet	68-1078-B
pad	68-1092-B
paddle	68-1104-B,68-1118-B
paddy field	68-1132-B
padre	68-1153-B
paean	68-1172-B
pagan	68-1188-B,68-1201-B
paganism	68-1214-B
page	68-1233-B,68-1245-B
paid	72-669-S
paid up	68-1256-B
pail	68-1270-B,68-1282-B
pain	68-1291-B
painful	68-1303-B,68-1318-B
paint	68-1335-B,68-1347-B,68-1359-B,68-1374-B
paintbrush	68-1387-B
painter	68-1405-B,68-1422-B
painting	68-1440-B,96-108-S
pair	68-1459-B,68-1468-B,68-1480-B,68-1493-B
pakistan	7-424-B
pakistani	7-443-B,7-463-B,7-487-B
pal	68-1503-B
palace	68-1516-B
palaeocene	7-509-B
palaeolithic	7-530-B
palaeozoic	7-555-B
pale	68-1530-B,68-1549-B
paleocene	7-577-B
paleolithic	7-597-B
paleozoic	7-621-B
palestine	7-642-B
palestinian	7-662-B,7-684-B
palet	68-1559-B
palisade	68-1573-B
palladium	68-1591-B
palm	35-2207-S,68-1609-B,68-1623-B,68-1634-B,88-1283-S
pamper	68-1645-B
pamphlet	68-1660-B
pan	7-708-B,47-1277-S,47-1296-S
panama	7-718-B
panamanian	7-732-B,7-750-B
pancake	68-1678-B
pancreas	68-1694-B
pandora	7-770-B
pane	68-1713-B
panel	68-1727-B
panic	68-1740-B
pansy	68-1753-B
pantechnicon	68-1771-B,68-1798-B
panther	68-1832-B
panties	68-1848-B
pantomime	68-1864-B,68-1884-B
pantry	68-1904-B,68-1928-B,68-1951-B
pants	68-1968-B
paparazzo	68-1984-B
papaw	68-2003-B
papaya	68-2016-B
paper	39-2412-S,68-2030-B,68-2046-B,68-2059-B,91-2354-S,98-947-S,98-1389-S
paper basket	68-2072-B
