teetotum	90-442-B
telegram	90-468-B
telegraph	90-487-B,90-507-B
telemetry	90-527-B
telephone	90-548-B,90-567-B
telescope	90-586-B
television	90-606-B,90-628-B
tell	90-648-B,90-658-B,90-671-B,90-683-B
telltale	90-696-B,90-716-B
tellurium	90-734-B
temper	90-751-B,90-764-B,90-778-B
temperament	90-794-B
temperate	90-819-B
temperature	90-835-B
tempest	90-859-B
template	90-875-B
temple	90-895-B,90-911-B,90-925-B
temporarily	90-939-B,90-961-B
temporary	90-983-B,90-1007-B
tempt	90-1027-B
temptation	90-1039-B
tempting	90-1056-B
ten	90-1072-B
tenant	90-1080-B
tench	90-1094-B
tendency	90-1106-B,90-1126-B,90-1139-B,90-1156-B
tendentious	90-1174-B
tender	90-1195-B,90-1212-B,90-1226-B,90-1247-B,90-1259-B,90-1273-B,90-1287-B,90-1308-B,90-1327-B,90-1344-B,90-1359-B
tenderness	90-1372-B,90-1394-B,90-1412-B,90-1433-B
tendon	90-1453-B
tennis	90-1468-B
tenor	90-1482-B
tension	90-1495-B,90-1514-B,90-1530-B
tent	90-1545-B
tenth	90-1556-B,90-1567-B
terbium	90-1580-B
term	90-1595-B
terminal	90-1608-B
terminate	90-1627-B
terminology	90-1642-B
termite	90-1664-B
terrace	90-1682-B
terrain	90-1697-B
terrestrial	90-1712-B,90-1732-B,90-1749-B
terrible	90-1770-B
terrify	90-1786-B
territorial	90-1801-B
territory	90-1823-B
terror	90-1843-B,90-1857-B
terrorism	90-1871-B
terrorist	90-1891-B
tertiary	8-2009-B
test	90-1911-B,90-1925-B,90-1938-B,90-1952-B,90-1963-B,90-1974-B,90-1985-B
testament	90-1996-B
testicle	90-2017-B,90-2033-B,90-2049-B,90-2067-B
testify	90-2084-B
testimony	90-2099-B
teuton	8-2027-B
teutonic	8-2043-B
texan	8-2061-B
texas	8-2077-B
text	90-2116-B
textile	90-2128-B,90-2145-B
th	1-207-B
thai	8-2091-B,8-2101-B,8-2118-B
thailand	8-2128-B,8-2143-B
thallium	90-2166-B,90-2183-B
thames	8-2161-B
than	90-2200-B
thank	90-2208-B
thankful	90-2220-B,90-2235-B
thankless	90-2252-B
thanks	90-2271-B,90-2284-B
that	90-2298-B,90-2306-B,90-2317-B,90-2328-B
thaw	90-2337-B,90-2349-B
the	90-2361-B,90-2369-B,90-2376-B
the line	41-2523-S
the valley	58-1703-S
theatre	90-2383-B
theatrical	90-2398-B
theft	90-2416-B
their	90-2429-B,90-2440-B
theirs	90-2450-B
theme	90-2465-B
then	90-2476-B,90-2484-B,90-2498-B
thence	90-2512-B
theocracy	90-2526-B
theologian	90-2546-B
theology	90-2569-B
theorem	90-2587-B
theory	90-2603-B
therapy	90-2617-B
there	90-2633-B,90-2643-B
thereafter	90-2654-B
thereby	90-2674-B
therefore	90-2690-B,90-2703-B,90-2721-B
therein	90-2736-B
thermometer	90-2751-B
thermos	90-2774-B
thermostat	90-2793-B
thesis	90-2815-B
theta	90-2827-B
they	90-2838-B,90-2847-B
thick	90-2856-B,90-2868-B
thicken	90-2879-B
thickness	90-2897-B
thief	90-2914-B,90-2930-B,90-2948-B
thigh	90-2964-B
thimble	90-2977-B
thin	90-2995-B,90-3006-B,90-3021-B,90-3035-B,90-3048-B,90-3062-B
thing	90-3080-B,90-3092-B,90-3103-B
thingamajig	90-3117-B,90-3136-B
things	81-2526-S,91-0-B
think	91-13-B,91-26-B,91-38-B
thinker	44-2490-S
thinking	91-53-B
third	91-71-B,91-82-B
thirst	91-95-B
thirsty	91-108-B
thirteen	91-122-B
thirteenth	91-139-B
thirty	91-159-B
this	91-173-B,91-186-B
thisle	91-199-B
thisle field	91-212-B
thither	91-233-B
thor	8-2175-B
thorium	91-246-B
thorn	91-260-B
thoroughgoing	91-272-B
thoroughly	91-296-B,91-316-B
thou	91-337-B,91-345-B
though	91-353-B
thought	91-368-B
thoughtful	91-382-B,91-405-B,91-428-B
thoughtfulness	91-448-B
thousand	91-475-B
thrace	8-2185-B
thracia	8-2199-B
thrash	91-488-B,91-505-B,91-519-B
thread	81-2550-S,91-533-B,91-547-B
threat	91-560-B
threaten	91-574-B,91-599-B
threatening	91-615-B,91-634-B
three	91-656-B
thresh	91-666-B
threshold	91-680-B
thrice	91-696-B
thrifty	91-711-B
throat	91-728-B
throb	91-742-B
throes	91-754-B
