pikto	7-1282-B
pilaro	22-2541-B
pilgrima falko	69-2793-B
pilgrimado	70-2741-B
pilgrimanto	70-2721-B
pilgrimo	70-2763-B
pilko	21-2955-B
pilkoludo	21-3103-B
pilo	28-1292-B
pilolo	70-2783-B
pilotado	86-1691-B
piloti	70-2858-B
pilotino	16-1474-B
piloto	16-1028-S,70-2871-B
piloto²	70-2884-B
piloto¹	70-2899-B
pincegi	70-2990-B
pinci	70-3005-B
pincilo	70-2936-B,91-2543-B
pincpreno	24-638-B
pinctenajlo	70-2953-B
pinglo	64-2469-B
pingloarbo	32-1642-B
pino	70-3052-B,70-3062-B
pinta	69-1714-B,71-2089-B,85-1210-B
pinto	69-1725-B,71-2051-B,88-1756-B,91-1972-B
pio	70-2093-B
pioco	70-2201-B
pionira	70-3151-B
pioniro	70-3167-B
pipo	70-3204-B
pipri	69-2623-B
pipro	69-2636-B
piramido	74-2224-B
pirarbo	69-1773-B
piratestro	70-3238-B
pirato	70-3224-B
pirenea	7-1970-B
pireneoj	7-1987-B
piro	69-1763-B
pirozo	51-1240-B
pirujo	69-1791-B
pisi	94-2300-B
pisti	34-2371-B,72-1007-B
pistilo	70-969-B
pistolo	70-3262-B
pistujo	63-0-B
pitono	7-2005-B
pitoreska	70-2388-B
pivoti	71-26-B
pivoto	71-39-B
pizango	22-14-B
pizo	69-1618-B
piĵamo	74-2208-B
piŝto	70-3277-B
placa	65-560-B,71-1395-B,71-1527-B
placema	33-1755-B
placemo	33-1719-B
placento	15-1153-B,71-165-B
placi	71-1496-B
placivola	33-1775-B
placo	71-1301-B,71-1597-B,85-2596-B
plado	38-2276-B,71-829-B,71-1103-B
plafono	28-1032-B
plagi	15-510-B,71-196-B
plago	27-283-B,80-1606-B
plako	71-841-B
plando	84-1587-B
plandumo	84-1599-B
planeda	71-484-B
planedo	71-469-B
plani	71-295-B
planizi	71-306-B
planko	46-350-B
plano	30-1253-S,37-1287-B,37-2850-B,46-1720-S,71-319-B,71-396-B,80-1221-B
plantado	71-655-B
plantago	71-250-B
plantaro	71-594-B,71-673-B
plantaĵo	71-614-B
plantejo	71-635-B
planti	71-531-B
planto	71-544-B
plasmo	71-705-B
plasta	71-782-B
plastika	71-797-B
plasto	71-814-B
plastro	71-738-B
plata	45-2562-B
platano	71-408-B,71-450-B,89-1148-B
plataĵo	71-898-B
plateno	71-1026-B
plateso	71-209-B
platformo	71-945-B
