atuto	93-394-B
au	41-300-B,67-1218-B
aubado	20-3029-B
auda osteto	18-1545-B,54-1059-B
audaca	20-3123-B,24-2716-B,35-1876-B,55-2713-B
audaci	35-1815-B
audaco	20-3141-B,24-2778-B,35-1891-B
audado	51-1145-B
audantaro	20-3158-B
audavida	20-3221-B
audi	51-1109-B
audicio	20-3295-B
audienco	20-3178-B
auditorio	20-3330-B
audo	51-1161-B
audokapablo	51-1175-B
audsentumo	51-1196-B
audvida	20-3244-B
augio	2-510-B
augusto	2-524-B
aukciisto	20-3101-B
aukcio	20-3085-B
aureolo	21-0-B,50-1908-B
auro	20-3491-B
auroro	21-29-B,35-2282-B
auroro¹	2-540-B
auskultantaro	20-3197-B,20-3352-B
auskultanto	58-2392-B
auskulti	58-2375-B
auskultilo	40-1789-B
austra	2-642-B
australia	2-578-B
australiano	2-600-B,10-1502-S,10-1638-S
australio	2-557-B
austro	2-659-B
austrujo	2-624-B
autarkio	21-44-B,81-498-B
autenta	21-62-B
autentikeco	21-81-B
autisma	21-370-B
autismo	21-354-B
autisto	63-769-B
autobiografia	21-388-B
autobiografio	21-420-B
autobuso	26-2213-B
autogena	21-611-B
autokrata	21-542-B
autokratio	21-476-B
autokratismo	21-498-B
autokrato	21-522-B
autoktona	54-1499-B,64-1400-B
autoktono	64-1418-B
automata	21-674-B
automate	21-694-B
automatigi	21-632-B
automatigo	21-718-B
automatizi	21-653-B
automato	21-764-B
automobilismo	63-745-B
automobilo	21-741-B,27-1911-B,63-663-B
autonomia	21-784-B
autopsio	21-846-B
autora rajto	33-1657-B
autorino	21-139-B,98-1267-B
autoritateco	21-180-B
autoritato	21-204-B
autoritatulo	21-226-B
autostiranto	63-787-B
autostirlernejo	40-32-B
autostrado	63-847-B
autovojo	43-2522-B,47-307-B
autoĥtono	64-1436-B
autoŝoseego	63-868-B,93-1394-B
autuna	21-880-B
autunaraneaĵo	16-1360-B
autuneca	21-910-B
autuno	21-895-B
ava	24-436-B,24-456-B,24-467-B
avalo	50-355-B
avancigi	14-1838-B
avanco	14-2079-B
avangarda	21-998-B
avangardo	21-1020-B
avantaĝa	14-2196-B
avantaĝo	14-2142-B,23-1887-B
avanularo	20-2416-B
avanulo	46-2580-B
avara	21-1058-B,62-715-B,86-2939-B
avareco	21-1042-B,62-695-B,86-2906-B
avarulo	62-448-B,65-680-B,83-1849-B
avelo	51-733-B
avelujo	51-700-B,51-714-B
aveno	66-642-B
aventura	14-2450-B
aventurema	14-2471-B
aventuristino	14-2380-B
aventuristo	14-2405-B
aventuro	14-2361-B
aventurrica	14-2494-B
aventurulo	14-2428-B
avenuo	21-1113-B
averaĝa	21-1127-B,60-3091-B
averaĝo	21-1144-B
averio	35-1328-B
averti	28-697-B,96-782-B
averto	96-794-B
aviadi	21-1257-B
aviadila homekipo	16-767-B
aviadilo	14-3371-B,16-719-B,16-1110-B,71-369-B
aviadilŝipo	16-737-B
aviadisto	16-1093-B,21-1308-B
aviado	21-1292-B
avida	13-101-B,40-1554-B,49-2316-B
avideco	16-1681-B,21-1326-B,34-428-B,40-1566-B,49-2280-B
avidi	34-416-B
avidi spiron	48-75-B
avido	21-1342-B,34-449-B,40-1584-B,49-2299-B
avinjo	49-1350-B
avino	49-1248-B
avo	49-1212-B
avocjo	49-1174-B
azaleo	21-1612-B
azena	39-1454-B
azenbleki	25-1982-B
azencevalo	52-275-B
azenino	56-461-B,82-240-B
azenisto	39-1480-B
azeno	20-49-B,39-1467-B
azera	2-713-B
azerio	2-676-B
azero	2-730-B
azerujo	2-694-B
azia	2-91-B,2-115-B
aziano	2-102-B
azilo	20-1543-B
azimuto	21-1626-B
azio	2-81-B
azoiko	2-748-B
azoroj	2-775-B
azoto	65-1644-B
aĝa	15-1656-B,41-441-S,66-2951-B,66-3015-S
aĝario	1-636-B
aĝo	15-1558-B
aĥ	15-3523-B,66-2826-B,68-760-B
aĥajo	1-409-B,1-423-B
aĥeno	1-1013-B
aĥerono	1-453-B
aĥilo	1-485-B
aĵo	90-3092-B
aĵoj	87-2787-B,91-0-B
aĵura	67-453-B
b	6-2566-S
ba	21-2511-B,66-322-B,71-2662-B
baalo	2-802-B
babelo	2-813-B
babilado	29-277-B
babilemo	89-2186-B
babilemulo	29-333-B,89-3008-B,90-696-B
babili	29-291-B,29-318-B,89-2143-B
babilona	2-878-B
babilonio	2-858-B
babilono	2-826-B,2-841-B
babilulo	29-355-B,89-3027-B,90-716-B
babuŝo	63-2007-B
bado	21-2518-B,80-303-S
bagatela	55-217-B,92-3110-B
bagatelo	92-3078-B
bagdado	2-913-B
bahama	2-929-B
bahamano	2-945-B
bajoneto	22-2671-B
bajruto	2-2074-B
bajto	26-2971-B
bakejo	21-2648-B
bakelito	21-2616-B
bakfaruno	46-398-B
bakforno	67-3069-B
baki	21-2606-B
bakterio	21-2309-B
bakujo	67-3083-B
bakuo	2-1021-B
bakupi	21-2019-B
bakupo	21-2033-B
bakĥo	2-898-B
balado	21-3022-B,21-3036-B
balai	89-286-B
balailo	26-329-B
balanci	78-2647-B,89-897-B
balanci la kapon	65-1853-B
balanciero	21-2662-B,46-681-B
balanciĝi	21-2681-B,71-2103-B
balasto	21-3051-B
balato	21-2764-B
balbuti	86-374-B,87-3053-B
baldakeno	21-2805-B,27-1500-B
baldau	84-2355-B
baldaua	85-983-B
balenlameno	21-2870-B,97-144-B
baleno	97-131-B
balenosto	21-2889-B,97-166-B
baletistino	21-3067-B
baleto	21-3089-B
balgo	23-1478-B
balia	2-1043-B
baliano	2-1058-B
balio	2-1032-B
balistiko	21-3122-B
balkanoj	2-1075-B
balkono	21-2778-B
balo	21-2924-B,35-1593-B
balono	21-3161-B
balotado	21-3176-B,21-3192-B
baloti	95-2641-B
balsalono	21-3002-B
balta	2-1105-B
balto	2-1092-B
balustrado	21-3325-B,22-272-B,68-2543-B,75-630-B
balzama	21-3234-B,21-3278-B
balzami	41-1168-B
balzamino	21-3293-B
balzamizi	41-1183-B
balzamo	21-3247-B,21-3310-B
bambuo	21-3347-B
banala	31-1235-B,38-2525-B,50-1328-B,50-1363-S,50-2831-S,86-196-S,92-3325-B,92-3338-S,98-474-S
banalaĵo	21-3389-B,71-1043-B
banaleco	21-3408-B,71-1063-B,92-3356-B,93-0-B
banano	22-0-B
bananujo	22-29-B
bancambro	22-2404-B
bandaĝo	22-101-B
banderolo	98-929-B
bandito	22-167-B
bando	22-51-B,23-2732-B,47-2732-B,49-3139-B
bangalo	26-1670-B
bangladeŝa	2-1134-B
bangladeŝanino	2-1157-B
bangladeŝano	2-1185-B
bani	22-2315-B
bani sin	22-2326-B
baniĝi	22-2341-B
banjano	22-600-B
banka bileto	22-344-B
bankedcambro	22-557-B
bankedi	22-509-B,44-2099-B
bankedo	22-525-B
bankestro	22-367-B
bankismo	22-384-B
banko	22-306-B
bankoko	2-1118-B
bankostumo	22-2380-B
bankrota	22-420-B
bankrotinto	22-438-B
bankroto	22-459-B,44-84-B
banksaldo	21-2700-B
bankuvo	22-2292-B
bano	22-2305-B
banspongo	22-2355-B
bantua	2-1211-B
bantuo	2-1224-B
banurbo	85-54-B
banĝo	22-293-B
banŝio	22-584-B
baobabo	22-615-B
baptado	29-2225-B
baptanto	22-694-B
baptejo	22-661-B
bapti	22-680-B,29-2210-B
baptisto	22-644-B
bapto	22-630-B,29-2245-B
baptopatro	48-3022-B
baptovesto	29-2191-B
barako	22-1483-B
barakti	46-381-B,87-2468-B,98-1300-B
baraĵo	35-1300-B
barba	22-3023-B
barbadosa	2-1237-B
barbadosano	2-1257-B
barbaraĵo	22-835-B
barbareco	22-856-B,22-876-B
barbaro	22-817-B
barbfiŝo	22-1012-B
barbhava	22-3037-B
barbisto	22-1029-B
barbiturato	22-1079-B
barbo	22-3011-B
barcelono	2-1314-B
barco	25-598-B
bardo	22-1120-B
barelo	22-1534-B
bari	22-712-B,66-1456-B
bariergardisto	82-3097-B
bariero	22-1710-B
barikadi	22-1672-B
barikado	22-1691-B
barila digo	35-1312-B
barilo	22-1726-B,44-2652-B
barilpordo	48-93-B
bario	22-1248-B
baritonulo	22-1228-B
barko	22-1276-B,22-1470-B
barnabaso	2-1334-B
barnabo	2-1353-B
baroka	22-1440-B
baroko	22-1455-B
barometro	22-1371-B
baronino	22-1404-B
baronlando	22-1422-B
barono	22-1391-B
barĝestro	22-1205-B
barĝo	22-1192-B
basa	36-1151-B
basbalo	22-1889-B
baseno	22-2006-B,77-2538-B
basketbalo	22-2074-B
bastarda	22-2173-B
bastardeco	22-2223-B
bastardo	22-2190-B
bastiono	22-2262-B
basto	22-2162-B
bastonadi	22-3194-B,46-214-B,91-488-B,97-115-B
bastoneto	86-2505-B
bastono	22-2453-B,27-1305-B,86-2521-B
basulo	22-2118-B
basviolono	22-2141-B,95-1873-B
batadi	30-359-B
batala	22-2556-B,22-2584-B
batalema	93-319-B
batalhalto	93-266-B
batali	45-392-B,87-2485-B
bataliono	22-2467-B
batalo	13-814-B,22-2570-B,80-2008-B,87-2501-B
batava	2-1458-B
batavio	2-1442-B
batavo	2-1474-B
bategi	91-505-B
baterio	22-2525-B
bati	22-3209-B,52-575-B,87-1746-B
batiki	22-2424-B
batisto	22-2437-B,27-720-B,57-1760-B
bato	24-2152-B
baudo	22-2618-B
bauksito	22-2630-B
bavara	2-1507-B
bavaro	2-1523-B
bavarujo	2-1490-B
baza	22-1963-B
bazalto	22-1838-B,97-690-B
bazaro	22-2688-B,44-215-B,60-1282-B
bazelo	2-1370-B,2-1383-B
bazi	22-1853-B
baziliko	22-1988-B
bazilio	22-1974-B
bazopilkludo	22-1906-B
bazo¹	22-1863-B,22-2031-B,49-2944-B
bazuko	22-2742-B
baĥrajna	2-963-B
baĥrajnano	2-982-B
baĥrajno	2-1003-B
bebo	21-1657-B
bedauri	76-2281-B
bedauriga	62-462-B
bedaurinda	76-2360-B,79-1791-B
bedaurinde	16-2090-B,76-2384-B,94-371-B
bedauro	76-2297-B
bedo	23-201-B
beginejo	23-985-B
begino	23-1004-B
begonio	23-952-B
beja	84-2538-B
bekerelo	23-182-B
beko	22-2871-B,23-3138-B
bela	23-11-B,45-930-B,50-2531-B,59-911-B
beladono	23-1380-B
bele	23-26-B,45-940-B
beleco	23-43-B
belega	59-923-B
beleta	72-3522-B
beletre klera	96-3163-B
beletro	23-1400-B
belfrido	23-1196-B
belga	2-1560-B
belgino	2-1574-B
belgo	2-1590-B
belgujo	2-1604-B
beligi	41-1331-B
beliza	2-1652-B
belizanino	2-1668-B
belizano	2-1688-B
belizo	2-1638-B
belono	2-1706-B
belorusujo	2-3362-B
belo²	23-1173-B
belsona	42-2132-B
belulino	23-57-B
bemolo	45-2516-B
benado	24-1593-B
bendi	89-2595-B
bendo	22-62-B,24-151-B,87-2094-B,89-2606-B
benedikto	2-1721-B,2-1735-B
benelukso	2-1754-B
bengala	2-1805-B
bengala fajro	23-1949-B,23-1976-B
bengalio	2-1772-B
bengalujo	2-1788-B
beni	24-1582-B
benigna	23-2004-B
benina	2-1820-B
beninano	2-1836-B
benjameno	2-1854-B
benketo	87-279-B
benko	23-1638-B
beno	24-1609-B,25-230-B
benzeno	23-2063-B
benzino	48-58-B,70-1107-B
beogrado	2-1620-B
beotio	2-1873-B
beotujo	2-1887-B
berberio	2-1279-B
berberiso	22-1060-B
berbero	2-1902-B
berberujo	2-1296-B
bergamoto	23-2148-B
bergamotoleo	23-2167-B
berilio	23-2250-B
berilo	23-2219-B
berilŝtono	23-2232-B
berkelio	23-2189-B
berlina	2-1934-B
berlinanino	2-1949-B
berlinano	2-1970-B
berlino¹	2-1917-B
bermo	82-1747-B,95-595-B
berna	2-2001-B
bernano	2-2015-B
berno	2-1989-B
bero	23-2208-B
besarabio	2-2031-B
besarabujo	2-2052-B
besta	22-3149-B,23-2466-B
bestaco	62-2393-B
besteca	22-3163-B,23-2480-B
bestejo	69-2222-B,87-3069-B
bestia	22-3179-B,23-2496-B,26-585-B,26-641-B
bestio	22-3124-B,26-616-B
bestkuracisto	95-974-B
besto	18-15-B,22-3137-B
beta	23-653-B,23-673-B
betao	23-2529-B
beto	23-663-B
betoniko	23-2540-B
betono	32-289-B
betulo	24-423-B
bezona	64-2232-B
bezonata	64-2249-B
bezonaĵo	77-2134-B
bezonaĵoj	60-2466-B,64-2186-B,77-2154-B
bezoni	64-2380-B,77-2103-B
bezono	64-2392-B,96-416-B
biblio	2-2127-B
bibliografio	23-2942-B
bibliotekisto	58-748-B
biblioteko	58-772-B
bicikli	35-912-B
biciklo	23-3006-B,23-3085-B,35-926-B
biciklosako	35-954-B
bido	22-2861-B
bienisto	44-1096-B,75-947-B
bieno	42-1794-B,44-1028-B,73-2610-B,75-922-B
biero	23-624-B
bieron	25-2485-S
bifsteko	23-571-B,86-1430-B
bikino	23-3098-B
bilardo	24-71-B
bildekrano	80-1830-B
bildero	71-52-B
bildo	53-1943-B,70-2295-B
bildodetruo	53-1211-B
bildsimbolo	53-1194-B
biletgiceto	25-18-B
bileto	22-344-S,23-3148-B,65-2467-B,78-570-S,91-1156-B
binara	24-103-B
bindaĵo	24-165-B,34-141-B
bindi	24-130-B
bindo	24-182-B,34-156-B
binoklo	24-252-B
biografiisto	24-342-B
biologiisto	24-366-B
biosfero	24-388-B
birda sorpujo	63-1055-B,79-575-B
birdaro	24-477-B
birdaĵo	46-2846-B,72-978-B
birdejo	21-1242-B
birdo	24-445-B
bireto	23-2117-B
birma	2-3241-B
birmano	2-3255-B
birmo	2-3229-B
bis	41-2283-B
bisauo	2-2173-B
biskajio	2-2140-B
