elefanto	41-849-B
eleganta	41-655-B
elegio	41-672-B
elektado	41-518-B
elekti	29-2044-B,41-488-B
elektita	41-501-B
elektitaĵo	46-464-B
elekto	29-1969-B,41-536-B,67-1204-B
elektra	41-552-B
elektro	41-569-B
elektronika	41-608-B
elektroniko	41-631-B
elektrono	41-589-B
elementa	41-777-B,41-796-B
elemento	41-685-B
elfari	11-3778-B,12-2600-B,45-1129-B
elfarita	31-2508-B
elfini	45-1143-B
elfo	41-975-B
elfosi	43-50-B,50-82-B
elgutigilo	30-2568-B,87-971-B
eligi	43-2414-B,94-2682-B
eligo	67-2862-B
elimini	41-997-B
elingigi	39-2257-B
elirejo	43-1333-B,75-2362-S
eliri	41-1542-B,43-1346-B,74-3112-B
elirigi	37-538-B,38-2797-B
eliro	4-843-B
elirtempo	34-2960-S
elizeo	4-266-B
elizii	41-984-B
elizio	41-1015-B
elkora	33-1820-B,51-1272-B,96-706-B
elkrani	89-2543-B
elkriptigi	36-206-B
ellabori	45-1157-B
ellacigi	44-1762-B,56-207-B,68-117-B,68-491-B
ellasi	76-3082-B
ellasita	67-16-B
ellerni	60-2082-B
ellerninta	11-3863-B
ellitiĝi	78-2083-B
elmergiĝi	41-1555-B
elmigri	41-1609-B
elmontri	36-3202-B,43-1113-B
elokventa	41-1065-B
elpagi	76-1053-B
elpaki	94-1331-B
elparolado	73-2349-B
elparoli	73-2311-B
elparolo	73-2374-B
elpeli	43-1544-B
elpensaĵo	45-172-B
elpensi	55-2860-B
elpetigi	53-2763-B,55-3346-B
elporti	9-3404-B,22-2915-B,41-2806-B,88-1090-B
elpremi	85-2693-B
elpremo	42-3036-B,43-2851-B
elprovi	90-1925-B
elprovita	19-288-B,92-3062-B,96-3206-B
elprovo	15-3074-B
elrabi	51-195-B,75-1648-B
elradikigi	42-1225-B
elrevigi	38-1286-B
elrevigo	38-1329-B
elsalvadora	7-2763-B
elsalvadoranino	7-2787-B
elseligi	27-3246-B,82-384-B
elsendi	26-63-B
elspezi	85-1088-B
elspezoj	43-1586-B
elspiri	43-989-B
elstarulo	12-2096-B
elteni	9-3418-B,22-2928-B,41-2821-B
elterigi	37-3492-B,58-1093-B
eltiri	74-993-B
eltiro	74-1005-B
eltrovaĵo	55-2905-B
eltrovi	55-2875-B
eltrovo	55-2926-B
eltrudi	43-2817-B
eluzita	98-461-B
elvido	95-1415-B
elviŝi	66-953-B
elvoki	42-2809-B,74-98-B
elzaco	1-1449-B,4-252-B
elĵetaĵo	76-1745-B,79-800-B,96-1025-B
elŝipiĝi	38-2199-B
emajli	41-2097-B
emajlo	41-2111-B
embarasa	87-1027-B
embarasi	9-2022-B,41-1253-B
embaraso	9-1568-S,9-2100-B,41-1272-B,70-318-B
emblemo	41-1368-B,89-1181-B
embuski	17-1666-B
embusko	17-1681-B
emerita	78-303-B
emeritiĝi	78-268-B
emfaza	41-1826-B
emfazi	11-1884-B,11-1971-B,41-1789-B
emfazo	11-1898-B,41-1773-B
eminenta	41-1626-B
eminente	45-988-B
emisii	56-13-B
emo	90-1126-B
emocia	14-3730-B,63-1750-B,92-463-B
emocii	63-1554-B,86-3073-B
emocio	41-1704-B
en	9-1432-B,53-3284-B,55-65-B,55-2603-B,67-188-B,69-2664-B
en alia maniero	37-3421-B,67-2575-B
en embaraso	9-1568-S
en kio	97-562-B
en kiu	97-577-B
en la dauro de	46-1390-B
en okaze ke	53-1633-B
en stoko	86-3203-B
en sudafriko	57-123-S
en tio	90-2736-B
enarkivigi	19-1513-B
enarĥivigi	19-1532-B
enautobuse	10-930-B
enboteligi	25-752-B
enbuse	10-949-B
encifri	41-2188-B
enciklopedio	41-2428-B
endanĝerigi	41-2549-B
endivio	41-2681-B
ene	55-75-B
enen	55-3362-B
eneo	1-665-B
energia	41-2894-B
energiemulo	53-765-B
energio	41-2912-B
enestanto	66-1824-B
enfermi	87-819-B
enfluejo	63-1488-B
enfosi	26-2172-B
engluti	41-3147-B,89-58-B
enhaveniĝi	42-121-B
enhavi	31-3297-B,32-3536-B,54-501-B
enhavo	32-3780-B
enigi	42-139-B,55-23-B
enigmeco	64-114-B
enigmo	41-3181-B,74-2145-B,78-1476-B
enigo	54-3524-B
enirejo	42-530-B,72-18-B
eniri	14-778-S,42-151-B,69-2935-B
eniro	11-2182-B,14-654-B,14-848-B,42-547-B
enirpago	14-670-B
enkadrigi	46-3136-B
enkarnigi	41-1425-B
enkarnigo	41-1383-B
enkarniĝo	54-158-B
enkaviĝinta	52-1053-B
enketo	54-3536-B,55-3101-B
enklasigi	30-304-B
enkodigi	41-2253-B
enkonduko	55-2766-B,72-2009-B
enkorpigi	41-1442-B
enkorpigo	41-1404-B
enladigi	27-1073-B
enlanda	10-1441-B,39-1328-B,55-2136-B
enlandano	54-2819-B
enlandulo	10-1460-B
enlasi	14-737-B
enlaso	14-689-B
enlitiĝtempo	23-451-B
enloĝanto	54-2840-B
enloĝigo	11-3302-B
enmagazenigi	87-500-B
enmanigi	50-2162-B
enmeti	55-36-B,87-832-B
enmigri	53-2208-B
enmiksiĝema	61-459-B
enmiksiĝemo	61-483-B
enmiksiĝemulo	26-2251-B,61-421-B
enoficigi	18-3332-B
enoficigo	18-3365-B
enoficiĝo	11-2325-B
enorme	42-0-B
enotero	42-2396-B
enpaki	68-991-B,68-1023-B
enpenetri	69-2315-B
enpoŝtigi	72-581-B
enradikiĝi	79-54-B,87-1790-B
enregistrigi	76-2071-B
enskribi	42-163-B,76-658-B
enskribigi	76-2093-B
enskribigo	42-610-B
ensorbado	20-812-B,38-18-B
ensorci	23-2743-B,36-2717-B
ensorciga	41-2145-B
ensorco	36-2761-B,85-1013-B
enspaci	45-639-B,66-1936-B
enspezo	54-619-B
enspezoj	54-634-B
enspiri	54-2882-B
enteni	52-900-B
enteriga entreprenisto	63-50-B,94-87-B
enterigi	26-2184-B
enterigo	26-1979-B,47-1655-B,55-2054-B
entiri	39-2271-B,74-1017-B
entjera	55-1387-B
entombigi	26-2198-B,42-513-B,55-1720-B
entombigo	26-1995-B,47-1672-B,55-2073-B
entreprenema	42-213-B
entrepreni	35-1841-S,94-48-B,95-491-S
entreprenisto	63-50-S,94-87-S
entrepreno	42-191-B
entrudiĝi	55-2789-B
entute	17-905-B
entuziasma	42-385-B
entuziasmo	16-1698-B,42-363-B
enua	25-500-B,96-2186-B
enuiga	25-512-B,86-3238-B
enuigi	25-478-B
enurezo	23-262-B,42-651-B
envagone	10-963-B
enveni	42-178-B
envia	42-721-B
enviema	42-735-B,56-378-B
envii	42-819-B
envio	42-830-B
envolvi	42-688-B
enŝipe	10-979-B
enŝipe de	10-994-B
enŝipiĝi	41-1235-B
enŝipiĝinta	10-1012-B
enŝovi	55-50-B
enŝprucigilo	89-1561-B
eoceno	4-370-B
eolo	1-677-B
eono	14-3035-B
eoso	4-384-B
epifanio	4-393-B,8-2841-B
epilepsio	42-869-B
epilobio	97-1659-B
episkopa	42-888-B
episkopa moŝto	62-2346-B
episkopo	24-563-B
epistolo	42-923-B,58-428-B
epizodo	42-907-B
epoko	15-1567-B,42-940-B,42-1206-B
epoleto	42-841-B
epopea	42-857-B
epsilono	42-952-B
erao	42-1216-B
erara	42-1417-B,62-922-B,98-1430-B
erari	42-1354-B
erariga	36-115-B,36-2779-B,44-486-B,62-767-B
erarkredi	44-844-B
eraro	42-1433-B,62-908-B
erarpaŝo	9-3089-B
erarsercilo	35-2838-B
erbio	42-1269-B
erco	67-1838-B
erikejo	51-1393-B
eriko	51-1407-B
eringio	42-1445-B
eriso	4-411-B
eritreo	4-422-B
erizipelo	42-1460-B
ermito	51-2443-B
erodio	87-653-B
erotika	42-1339-B
ero¹	41-702-B,46-3047-B,56-84-B,68-3315-B
erpi	51-183-B
erudiciulo	80-1277-B
escepta	43-222-B
escepte	26-2448-B,43-162-B
escepti	43-177-B,43-626-B
escepto	43-204-B
esenca	42-1642-B
esenco	42-1627-B,48-2182-B
eskalatoro	42-1481-B
eskali	80-865-B
eskapi	42-1502-B,45-2749-B
eskapo	42-1516-B
eskimo	4-438-B
eskorti	42-1530-B
eskorto	42-1545-B
eskudo	42-1560-B
esperantisto	4-452-B
esperanto	4-477-B
espereble	52-1809-B
esperi	52-1785-B
espero	52-1797-B
esplorado	43-2231-B,55-3122-B,77-2233-B
esplordemandi	55-2348-B,74-2649-B
esplori	43-17-B,43-2273-B,55-3058-B,77-2252-B
esploro	43-2253-B,55-3146-B,77-2269-B
esprimi	43-2428-B
esprimo	43-2464-B
establi	42-1282-B,42-1659-B
establo	42-1730-B
estas vere ke	14-865-B
estetika	14-3448-B
estetiko	14-3467-B
estetikulo	14-3428-B
esti	22-2757-B
esti al	16-164-B
esti deponita	77-3359-B
esti konforma al	18-554-B
esti konsiderata	33-2873-B
esti laumezura	45-1990-B
esti longa	61-144-B
estiel	19-3086-B
estigi	28-634-B,34-1249-B,37-2425-B
estimata	35-2617-B
estimi	42-1826-B
estiminda	77-3061-B
estimo	42-1840-B,76-1908-B
estingi	43-2782-B
estingiĝi	43-2063-B
estinta	46-2224-B
estinteco	69-680-B
estinto	69-695-B
estiĝi	19-1774-B,48-1713-B,86-890-B
estona	4-514-B
estono	4-530-B
estonta	47-2204-B
estonteco	47-2219-B
estonto	47-2236-B
estonujo	4-497-B
estreco	21-274-B
estrema	25-671-B,60-2173-B
estri	49-668-B,77-3503-B
estrino	62-953-B
estro	25-637-B,29-1444-B,57-2150-B,60-2097-B
estu	17-1706-S
estulo	34-1288-B
eta	58-2547-B,83-2971-B,91-1900-B
etao	42-1933-B
etapo	85-3022-B
etaĝo	46-337-B,87-625-B
etendi	43-2562-B
etendiĝi	79-1359-B
eterna	42-1972-B,42-2606-B
eterne	46-1989-B
eterneco	42-2002-B
eterno	42-2020-B
etero	42-2036-B
etika	42-2060-B
etikedo	57-175-B
etiketo	42-2099-B
etiko	42-2048-B,42-2074-B
etiologio	14-3487-B
etiopa	4-564-B
etiopo	4-581-B
etiopujo	4-546-B
etno	4-598-B
eto	1-34-B
etoso	20-1861-B,42-2087-B,62-2672-B
etosplena	20-1900-B
etruska	4-643-B,4-677-B
etruskio	4-608-B
etrusko	4-660-B,4-694-B
etruskujo	4-625-B
etspirita	70-1211-B,83-2997-B
euforbio	85-2361-B
eufrato	4-711-B
eunuko	42-2117-B
euro	42-2151-B
europa	4-799-B
europa bizono	97-2298-B
europa herakleo	52-819-B
europano	4-816-B
europio	42-2162-B
europo²	4-764-B
europo³	4-730-B
europo¹	4-747-B
evakui	42-2180-B
evangelia	42-2208-B
evangelio	49-565-B
evento	42-2452-B
eventuala	32-3856-B,42-2545-B
eventuale	72-538-B
eventualo	32-3834-B,42-2564-B
evidenta	30-483-B,42-2792-B,66-1648-B
evidente	18-2622-B,30-602-B,66-1679-B
eviti	21-1356-B,42-2196-B
evo	4-835-B
evoluado	37-2470-B,42-2822-B
evolucii	42-2877-B
evolucio	42-2841-B
evolui	37-2440-B,42-2893-B
