fatala	44-1673-B,53-1729-B
fatalo	44-1650-B
fauki	47-2854-B,98-1700-B
fauko	11-1248-B,56-344-B,60-2774-B,63-1503-B,64-15-B
favora	14-2219-B,44-1875-B
favoranto	69-1184-B
favorata	44-1893-B
favoratino	44-1912-B
favorato	44-1933-B
favori	44-1816-B
favoro	44-1830-B
fazano	70-1443-B
fazeolo	50-3024-B
fazo	70-1432-B,85-3034-B
fea	44-310-B
febra	45-54-B
febro	45-42-B
februaro	4-869-B
federacio	44-2173-B
federala	44-2156-B
feina	44-320-B
feino	44-332-B
fekaĵo	40-1007-B,43-754-B
fekaĵputo	28-1997-B,28-2016-B
feki	36-1259-B
feko	40-1020-B,43-772-B
fekunda	44-2801-B
feldspato	44-2405-B,44-2530-B
felica	46-2463-B,50-2707-B
felice	46-2503-B
feliceco	50-2669-B
felico	50-2689-B
felietono	81-1666-B
felo	47-1806-B,51-2853-B,83-1795-B
felto	44-2548-B
femalo	44-2559-B
femuro	90-2964-B
fendaĵo	34-690-B,34-1465-B
fendego	75-1688-B
fendi	85-1616-B
fendiĝi	26-2118-B,85-1628-B
fendiĝinta	34-807-B
fendo	34-705-B,34-1482-B,47-2834-B
fenestra vitro	97-1921-B
fenestro	97-1863-B
fenestrokadro	46-3152-B,97-1894-B
fenestrokovrilo	24-1636-B
fenestrumo	82-2364-B
fenikso	70-1705-B
fenkolo	44-2730-B
fenomena	70-1459-B
fenomeno	70-1479-B
fenro	4-887-B
feo	44-344-B
fera	55-3440-B
ferdeko	15-1062-S,36-358-B
ferdrato	97-2101-B
ferio	52-1021-B
ferioj	94-2723-B
ferlada	91-1664-B
ferlado	91-1676-B
fermenti	44-2745-B
fermentilo	57-2625-B,98-1816-B
fermi	30-1133-B,82-2340-B
fermio	44-2762-B
fermita	30-1273-B,82-2351-B
fermiĝi	30-1145-B
fermplato	34-168-B,58-887-B
fero	55-3450-B
feroca	45-276-B
ferplato	34-184-B,58-901-B
ferskatolo	91-1688-B
ferumi	82-1188-B
fervojo	75-649-B,75-666-B
fervora	19-1602-B,98-2344-B
fervoro	44-2894-B,98-2331-B
festado	28-1121-B
festeno	22-541-B,44-2113-B
festi	28-1066-B
festivalo	44-2910-B
festo	3-1657-S,28-1141-B,44-2929-B,69-197-B,96-2310-S,96-2380-S,96-2430-S,96-2484-S
fetora	21-2371-B,66-2152-B,86-2998-B
fetoranta	21-2391-B,66-2179-B,86-3014-B
fetori	76-1193-B,84-38-B,86-2952-B
fetoro	86-1833-B
feuda	45-28-B
feudo	45-241-B
feudulo	95-55-B
fi	81-2994-B
fia	59-1043-B,64-1019-B
fiakro	26-2994-B
fianciniĝinta	41-2927-B
fianciniĝo	23-2588-B,41-2973-B
fiancino	25-2572-B,45-127-B
fianciĝinta	41-2951-B
fianciĝo	23-2611-B,41-2997-B
fianco	45-111-B
fiaska	10-1857-B
fiaski	10-1700-B,44-0-B
fiaskigi	10-1713-B,74-2522-B
fiasko	10-1797-B,44-101-B,45-146-B
fibestoj	95-640-B
fibolo	79-2151-B
fibro	45-160-B
fidela	44-379-B
fideleco	13-2581-B
fidi	93-579-B
fidi je	93-590-B
fidinda	76-3168-B,93-646-B
fido	32-903-B,44-354-B,93-604-B
fiera	73-3559-B
fiero	73-196-B
fiflatado	14-1467-B
figo	45-367-B
figujo	45-376-B
figura	45-445-B
figuranto	43-2921-B
figuri	37-202-B,77-1442-B
figuro	37-2835-B,45-511-B,53-1955-B,70-2309-B,77-1480-B
fiinsektoj	95-656-B
fikampanjo	15-2754-B
fikcia	45-206-B,45-223-B
fikcio	45-191-B
fiki	47-1314-B,80-1878-B
fikopii	34-1525-B
fiksa	45-2282-B
fikse	48-445-S,69-2123-S,86-782-S
fiksi	15-450-B,20-2150-B,37-2216-B,44-1504-B,45-2234-B,80-3032-B
fikso	45-2294-B
filatelio	70-1507-B,86-434-B
filatelo	70-1527-B,86-461-B
filigo	14-1148-B
filiigi	15-80-B
filiiĝi	15-98-B
filiko	44-2777-B
filino	35-2227-B
filio	15-117-B,15-133-B,25-1791-B
filipina	7-1206-B
filipinano	4-900-B
filipinoj	7-1226-B
filiŝto	7-1248-B
filmo	45-720-B,63-1722-B
filmruleto	45-731-B
filo	84-2210-B
filozofi	70-1589-B
filozofia	70-1567-B
filozofio	70-1611-B
filozofo	70-1546-B
filtri	45-747-B
filtrilo	45-761-B
fina	45-804-B
finalo	36-171-B,71-1233-B
financa	45-876-B
financi	45-844-B
financo	45-860-B
finaranĝi	32-187-B,38-2987-B,43-1502-B,81-2087-B
finaĵo	41-2621-B
findecidi	31-2937-B,32-207-B,38-3007-B,81-2105-B
fine	45-831-B,93-2231-B
finfari	45-1173-B
finfine	93-2247-B
fingringo	90-2977-B
fingro	45-1052-B,91-2273-B
fingrofrapo	92-421-B
fingrumi	45-1066-B,50-2414-B
fini	11-3548-B,41-2471-B,45-1188-B,90-1627-B
fini fuŝrapide	26-1687-B
finita	31-2527-B,39-1442-B,45-1232-B,67-3106-B,91-786-B
finiĝanta	41-2636-B
finiĝi	41-2480-B,43-2081-B
finiĝo	41-2492-B,41-2654-B
finlabori	45-1200-B
finlegi	75-1989-B
finna	4-947-B
finna lingvo	4-961-B
finno	4-936-B
finnujo	4-920-B
fino	23-1069-S,41-2504-B,41-2669-B
finpago	13-168-B,69-1574-B
finpretigo	12-91-B
finstacio	41-2523-B
finuzitaĵo	27-3285-B
fio	70-1499-B
fipetola	96-465-B
fipetolemo	96-498-B
firma	44-1455-B,45-1661-B,84-1720-B,85-2802-B
firmao	31-1706-B,45-1672-B
firme	45-1735-B
firmigi	15-462-B,44-1517-B,45-2244-B,80-3045-B
firmo	31-1721-B,45-1684-B
firsto	33-1520-B
fizika	70-1952-B
fizikisto	70-2003-B
fiziko	70-2023-B
fizionomio	70-2038-B
fiŝaĵo	45-1840-B
fiŝhoko	52-1641-B
fiŝisto	45-1880-B
fiŝkapti	45-1854-B
fiŝkaptisto	45-1899-B
fiŝo	45-1869-B
fjordo	45-2307-B,54-3284-B,58-2962-B
flago	22-479-B,45-2320-B
flagreti	45-2871-B
flagri	45-2456-B,46-0-B
flamanta	10-438-B
flamengo	45-2355-B
flami	45-2331-B
flamkapa	52-2591-B
flamo	45-2343-B
flandrio	4-982-B
flandrujo	4-1000-B
flanela	45-2402-B
flanelo	45-2418-B
flanka	54-262-B,82-2534-B
flanka branco	82-2570-B
flankafero	11-2494-B
flankaĵo	82-2760-B,82-2814-B
flanke de	17-337-B,23-2317-B
flankeniĝi	36-1730-B,39-665-B,96-310-B
flanknavo	16-1579-B
flanko	10-2556-S,21-1752-S,25-821-S,47-943-S,57-2806-S,78-763-S,82-2546-B
flankokupo	52-688-B,82-2780-B
flankon ce flanko	10-2556-B
flankvojo	26-2899-B,82-2640-B
flano	45-2391-B,89-2758-B
flari	84-51-B
flaro	84-63-B
flarsentumo	84-75-B
flarumi	84-809-B
flatado	45-2624-B
flate	30-2054-B
flati	45-2591-B
flato	45-2641-B
flava	98-1868-B
flava kupro	25-1937-B
flavgriza	23-1157-B
flavo	98-1881-B
flebito	70-1648-B
flegi	20-2567-B,66-206-B
flegistino	66-218-B
flegisto	66-235-B
flegmo	54-1435-B,70-1666-B
fleksa	45-2815-B
fleksaĵo	23-1689-B
fleksebla	45-2831-B
fleksi	23-1704-B
fleksita	23-2038-B
fleksiĝema	45-2850-B
fleksiĝi	23-1716-B
flekso	23-1731-B,35-433-B
flikaĵo	69-886-B
fliki	61-1434-B,69-901-B
flirti	46-115-B,46-141-B,46-638-B
flisingo	4-1055-B
floranta	10-532-B
floraĵo	24-2089-B
florbrasiko	28-583-B
florenco¹	4-1019-B
florfontano	2-2188-B
florido	4-1039-B
florkrono	34-2118-B,47-3047-B,98-974-B
floro	24-2077-B,46-483-B
florpoto	46-496-B
flosi	46-153-B
floso	75-547-B
flua	46-525-B
fluejo	23-210-B,96-1563-B
fluganta objekto	8-2864-S
flugfolio	46-15-B
flughaveno	16-1147-B
flugi	46-696-B
flugilo	97-1975-B
flugo	46-44-B
flugtauga	16-1492-B
flui	46-444-B
fluida	46-550-B,58-2193-B
fluidaĵo	46-563-B,58-2207-B
flulinia	87-1340-B
fluo	35-141-B,46-454-B,87-1312-B
fluoro	46-579-B
flusa	46-266-B
flustrado	97-893-B
flustri	97-911-B
fluto	46-595-B
fobio	70-1692-B
foino	87-236-B
foiro	44-239-B,60-1296-B
foja	66-1777-B
foje	67-247-B,84-2136-B
fojnamaso	51-611-B
fojno	51-601-B
fojo	66-1698-B,91-1594-B
foko	80-2270-B
fokuso	46-742-B
foldo	83-2724-B
foliaro	46-832-B
folio	57-2230-B,82-493-B
folkloro	46-860-B
fondaĵo	46-2655-B
fondi	42-1296-B,42-1677-B,46-2643-B
fondo	42-1752-B
fonduso	47-1609-B
fonetika	70-1721-B
fonetiko	70-1739-B
fono	21-1905-B
fontano	46-2714-B
fonti	85-2164-B
fonto	46-2731-B,84-2814-B,85-2177-B,96-2931-B
fontplumo	46-2746-B
for	21-1464-B,44-935-B
fora	38-3701-B,44-943-B,77-155-B
forbruligi	54-300-B
foresta	10-3206-B
forestanta	10-3221-B
forestanteco	10-3352-B
forestanto	10-3332-B
foresteco	10-3123-B,65-2071-B
foresto	10-3141-B
foreston de	62-836-S
forfandiĝi	61-1180-B
forfosi	58-579-B
forgesema	46-2069-B
forgesi	46-2054-B
forigo	10-1142-B
foriri	37-17-B,57-2507-B
foriro	37-89-B
forklini	68-3076-B
forko	46-2105-B
forkondukado	38-1569-B
forkonduki	39-800-B
forkonduko	38-1592-B
forkonsenti	76-3309-B,77-381-B,95-3134-B
forkuri	10-3092-B
forlasi	9-1552-B,37-1135-B,46-2328-B,57-2520-B,74-3123-B
forlasita	9-1630-B
forlasiteco	9-1792-B
forlaso	9-1816-B,10-353-S,77-589-S
forloga	77-855-B,77-917-B,77-1994-B
formala	46-2170-B
formanĝi	32-3332-B
formetejo	82-398-B
formeti	87-519-B
formi	46-2116-B,81-3126-B
formikmanĝulo	18-662-B
formiko	18-650-B,41-1674-B
formikurso	18-687-B
formo	46-2127-B,81-3138-B
formorti	44-12-B
formoso	4-1073-B
formularo	24-1210-B,46-2138-B
formuli	46-2310-B
formulo	46-2294-B
forno	47-1878-B,56-2088-B,67-3095-B,87-795-B
forpasi	43-2096-B,78-370-B,97-2454-B
forpeli	43-1557-B
forpermeso	47-1858-B,57-2534-B
forprenebla	37-1926-B,77-222-B
forpreni	11-358-B
forpreni la jungilaron de	94-530-B
forpuŝi	77-826-B,77-1961-B
forrabo	11-558-B
forreagado	10-2534-B
forreagi	10-2517-B
forsendi	38-2813-B
forsendi ĝentile	75-2783-B
forsitio	46-2344-B
forsto	46-1955-B
forstumi	15-685-B
forta	87-2327-B
forte	87-2396-B
forteco	46-1517-B,87-1500-B
fortepiano	70-2129-B
fortigi	46-2388-B
fortika	45-1695-B,78-2632-B,84-1732-B,87-2340-B,87-3022-B
fortikaĵo	46-2363-B
fortikeco	87-1517-B
fortimiga	37-2292-B,46-1453-B
fortimigi	37-2135-B,38-1963-B,80-1086-B
fortimigo	37-2271-B
forto	20-2910-S,46-1531-B,87-1536-B,95-1549-B
fortostreco	43-967-B
fortreso	46-2445-B
fortuno	46-2523-B,59-1208-B
forumo	46-2567-B
forvelki	10-1728-B
forveturo	37-106-B
forviŝi	36-2217-B
forvojaĝi	37-31-B,57-2551-B
forĝi	46-2026-B
forĝisto	84-179-B
forĵetaĵo	47-2891-B,76-1763-B,79-819-B,96-1042-B
forĵetindaĵo	47-2911-B,57-2643-B,76-1782-B,79-839-B,96-1060-B
forŝovi	63-1566-B
forŝoviĝo	82-892-B
forŝovo	82-910-B
fosaĵo	39-573-B,52-988-B,70-3291-B
fosforeska	70-1779-B
fosforo	70-1805-B
fosi	37-3505-B,50-94-B,85-114-B
fosilio	46-2596-B
fosilo	85-125-B
foso	52-1001-B
fosto	71-2191-B,72-597-B,86-126-B,86-505-B
fotelo	19-2088-B
fotilo	27-749-B
fotisto	70-1861-B
foto	70-1824-B,70-1905-S
fotografi	70-1840-B
fotografilo	27-763-B
fotografio	70-1882-B
fotokopio	70-1931-B
fragila	46-2995-B
fragmenta	46-3081-B
fragmento	46-3062-B,59-1336-B,70-2445-B
fragmito	76-1144-B
frago	87-1249-B
frajo	85-324-B
frakasi	34-2357-B,82-156-B,84-11-B
frakcio	46-2941-B
frako	39-2763-B,89-1955-B
frakseno	19-3317-B
frakturo	46-2958-B
framasona	60-1830-B
framasono	6-1162-B,47-287-B
frambo	75-1286-B
frambujo	75-1303-B
franca	4-1146-B
franca lingvo	4-1160-B
francino	4-1198-B
francio	47-63-B
franco	4-1181-B
francujo	4-1089-B
franda	16-3390-B,20-2952-B,42-436-B,90-1056-B
frandaĵo	36-2413-B,89-366-B,91-1240-B
frandi	76-3378-B
frankfurto	4-1125-B
frankonio	4-1105-B
frapado	18-3078-S
frapanta	87-1932-B
frapeti	69-874-B,89-2555-B
frapi	52-584-B,56-2712-B,87-1809-B
frapo	24-2190-B,56-2724-B
fratino	83-992-B
frato	6-2205-S,26-359-B
fraudi	36-1792-B,89-770-B
fraula	83-703-B,94-1191-B
fraulina	83-718-B,94-1209-B
fraulino	6-1832-B,85-1336-B
frazisto	30-2038-B,45-2605-B
frazo	81-1134-B
frekventi	47-424-B
fremda	16-2818-B,46-1795-B,87-1061-B
fremdulino	87-1092-B
fremdulo	46-1855-B,87-1112-B
freneza	34-1124-B,54-3685-B,59-1426-B,59-1880-B,66-330-B
frenezeco	34-1086-B,54-3700-B,59-1371-B,59-1918-B
frenezeta	34-783-B,35-1128-B,59-367-B,66-343-B,96-2789-B
frenezi	75-1662-B
frenezo	34-1106-B,54-3719-B,59-1388-B,59-1936-B
frenezulo	59-1442-B
freŝa	47-473-B,75-3091-B
freŝcerba	14-1351-B
freŝdate	75-3129-B
freŝeco	16-907-B
freŝiganta	76-1598-B
fridigi	76-1621-B
fridujo	76-1641-B
fripona	64-1029-B
friponi	29-489-B
fripono	29-503-B,34-1893-B,78-2776-B
frisa	4-1294-B
frisino	4-1308-B
frislando	4-1235-B
friso	47-666-B
friti	47-1267-B
fritilario	47-758-B
fritilo	47-1277-B
frivola	47-817-B
frivolo	47-780-B
frizi	35-11-B,39-1073-B
frizistino	50-1634-B
frizisto	50-1657-B
frizo	50-1518-B
frizona	4-1324-B
frizonino	4-1340-B
frizonio	4-1255-B
frizono	4-1358-B
frizonujo	4-1274-B
fromaĝo	29-866-B,30-1529-S
fronte al	67-882-B
fronti	32-1309-B,43-3296-B
fronto	22-2599-B,47-964-B,47-977-B
frosti	47-325-B
frostigi	47-339-B
frostigilo	47-405-B
frostigita	47-1136-B
frostiĝi	47-355-B
frostiĝinta	47-1154-B
frosto	47-1007-B,65-938-S
