godlike	jumalallinen
godliness	hurskaus
godly	hurskas
godmother	kummi
godmother	sylikummi
godparent	kummi
godson	kummipoika
goggle	mulkoilla
going	astuminen
going	keli
going	kulkeminen
going	kulku
going	kuluminen
going	kunto
going	kuuluminen
going	kuuluva
going	käyminen
going	käypä
going	liikkuminen
going	liikkuva
going	lähtö
going	meno
going	onnistuminen
going	riittävä
going	sujuva
gold	kulta
gold	kultainen
golden	kullankeltainen
golden	kultainen
goldfinch	tikli
goldfish	kultakala
goldilocks	kultakutri
goldmine	kultakaivos
goldsmith	kultaseppä
golf	golf
golliwog	mörkö
gonad	sukupuolirauhanen
gondola	gondoli
gondolier	gondolieeri
gone	hävinnyt
gone	kuollut
gone	mennyt
gong	gonggongi
goo	sentimentaalisuus
goo	tahma
good	hyvä
good	hyödyke
good	kelpo
good	kiltti
good	kunnollinen
good	pilaantumaton
good	pätevä
good-bye	hyvästi
good-looking	hyvännäköinen
good-looking	kaunis
good-looking	komea
goodbye	hyvästijättö
goodbye	näkemiin
goodish	melkoinen
goodly	kaunis
goodly	komea
goodly	melkoinen
goodness	hyvyys
goodwill	hyvänsuopuus
goodwill	hyväntahtoisuus
goodwill	suopeus
goofy	hölmö
goofy	typerä
goon	hölmö
goosander	koskelo
goose	hanhi
gooseberry	karviaismarja
gore	kiila
gore	lävistää
gore	puskea
gore	veri
gorge	ahmia
gorge	kuilu
gorge	kurkku
gorge	mässäillä
gorge	rotko
gorge	sola
gorgeous	hemaiseva
gorgeous	komea
gorgeous	loistelias
gorgeous	uhkea
gorgeous	upea
gorilla	gorilla
gorilla	henkivartija
gory	verinen
goshawk	kanahaukka
gospel	evankeliumi
gossamer	harsokangas
gossamer	hämähäkinseitti
gossamer	seitti
gossip	juoru
gossip	juoruakka
gossip	kielikello
gouge	kaivertaa
gouge	kourutaltta
gouge	kovertaa
gourd	kurpitsa
gourmand	ahmatti
gout	kihti
gout	leini
gouty	luuvaloinen
govern	hallita
govern	määrätä
govern	ohjata
govern	vaatia
governess	kotiopettajatar
governing	hallitseminen
governing	vaikuttava
government	esivalta
government	hallinto
government	hallitus
government	hallitusmuoto
government	kuvernementti
government	ministeristö
government	valtio
government	valtiollinen
governmental	hallinnollinen
governor	komendantti
governor	kuvernööri
governor	käskynhaltija
governor	maaherra
governor	säädin
gown	kaapu
gown	leninki
gown	puku
gown	vaippa
gown	viitta
gown	virkapuku
grab	anastaa
grab	kaapata
grab	kahmaista
grab	koura
grab	kouraista
grab	napata
grab	tarttua
grace	armo
grace	kaunistaa
grace	koristaa
grace	kunnioittaa
grace	maksunlykkäys
grace	pöytärukous
grace	suoda
grace	suosio
grace	viehätys
graceful	siro
graceful	sorea
graceful	sulava
graceful	suloinen
gracefulness	sirous
gracefulness	soreus
graceless	häpeämätön
graceless	suloton
graceless	turmeltunut
gracious	Armollinen
gracious	armollinen
gracious	laupias
gracious	suloinen
gracious	ystävällinen
gradation	järjestys
gradation	vokaalivaihtelu
gradation	äännevaihtelu
grade	arvoaste
grade	arvoluokka
grade	askel
grade	aste
grade	laatu
grade	laatuluokka
grade	lajitella
grade	luokitella
grade	luokittaa
grade	luokka
grade	nousu
grade	parantaa
grade	porrastaa
grade	risteyttää
grade	sävyttää
grade	vivahdus
grader	lajittelija
gradient	kaltevuus
gradient	nousu
grading	laatuluokittelu
grading	lajittelu
grading	luokittaminen
gradual	asteittainen
gradual	vähittäinen
gradually	asteittain
gradually	hissukseen
graduate	valmistua
graduation	loppututkinto
graft	istuttaa
graft	jalostaa
graft	oksas
graft	oksastaa
graft	siirtää
graft	silmikoida
