assessor	asessori
asset	avu
asset	etu
assiduity	uutteruus
assiduous	ahkera
assiduous	uuttera
assiduous	väsymätön
assign	antaa
assign	ilmoittaa
assign	luovuttaa
assign	määrätä
assign	osoittaa
assign	sanoa
assign	siirtää
assign	uskoa
assignation	kohtaus
assignee	oikeudenomistaja
assignment	luovutus
assignment	luovutuskirja
assignment	maksuosoitus
assignment	osoitus
assignment	siirtokirja
assignment	siirtäminen
assignment	toimeksianto
assimilate	assimiloida
assimilate	assimiloitua
assimilate	omaksua
assimilate	tehdä
assimilation	assimilaatio
assimilation	äänteenmukaus
assist	auttaa
assist	avustaa
assist	myötävaikuttaa
assistance	apu
assistance	avunanto
assistance	avustus
assistance	myötävaikutus
assistant	amanuenssi
assistant	apulainen
assistant	auttaja
assistant	avustaja
associate	apujäsen
associate	assosioida
associate	assosioitua
associate	jäsen
associate	kumppani
associate	liikekumppani
associate	liittää
associate	seurustella
associate	työtoveri
associate	yhdistää
associate	yhtiökumppani
association	assosiaatio
association	seura
association	seurustelu
association	yhdistys
association	yhteys
assortment	lajitelma
assortment	valikoima
assuage	lieventää
assuage	vaimentaa
assuage	vähentää
assume	anastaa
assume	edellyttää
assume	olettaa
assume	omaksua
assume	otaksua
assume	ottaa
assuming	anastaminen
assuming	omaksuminen
assuming	ottaminen
assuming	ottava
assuming	pöyhkeä
assumption	anastaminen
assumption	julkeus
assumption	olettamus
assumption	omaksuminen
assumption	otaksuma
assumption	ottaminen
assurance	itsevarmuus
assurance	vakaumus
assurance	vakuus
assurance	vakuutus
assurance	varmuus
assure	taata
assure	turvata
assure	varmistaa
assuredly	varmasti
aster	asteri
asterisk	tähti
astern	perässä
astern	taaksepäin
asthma	astma
asthmatic	astmaatikko
astigmatism	hajataittoisuus
astonish	hämmästyttää
astonish	ihmetyttää
astonish	kummastuttaa
astonishing	hämmästyttävä
astonishing	ihmeellinen
astonishment	hämmästys
astonishment	ällistys
astound	hämmästyttää
astound	ällistyttää
astride	hajareisin
astrology	astrologia
astronomy	astronomia
astute	ovela
astute	teräväjärkinen
astute	terävänäköinen
astuteness	oveluus
astuteness	äly
asunder	erilleen
asunder	halki
asunder	rikki
asylum	mielisairaala
asylum	turvakoti
asylum	turvapaikka
asylum	turvapaikkaoikeus
asymmetric	epäkeskinen
asymmetric	epäsuhtainen
asymmetrical	suhteeton
asymmetry	epäsuhtaisuus
at	aikaa
at	luona
at	päin
at	tilaa
at	ääreen
at	äärestä
atavism	atavismi
atelier	ateljee
atheism	ateismi
atheist	jumalankieltäjä
atheistic	ateistinen
atheistic	jumalaton
athlete	atleetti
athlete	urheilija
athlete	yleisurheilija
athletic	jäntevä
athletic	urheilijamainen
athletic	urheilullinen
athwart	poikittain
athwart	poikki
athwart	yli
atmosphere	atmosfääri
atmosphere	henki
atmosphere	ilmapiiri
atmosphere	tunnelma
atmosphere	tuntu
atoll	atolli
atom	atomi
atomic	atomi
atomizer	pirskotin
atomizer	suihkutin
atomizer	sumutin
atomizer	suutin
atrocious	hirvittävä
atrocious	julma
atrocious	kammottava
atrocity	julmuus
atrophy	atrofia
atrophy	kuivettua
atrophy	näivettyä
atrophy	näivettää
atrophy	surkastua
atrophy	surkastuttaa
attach	kiinnittää
attach	kuulua
attach	liittää
attach	oheistaa
attach	ohessa
attach	takavarikoida
attach	vangita
attach	yhdistää
attachment	kiinnittäminen
attachment	kiinnitys
attachment	kiintymys
attachment	mieltymys
attachment	ulosmittaus
attack	hyökkäys
attack	hyökätä
attack	kohtaus
attack	puuska
attack	rynnistys
attack	rynnistää
attack	rynnäkkö
attacker	hyökkääjä
attain	saada
attain	saavuttaa
attainment	saavutus
attar	ruusuöljy
attempt	koettaa
attempt	yrittää
attempt	yritys
attend	hoitaa
attend	huolehtia
attend	kuunnella
attend	käydä
attend	osallistua
attend	palvella
