magnate	pohatta
magnesia	magneesia
magnesium	magnesium
magnet	magneetti
magnetic	magneettinen
magnetism	magnetismi
magneto	magneetti
magneto	magneetto
magnification	suurennus
magnificence	komeus
magnificence	loisto
magnificence	muhkeus
magnificence	uhkeus
magnificent	komea
magnificent	ruhtinaallinen
magnificent	suurenmoinen
magnificent	uhkea
magnificent	upea
magnify	liioitella
magnify	suurennella
magnify	suurentaa
magnitude	koko
magnitude	suure
magnitude	suuruus
magnitude	tärkeys
magnolia	magnolia
magpie	harakka
mahogany	mahonki
maid	impi
maid	neito
maid	palvelija
maid	piika
maiden	naimaton
maiden	neito
maiden	neitseellinen
maidenhood	neitsyys
maidenly	neitseellinen
maidenly	ujo
mail	panssari
mail	posti
mail	postittaa
mailbox	postilaatikko
maim	ruhjoa
maim	silpoa
maim	typistää
main	meri
main	pääjohto
main	tärkeä
mainly	lähinnä
mainly	valtaosa
mainly	voittopuolisesti
mainsail	isopurje
mainstay	Tuki
mainstay	päätuki
maintain	elättää
maintain	huoltaa
maintain	pitää
maintain	puolustaa
maintain	pysyttää
maintain	säilyttää
maintain	väittää
maintain	ylläpitää
maintenance	elatusapu
maintenance	elatuskustannukset
maintenance	elättäminen
maintenance	huolto
maintenance	kunnossapito
maintenance	säilytys
maintenance	ylläpito
maintenance	ylläpitokustannukset
maize	maissi
majestic	majesteetillinen
majesty	majesteetti
majesty	ylevyys
majolica	majolika
major	Suuri
major	aikuinen
major	duuri
major	majuri
major	pääaine
major	suurehko
major	suurempi
major	suuri
major	tärkeä
major	täysi-ikäinen
major-general	kenraalimajuri
majority	enemmistö
majority	täysi-ikäisyys
majority	täysivaltaisuus
majority	valtaosa
make	ansaita
make	ehtiä
make	hankkia
make	keittää
make	laatia
make	laittaa
make	laji
make	merkki
make	pakottaa
make	panna
make	sepittää
make	suorittaa
make	tehdä
make	tienata
make	valmistaa
make	valmiste
make-believe	uskottelu
make-up	ehostus
make-up	kokoonpano
make-up	luonne
make-up	naamioida
make-up	naamioitus
make-up	rakenne
make-up	taitto
maker	tekijä
maker	valmistaja
makeshift	korvike
makeup	taitto
makeweight	täyte
making	ainekset
making	ansaitseminen
making	laittaminen
making	pakottaminen
making	pakottava
making	suorittaminen
making	valmistaminen
making	valmistava
making	valmistus
making	voitto
malacca	kävelykeppi
maladroit	kömpelö
malady	tauti
malaise	pahoinvointi
malaria	malaria
malcontent	tyytymätön
male	Mies
male	koiras
male	miehinen
male	mies
male	mieshenkilö
male	miespuolinen
male	uros
malediction	kirous
malefactor	pahantekijä
malevolence	ilkeys
malevolence	pahanilkisyys
malevolence	pahansuopaisuus
malevolent	häijy
malevolent	häijynilkinen
malevolent	ilkeä
malevolent	ilkeämielinen
malevolent	pahansuopa
malfeasance	virkarikos
malfeasance	väärinkäytös
malformation	epämuodostuma
malfunction	häiriö
malice	häijyys
malice	ilkeys
malice	ilkeämielisyys
malice	myrkyllisyys
malice	pahanilkisyys
malicious	häijy
malicious	häijynilkinen
malicious	ilkeä
malicious	ilkeämielinen
malicious	myrkyllinen
malicious	pahanilkinen
malicious	pahansuopa
malicious	vahingoniloinen
malign	paha
malign	panetella
malign	parjata
malign	vahingollinen
malignancy	ilkeämielisyys
malignant	ilkeä
malignant	kiukkuinen
malignant	pahanlaatuinen
malignity	ilkeys
malinger	pinnata
mallard	sinisorsa
mallard	sorsa
malleability	taottavuus
malleable	taipuisa
mallet	krokettinuija
mallet	maila
mallet	nuija
mallet	vasara
mallow	malva
malnutrition	aliravitsemus
malnutrition	vajaaravitsemus
malpractice	väärinkäytös
malt	mallas
malt	maltaat
maltreatment	pahoinpitely
maltreatment	rääkkäys
mamma	nisä
mamma	äiti
mammal	nisäkäs
mammon	mammona
mammoth	jättiläiskokoinen
