neuralgia	neuralgia
neuralgic	neuralginen
neurasthenia	heikkohermoisuus
neurology	neurologia
neurosurgery	hermokirurgia
neurotic	heikkohermoinen
neurotic	neuroottinen
neuter	neutri
neuter	neutrisukuinen
neutral	epämääräinen
neutral	neutraali
neutral	puolueeton
neutrality	neutraliteetti
neutrality	puolueettomuus
neutralization	neutralisointi
neutralize	neutralisoida
nevertheless	kuitenkin
nevertheless	kumminkin
nevertheless	silti
nevertheless	sittenkin
new	outo
new	tottumaton
new	tuore
new	uudenaikainen
new	uudenlainen
new	uusi
new	veres
newborn	vastasyntynyt
newcomer	tulokas
newest	uusin
newly	juuri
newly	uudestaan
newly	äsken
newly	äskettäin
newness	uutuus
news	sanoma
news	tieto
news	uutinen
news	uutislähetys
newsagent	lehdenmyyjä
newsboy	lehdenmyyjä
newsboy	sanomalehtipoika
newscast	uutiskatsaus
newscast	uutislähetys
newsletter	kiertokirje
newspaper	sanomalehti
newspaper	sanomalehtipaperi
newspaperman	lehtimies
newsprint	sanomalehtipaperi
newsreel	uutiskatsaus
newsstand	lehtikioski
next	ensi
next	lähin
next	lähinnä
next	sitten
next	tuleva
next	viereinen
nexus	yhdysside
nib	kynänterä
nib	kärki
nib	terä
nibble	jyrsiä
nibble	nykiä
nibble	nykäisy
nibble	nälviä
nibble	puraisu
nice	arka
nice	hankala
nice	hauska
nice	herttainen
nice	hieno
nice	hyvä
nice	kaunis
nice	kiltti
nice	kiva
nice	miellyttävä
nice	mukava
nice	nirso
nice	sievoinen
nice	soma
nice	tarkka
nice	ystävällinen
nicely	hyvin
nicety	arkaluonteisuus
nicety	hienous
nicety	nirsous
nicety	tarkkuus
niche	komero
niche	seinäkomero
niche	syvennys
nick	kolo
nick	ryöstää
nick	vankila
nickel	kolikko
nickel	nikkeli
nickel	nikkelöidä
nickname	haukkumanimi
nickname	lempinimi
nickname	liikanimi
nickname	lisänimi
nickname	pilkkanimi
nicotine	nikotiini
nidus	taudinpesäke
niece	sisarentytär
nifty	hieno
nifty	tyylikäs
niggardly	itara
niggardly	kitsas
niggardly	niukka
niggardly	saita
niggardly	visu
niggle	saivarrella
nigh	lähellä
night	ehtoo
night	ilta
night	yö
night	öinen
nightcap	yömyssy
nightclub	yökerho
nightdress	yöpaita
nightdress	yöpuku
nightgown	yöpaita
nightie	yöpaita
nightingale	satakieli
nightjar	kehrääjä
nightly	yöllinen
nightly	öinen
nightmare	painajainen
nightmare	painajaisuni
nihilism	nihilismi
nihilist	nihilisti
nihilist	nihilistinen
nil	ei mitään
nil	nolla
nimble	ketterä
nimble	kevyt
nimble	liukas
nimble	liukasliikkeinen
nimble	nopea
nimble	nopealiikkeinen
nimbleness	ketteryys
nimbus	sadepilvi
nimbus	sädekehä
nine	yhdeksikkö
nine	yhdeksän
ninefold	yhdeksänkertainen
nineteen	yhdeksäntoista
nineteenth	yhdeksästoista
nineties	yhdeksänkymmenluku
ninetieth	yhdeksäskymmenes
ninety	yhdeksänkymmentä
ninny	hölmö
ninny	tomppeli
ninth	yhdeksännes
ninth	yhdeksäs
nip	kirpeys
nip	kulaus
nip	nipistys
nip	nipistää
nip	pakkanen
nip	pinkaista
nip	puraista
nip	purra
nip	tuhota
nip	tuntu
nipper	nappula
nipper	vesseli
nipple	nänni
nipple	tutti
nippy	nopea
nippy	pureva
nit	muna
nitrate	nitraatti
nitrogen	typpi
nitrogenous	typpipitoinen
nitwit	tollo
no	ei
no	ei kukaan
no	eivät
nob	kallo
nob	pää
nobility	aateli
nobility	aatelisarvo
nobility	aatelissääty
nobility	ylevyys
nobility	ylevämielisyys
nobility	ylhäisö
noble	aatelinen
noble	aatelismies
noble	jalo
noble	jalosukuinen
noble	komea
noble	uljas
noble	ylevä
noble	ylhäinen
noble	ylhäissäätyinen
noble	ylväs
nobleman	aatelinen
nobleman	aatelismies
noblewoman	aatelisnainen
