schooling	kouluttaminen
schoolmaster	opettaja
schoolmate	koulutoveri
schoolmistress	naisopettaja
schoolmistress	opettaja
schoolteacher	opettaja
schooner	kuunari
science	luonnontiede
science	tiede
scientific	tieteellinen
scientist	luonnontieteilijä
scientist	tiedemies
scientist	tieteenharjoittaja
scientist	tutkija
scimitar	käyräsapeli
scimitar	sapeli
scion	oksas
scion	pistokas
sclerosis	skleroosi
sclerotic	kalkkiutunut
scoff	ilkkua
scoff	pilkata
scold	nuhdella
scold	pauhata
scold	soimata
scold	torua
sconce	lampetti
sconce	seinävalaisin
scoop	ammentaa
scoop	kaapata
scoop	kaappaus
scoop	kahmaista
scoop	kaivertaa
scoop	kauha
scoop	kauhoa
scoop	kuuppa
scoop	lapio
scoop	lapioida
scoop	tyhjentää
scoop	äyskäri
scoot	juosta
scooter	potkulauta
scope	ala
scope	alue
scope	kantavuus
scope	laajuus
scope	liikkumatila
scope	piiri
scope	puitteet
scorch	korventaa
scorch	korventua
scorch	kärventyä
scorch	kärventää
scorch	paahtaa
scorch	polttaa
score	alleviivata
score	kaksikymmentä
score	lasku
score	maali
score	naarmuttaa
score	partituuri
score	piirto
score	piirtää
score	soitintaa
score	tilanne
score	tili
score	tiu
score	uurre
score	uurtaa
score	velka
scoreboard	tulostaulu
scorer	markööri
scorer	merkitsijä
scoria	kuona
scoring	alleviivata
scorn	halveksia
scorn	pilkata
scorn	ylenkatse
scorn	ylenkatsoa
scornful	ivallinen
scornful	pilkallinen
scornful	ylenkatseellinen
scornful	ylimielinen
scorpion	skorpioni
scotch	haavoittaa
scoundrel	heittiö
scoundrel	kanalja
scoundrel	konna
scoundrel	roisto
scour	etsiä
scour	hangata
scour	hankaaminen
scour	hankaus
scour	kiillottaa
scour	kuurata
scour	puhdistaa
scourer	suti
scourge	kurittaa
scourge	maanvaiva
scourge	rangaista
scourge	rangaistus
scourge	ruoska
scourge	vitsaus
scout	hylätä
scout	miespalvelija
scout	partioida
scout	partiolainen
scout	torjua
scoutmaster	partiojohtaja
scrabble	raapustaa
scrabble	töhertää
scrag	kaula
scrag	laiha
scraggy	hontelo
scraggy	luiseva
scraggy	ruipelo
scramble	kavuta
scramble	kiivetä
scramble	kompuroida
scramble	kömpiä
scramble	ryömiä
scrap	lappu
scrap	leike
scrap	pala
scrap	romuttaa
scrap	tilkku
scrape	hangata
scrape	kaapia
scrape	kirskua
scrape	kitkuttaa
scrape	raapaista
scrape	raapia
scrape	raaputtaa
scraper	kaavin
scrappy	epäyhtenäinen
scrappy	kokoonhaalittu
scratch	kaapia
scratch	kuopia
scratch	kyhnyttää
scratch	kynsiä
scratch	lähtöviiva
scratch	naarmu
scratch	naarmuttaa
scratch	piirto
scratch	raapaista
scratch	raapia
scratch	raaputus
scratch	rapista
scratch	repiä
scratching	kaapiminen
scratching	rapina
scratching	repivä
scrawl	raapustaa
scrawl	tuherrus
scrawl	tuhertaa
scrawl	töherrys
scrawl	töhertää
scrawl	töhriä
scrawny	laiha
scrawny	luiseva
scrawny	ruipelo
scream	hihkaista
scream	hihkaisu
scream	hihkua
scream	huutaa
scream	kiljua
scream	kirkaista
scream	kirkua
scream	kirkuna
screaming	huutava
screaming	parku
screaming	verraton
screech	huutaa
screech	kiekua
screech	kiljua
screech	kirkua
screech	kirkuna
screech	kirskua
screen	elokuvata
screen	kuvapinta
screen	kuvaruutu
screen	lajitella
screen	peitellä
screen	peittää
screen	ruutu
screen	seula
screen	seuloa
screen	sihti
screen	siivilä
screen	siivilöidä
screen	suojus
screen	tutkia
screen	valkokangas
screen	varjostin
screen	verhota
screening	elokuvata
screening	lajittelu
screening	tutkiva
screening	verhoaminen
screenplay	käsikirjoitus
