talent	taipumus
talisman	talismaani
talk	esitelmä
talk	juoru
talk	jutella
talk	juttelu
talk	keskustella
talk	keskustelu
talk	neuvotella
talk	neuvottelu
talk	pakista
talk	puhe
talk	puheenaihe
talk	puhella
talk	puhelu
talk	puhua
talkative	puhelias
talkative	suulas
talkativeness	puheliaisuus
talker	suunsoittaja
talkie	äänielokuva
talking	puhelu
tall	iso
tall	isokasvuinen
tall	isokokoinen
tall	kookas
tall	korkea
tall	liiallinen
tall	mittainen
tall	pitkä
tall	pitkäkasvuinen
tall	uskomaton
tallow	tali
tally	pykäläpuu
tally	tili
tally	täsmätä
tally	vastakirja
tally	yhtäpitävä
talon	kynsi
talon	talonki
tame	kesy
tame	kesyttää
tame	laimea
tame	mielenkiinnoton
tame	ponneton
tame	sävyisä
tame	taltuttaa
tame	vaisu
tamer	kesyttäjä
tamp	painella
tamper	juntta
tamper	kopeloida
tamper	peukaloida
tamper	sorkkia
tamper	sormeilla
tamper	survin
tampon	tamponi
tampon	tamponoida
tampon	tukko
tan	päivettyä
tan	päivetys
tan	ruskea
tan	ruskettaa
tan	ruskettua
tan	rusketus
tandem	tandem
tang	haju
tang	ruoto
tang	tuoksu
tangent	sivuaja
tangential	sekundäärinen
tangerine	mandariini
tangible	aineellinen
tangible	kouraantuntuva
tangle	kietoa
tangle	rettelö
tangle	ryteikkö
tangle	sekasotku
tangle	sekoittaa
tangle	selkkaus
tangle	sotkea
tangle	sotkeutua
tangle	takku
tangle	vyyhti
tango	tango
tank	akvaario
tank	panssari
tank	panssarivaunu
tank	säiliö
tank	vesisäiliö
tankard	haarikka
tankard	kolpakko
tankard	olutkolpakko
tankard	seideli
tankard	tuoppi
tanker	säiliöalus
tanker	säiliölaiva
tanker	tankkialus
tanker	öljytankkeri
tanner	nahkuri
tannery	nahkatehdas
tannin	parkkihappo
tannoy	kaiutin
tantalize	härnätä
tantalize	kiusata
tantamount	samanarvoinen
tap	hana
tap	juoksuttaa
tap	kopauttaa
tap	koputus
tap	kuunnella
tap	laatu
tap	laskea
tap	nakuttaa
tap	näppäillä
tap	tappi
tap	taputtaa
tap	tulppa
tap	urkkia
tape	maalinauha
tape	mittanauha
tape	nauha
tape	nauhoittaa
tape	reunusnauha
taper	kaventua
taper	keila
taper	kynttilä
taper	suipentaa
taper	suipentua
tapestry	gobeliini
tapestry	seinävaate
tapping	laskeminen
tapping	laskeva
tapping	salakuuntelu
tapster	viinuri
tar	merimies
tar	terva
tar	tervata
tardiness	hitaus
tardy	hidas
tardy	myöhäinen
tardy	vastahakoinen
tardy	vitkallinen
tare	luste
tare	rehuvirna
tare	taara
tare	virvilä
target	ampumataulu
target	kohde
target	kohdistaa
target	maali
target	maalitaulu
target	päämäärä
target	suunnata
tariff	taksa
tariff	tariffi
tariff	tulli
tarmac	asfaltti
tarmac	asfalttipäällysteinen
tarn	lampi
tarnish	himmentyä
tarnish	himmentää
tarnish	himmeys
tarnish	liata
tarnish	mustata
tarnish	tahra
tarnish	tummentaa
tarnish	tummua
tarpaulin	presenninki
tarpaulin	vaununpeite
tarry	odottaa
tarry	tervainen
tarry	viipyä
tarsal	nilkkaluu
tart	hapan
tart	hempukka
tart	kirpeä
tart	piirakka
tart	pureva
tart	torttu
tartar	hammaskivi
tartar	tataari
tartar	viinikivi
tartness	kirpeys
tartness	purevuus
task	askare
task	koetella
task	kotitehtävä
task	puuha
task	pähkinä
task	rasittaa
task	tehtävä
task	työ
task	urakka
taskmaster	isäntä
taskmaster	työnjohtaja
tassel	tupsu
taste	aisti
taste	kokea
taste	maistaa
