boreal	pohjoinen
boredom	ikävystyminen
boredom	ikävä
boredom	kyllästys
borer	kaira
boring	ikävystyttävä
boring	kuiva
boring	pitkäpiimäinen
boring	pitkäveteinen
boring	tylsä
boring	tympäisevä
born	synnynnäinen
born	syntyisin
borough	kaupunki
borrow	lainata
borrower	lainaaja
borrower	lainanottaja
borrower	lainansaaja
borrowing	lainaus
borzoi	venäjänvinttikoira
bosom	helma
bosom	povi
bosom	rinta
bosomy	uhkeapovinen
boss	esimies
boss	keskiö
boss	kohouma
boss	komentaja
boss	kuhmu
boss	kyhmy
boss	nuppi
boss	pomo
boss	työnjohtaja
botanic	kasvitieteellinen
botanical	kasvitieteellinen
botanist	kasvitieteilijä
botch	paikata
botch	tunaroida
both	molemmat
both	sekä
bother	haitata
bother	harmi
bother	huolestuttaa
bother	kiusa
bother	kiusata
bother	kärttää
bother	päänvaiva
bother	vaiva
bother	vaivata
bother	vastus
bothersome	kiusallinen
bothersome	vastuksellinen
bottle	leili
bottle	pullo
bottle	pullottaa
bottle	säilöä
bottleneck	kapeikko
bottleneck	pullonkaula
bottom	alapuoli
bottom	alapää
bottom	alareuna
bottom	alin
bottom	istuin
bottom	nojautua
bottom	perustaa
bottom	perustua
bottom	pohja
bottom	pohjimmainen
bottom	pohjukka
bottomless	pohjaton
bough	haara
bough	oksa
bouillon	liemi
bouillon	lihaliemi
boulder	järkäle
boulder	lohkare
boulder	vierinkivi
boulevard	puistokatu
bounce	kilpistyä
bounce	kimmahtaa
bounce	kimmota
bounce	rynnätä
bouncer	emävalhe
bouncer	järjestysmies
bouncer	ulosheittäjä
bouncing	pulska
bouncing	reima
bouncing	roima
bouncing	tukeva
bound	harpata
bound	harppaus
bound	hyppiä
bound	hyppy
bound	hyppäys
bound	hypähtää
bound	hypätä
bound	kimmahtaa
bound	kimmota
bound	loikata
bound	loikka
bound	loikkaus
bound	loikkia
bound	pompata
bound	ponnahdus
bound	raja
bound	rajoittaa
bound	sidottu
bound	velvollinen
bound	ääri
boundary	raja
bounder	moukka
boundless	määrätön
boundless	silmänkantamaton
boundless	ääretön
bounteous	antelias
bounteous	runsas
bountiful	antelias
bountiful	karttuisa
bountiful	runsaskätinen
bounty	anteliaisuus
bounty	tukipalkkio
bouquet	kimppu
bouquet	kukkakimppu
bouquet	kukkavihko
bouquet	puska
bouquet	tuoksu
bourgeois	poroporvari
bourgeois	poroporvarillinen
bourgeois	porvari
bourgeois	porvarillinen
bourgeoisie	porvarissääty
bourn	joki
bourn	määränpää
bourn	puro
bout	kierros
bout	kilpailu
bout	kohtaus
bout	ottelu
bout	puuska
boutique	putiikki
bovine	hidas
bovine	nauta
bow	alistua
bow	jousi
bow	kaari
bow	keula
bow	koukistaa
bow	kumarrus
bow	kumartaa
bow	kumartua
bow	köyristää
bow	rusetti
bow	taipua
bow	taivuttaa
bow	tervehtiä
bowel	suoli
bower	budoaari
bower	huvimaja
bower	kammio
bower	lehtimaja
bowl	keilata
bowl	kulho
bowl	kuppi
bowl	kuula
bowl	malja
bowl	maljakko
bowl	pallo
bowl	pönttö
bowl	syvennys
bowl	syvänne
bowler	knalli
bowman	jousimies
box	aitio
box	arkku
box	karsina
box	kolli
box	koppi
box	kotelo
box	laatikko
box	lipas
box	loosi
box	lyödä
box	nyrkkeillä
box	pakki
box	pilttuu
box	puksipuu
box	pönttö
box	rasia
box	ruutu
box	televisio
boxer	bokseri
boxer	nyrkkeilijä
boxing	lyöminen
boxing	nyrkkeily
boxwood	puksipuu
boy	palvelija
boy	poika
boycott	boikotoida
boycott	boikotti
boycott	saarto
