deception	vilppi
deceptive	erehdyttävä
deceptive	petollinen
deceptive	pettävä
decide	päättää
decide	ratkaista
decidedly	epäilemättä
decidedly	varmasti
deciding	päättävä
deciding	ratkaiseminen
decimal	desimaali
decimal	kymmenmurtoluku
decimal	kymmenys
decimetre	desimetri
decipher	dekoodata
decision	päättäväisyys
decision	päätäntävalta
decision	päätöksenteko
decision	päätös
decision	ratkaisu
decisive	määräävä
deck	dekki
deck	kansi
deck	kattaa
deck	koristaa
deck	korttipakka
deck	täkki
deck	verhota
declaim	lausua
declamatory	korkealentoinen
declamatory	mahtipontinen
declaration	ilmoittaminen
declaration	ilmoitus
declaration	julistus
declaration	julkilausuma
declaration	lauselma
declaration	mielipiteenilmaisu
declaration	selitys
declaration	vakuutus
declare	ilmoittaa
declare	julistaa
declare	kuuluttaa
declare	selittää
declare	tullata
declare	väittää
declension	deklinaatio
declination	deklinaatio
declination	kaltevuus
declination	poikkeama
decline	alaspäinmeno
decline	aleta
decline	deklinoida
decline	evätä
decline	heikkeneminen
decline	huonontua
decline	hylätä
decline	kallistua
decline	kieltäytyä
decline	laskea
decline	laskeminen
decline	lasku
decline	laskusuunta
decline	rappio
decline	rappiotila
decline	rinne
decline	taaksepäinmeno
decline	taantua
decline	taantuminen
decline	taantumus
decline	taivuttaa
decline	turmelus
decline	viettää
decline	vähetä
declining	evätä
declining	hylkääminen
declining	kieltäytyminen
declining	laskeminen
declining	laskeva
declining	taantuminen
declining	vähetä
declivity	kaltevuus
declivity	rinne
decoction	keitos
decode	dekoodata
decoder	dekooderi
decomposable	hajaantuva
decompose	hajota
decompose	hajottaa
decompose	lahota
decompose	lahottaa
decompose	maatua
decompose	mädännyttää
decomposition	hajaantuminen
decomposition	hajoaminen
decomposition	hajoamistila
decomposition	lahoaminen
decomposition	mätänemistila
decor	näyttämökoristeet
decor	sisustus
decorate	koristaa
decorate	somistaa
decoration	kaunistus
decoration	koristaminen
decoration	koriste
decoration	koristemaalari
decoration	kunniamerkki
decoration	ritarimerkki
decoration	somiste
decorative	dekoratiivinen
decorative	koristeellinen
decorator	koristemaalari
decorator	maalari
decorous	arvokas
decorum	arvokkuus
decorum	sopivuus
decorum	säädyllisyys
decoy	houkutella
decoy	syötti
decrease	aleneminen
decrease	aleta
decrease	heikkeneminen
decrease	kato
decrease	kaventaa
decrease	laskea
decrease	lasku
decrease	pieneneminen
decrease	pienennys
decrease	pienentyä
decrease	väheneminen
decrease	vähentää
decrease	vähetä
decreasing	laskeminen
decreasing	laskeva
decreasing	vähetä
decree	asetus
decree	määrätä
decree	määräys
decree	päätös
decree	säädös
decree	säätää
decrepit	heikko
decrepit	raihnainen
decrepit	vanhuudenheikko
decrepitude	raihnaisuus
decrepitude	vanhuudenheikkous
decry	halventaa
dedicate	omistaa
dedicate	pyhittää
dedicate	vihkiä
dedication	antaumus
dedication	omistus
dedication	omistuskirjoitus
dedication	vihkiminen
deduce	johtaa
deduce	päätellä
deduct	poistaa
deduct	vähentää
deductible	omavastuu
deductible	vähennyskelpoinen
deduction	johtopäätös
deduction	päätelmä
deductive	deduktiivinen
deed	aikaansaannos
deed	asiakirja
deed	dokumentti
deed	kauppakirja
deed	sopimuskirja
deed	teko
deed	työ
deem	pitää
deep	paksu
deep	perinpohjainen
deep	salaperäinen
deep	syvyys
deep	syvä
deep	syvällinen
deep	syvällä
deep	syvämietteinen
deep	syvänne
deep	syvässä
deep-water	syvänveden
deepen	syventää
deepen	syvetä
deepening	syventäminen
deeply	syvään
deer	hirvi
deface	rumentaa
defamation	herjaus
defamation	häpäisy
defamation	kunnianloukkaus
defamation	mustaaminen
defamation	mustamaalaus
defamatory	häpäisevä
defame	halventaa
defame	panetella
defame	parjata
default	laiminlyödä
default	laiminlyöminen
default	laiminlyönti
default	poissaolo
