flan	torttu
flange	laippa
flank	kuve
flank	sivu
flank	sivusta
flannel	flanelli
flap	hermoilla
flap	kansi
flap	lepattaa
flap	liehua
flap	lieri
flap	liuska
flap	loksua
flap	lyödä
flap	läimäyttää
flap	potkia
flap	retkottaa
flap	räpyttää
flap	räpytys
flapper	lätkä
flapper	tytönheilakka
flapping	lyöminen
flapping	potkiminen
flare	leimahdus
flare	leimaus
flare	leimu
flare	leiskahdus
flare	leiskua
flare	loimu
flare	loimuta
flare	läikehtiä
flare	roihu
flare	valoammus
flare	valoraketti
flash	kiitää
flash	kipinä
flash	leimahdus
flash	leimaus
flash	leiskahdus
flash	leiskahtaa
flash	leiskua
flash	lennättää
flash	liekehtiä
flash	räiskyä
flash	salamavalo
flash	salamoida
flash	silmänräpäys
flash	singota
flash	vilahtaa
flash	vilkku
flash	vilkkua
flash	välkähdys
flash	välähdys
flash	välähtää
flash	väläyttää
flashing	leimahtaminen
flashing	räiskyvä
flashlight	salamavalo
flashlight	taskulamppu
flashlight	vilkku
flashy	räikeä
flask	pullo
flask	taskumatti
flat	alennusmerkki
flat	alentaa
flat	asunto
flat	ehdoton
flat	huoneisto
flat	laakea
flat	laimea
flat	lape
flat	lattea
flat	litteä
flat	nimenomainen
flat	rieska
flat	tasainen
flat	tasanko
flat	tympeä
flat	vaisu
flat	yhdenmukainen
flat	ytimetön
flatfish	kampela
flatlet	yksiö
flatness	tympeys
flatten	litistyä
flatten	litistää
flatten	masentaa
flatten	silittää
flatten	tasoittaa
flatter	imarrella
flatter	mairitella
flatterer	imartelija
flatterer	liehakoitsija
flatterer	mielistelijä
flattery	mairittelu
flatulence	puhkuisuus
flatulent	tyhjä
flatus	ilma
flaunt	kopeilla
flaunt	prameilla
flaunt	pöyhistellä
flavor	aromi
flavor	höystää
flavor	maku
flavor	maustaa
flavor	tuoksu
flavour	aromi
flavour	höyste
flavour	höystää
flavour	maku
flavour	maustaa
flavour	sivumaku
flavour	sävy
flavour	tuoksu
flaw	halkeama
flaw	särö
flaw	tahra
flaw	vioittaa
flaw	virhe
flaw	virka
flawless	virheetön
flax	pellava
flax	pellavainen
flaxen	pellavainen
flay	ryöpyttää
flea	kirppu
fleck	laikku
fleck	läiskä
fleck	pilkku
fleck	täplä
flee	häipyä
flee	karata
flee	karttaa
flee	paeta
fleece	kiskoa
fleece	kyniä
fleece	lampaanvilla
fleece	ryöstää
fleece	talja
fleecy	pehmeä
fleecy	pörröinen
fleecy	villava
fleeing	häipyminen
fleeing	karttaminen
fleet	eskaaderi
fleet	häipyä
fleet	kiitää
fleet	laivasto
fleet	nopea
fleeting	häipyminen
fleeting	nopea
flesh	liha
flesh	malto
fleshly	lihallinen
fleshy	lihainen
fleshy	lihava
flex	johdin
flex	johto
flex	koukistaa
flex	sähköjohdin
flex	sähköjohto
flex	taivuttaa
flexibility	joustavuus
flexibility	taipuisuus
flexible	joustava
flexible	notkea
flexible	taipuisa
flexible	taipuva
flexor	koukistajalihas
flexure	taive
flibbertigibbet	lörppö
flick	näpsäys
flick	näpäys
flicker	häilyä
flicker	lepattaa
flicker	pilkahdus
flicker	vilkkua
flicker	värinä
flickering	häilyvä
flight	karkaaminen
flight	karkumatka
flight	lento
flight	lentue
flight	pako
flight	pakomatka
flight	pakoretki
flight	vuoro
flighty	vaihteleva
flimsiness	hataruus
flimsy	hatara
flimsy	hauras
flimsy	köykäinen
flimsy	läpilyöntipaperi
flimsy	ohut
flinch	sävähtää
flint	pii
flint	piikivi
flip	näpäys
flip	sipaista
flippancy	nenäkkyys
