density	66-3313-B,66-3328-B,66-3344-B,66-3359-B
dent	66-3375-B,66-3386-B,66-3398-B
dentate	66-3409-B
dentist	66-3433-B
dentistry	66-3458-B
denture	66-3487-B,66-3510-B,66-3526-B,66-3544-B
denude	66-3561-B,66-3578-B,66-3595-B
denunciation	66-3609-B
deny	66-3631-B,66-3645-B,66-3658-B,66-3676-B,66-3691-B,66-3706-B
deodorant	66-3718-B
depart	66-3740-B
department	66-3756-B,66-3781-B,67-0-B,67-18-B,67-37-B,67-60-B,67-82-B
departure	67-102-B,67-123-B,67-141-B,67-161-B
depend	67-184-B,67-199-B
dependability	67-214-B,67-244-B
dependable	67-271-B
dependant	67-291-B
dependence	67-314-B,67-335-B
dependency	67-361-B
dependent	67-380-B,67-398-B,67-419-B,67-442-B
depict	67-466-B,67-482-B
depicting	67-496-B
depiction	67-513-B
deplete	67-530-B,67-547-B,67-566-B
deplorable	67-586-B,67-610-B,67-628-B
deplore	67-651-B,67-670-B,67-689-B
deploy	67-706-B,67-727-B,67-745-B
deponent	67-762-B
deport	67-787-B,67-804-B
deportment	67-821-B,67-845-B
deposit	67-865-B,67-884-B,67-903-B,67-921-B,67-936-B,67-953-B,67-967-B,67-980-B,67-995-B,67-1009-B,67-1034-B,67-1052-B,67-1069-B,214-1301-S
deposition	67-1084-B,67-1104-B
depository	67-1127-B
depot	67-1154-B,67-1166-B,67-1186-B,67-1198-B
deprave	67-1212-B
depravity	67-1229-B,67-1252-B,67-1278-B
deprecate	67-1297-B
deprecation	67-1316-B
depreciate	67-1341-B,67-1358-B,67-1379-B,67-1400-B
depreciation	67-1422-B,67-1448-B,67-1473-B
depreciatory	67-1493-B
depredation	67-1515-B,67-1541-B
depress	67-1562-B,67-1578-B,67-1596-B,67-1614-B
depressing	67-1631-B,67-1654-B,67-1674-B
depression	67-1699-B,67-1723-B,67-1744-B,67-1765-B,67-1786-B,67-1806-B,67-1831-B,67-1854-B,67-1880-B,67-1899-B,67-1920-B,67-1948-B,67-1968-B
depressive	67-1987-B
deprivation	67-2013-B,67-2033-B,67-2051-B
deprive	67-2070-B,67-2088-B
depth	67-2103-B
deputy	67-2116-B,67-2138-B,67-2154-B
derail	67-2175-B
derange	67-2190-B,67-2211-B
derangement	67-2229-B,67-2256-B
derelict	67-2277-B,67-2294-B
dereliction	67-2309-B
deride	67-2335-B
derision	67-2350-B,67-2363-B
derisive	67-2379-B,67-2398-B,67-2418-B
derivation	67-2439-B,67-2460-B,67-2482-B
derivative	67-2499-B,67-2521-B
derive	67-2545-B,67-2559-B,67-2573-B,67-2588-B,67-2605-B
deriving	67-2618-B,67-2638-B,67-2659-B,67-2682-B
dermis	67-2700-B
derogation	67-2717-B
descant	67-2742-B
descend	67-2760-B,67-2776-B,67-2790-B,67-2805-B,67-2823-B,67-2837-B,67-2855-B,67-2873-B
descending	67-2891-B,67-2911-B,67-2933-B,67-2958-B,67-2977-B,67-3001-B,67-3023-B
descent	67-3048-B,67-3065-B,67-3082-B,67-3101-B,67-3123-B,67-3144-B,67-3166-B,67-3182-B,67-3197-B,67-3211-B
describe	67-3229-B,67-3245-B,67-3263-B,67-3279-B,67-3298-B
description	67-3316-B,67-3340-B,67-3359-B,67-3376-B
descriptive	67-3398-B,67-3426-B
descry	67-3446-B,67-3461-B
desecrate	67-3476-B
desecration	67-3498-B
desert	67-3520-B,67-3535-B,67-3548-B,67-3564-B,67-3577-B,67-3592-B,67-3614-B,67-3630-B,67-3647-B,67-3661-B
deserter	67-3673-B,67-3694-B,67-3711-B
desertion	67-3735-B,67-3759-B,67-3781-B,67-3801-B
deserve	67-3820-B
deservedly	67-3836-B
desiccation	67-3856-B
design	68-0-B,68-11-B,68-24-B,68-39-B,68-57-B,68-70-B,68-89-B,68-102-B,68-115-B,68-128-B,68-145-B,68-161-B,68-176-B,68-193-B,68-210-B,68-228-B,68-247-B
designate	68-265-B,68-287-B,68-308-B,68-327-B
designation	68-348-B,68-365-B
designer	68-385-B,68-407-B
designing	68-427-B
desirability	68-446-B,68-469-B
