cattle	37-296-B,37-309-B,37-322-B,37-340-B
catty	37-354-B
caucus	37-372-B,37-392-B
cauldron	37-411-B
cauliflower	37-428-B
causal	37-451-B
causality	37-471-B
cause	37-490-B,37-501-B,37-517-B,37-534-B,37-552-B,37-563-B,37-581-B,37-597-B,37-611-B,37-621-B,37-633-B
causeway	37-647-B,37-668-B,37-685-B,37-705-B
causing	37-724-B
caustic	37-747-B,37-766-B,37-785-B,37-800-B,37-822-B
cauterize	37-844-B,37-862-B
cautery	37-885-B,37-905-B
caution	37-925-B,37-942-B
cautious	37-962-B,37-984-B
cautiousness	37-1004-B
cavalcade	37-1029-B
cavalier	37-1046-B,37-1061-B,37-1087-B
cavalry	37-1103-B
cave	37-1122-B,37-1136-B,37-1147-B
caveman	37-1159-B
cavern	37-1180-B
caviar	37-1193-B,37-1209-B
cavil	37-1228-B
cavity	37-1243-B,37-1262-B,37-1274-B,37-1288-B,37-1302-B
cavort	37-1316-B,37-1332-B
caw	37-1350-B,37-1362-B,37-1378-B,37-1393-B
cease	37-1405-B,37-1418-B,37-1431-B,37-1448-B,37-1461-B
cease fire	37-1474-B
ceaseless	37-1495-B,37-1521-B,37-1543-B,37-1561-B,37-1583-B
ceaselessly	37-1601-B,37-1625-B
cedar	37-1649-B
cede	37-1661-B
ceiling	37-1676-B,37-1690-B,37-1705-B,37-1725-B
celandine	37-1744-B
celebrate	37-1769-B,37-1789-B,37-1809-B
celebration	37-1829-B,37-1847-B,37-1868-B,37-1886-B,37-1909-B
celebrity	37-1928-B
celeriac	37-1949-B
celerity	37-1966-B
celery	37-1982-B
celestial	37-1997-B,37-2020-B
celibacy	37-2043-B,37-2065-B
celibate	37-2085-B
cell	37-2103-B,37-2115-B,37-2126-B,37-2137-B,37-2149-B,37-2169-B,37-2189-B,37-2199-B,37-2210-B,37-2220-B,37-2233-B,37-2245-B
cellar	37-2261-B
cellist	37-2276-B
cello	37-2300-B
cellophane	37-2312-B
cellular	37-2334-B
celluloid	37-2353-B
cellulose	37-2374-B
cement	37-2395-B,37-2409-B,37-2422-B,37-2438-B,37-2456-B,37-2472-B,37-2488-B
cemetery	37-2505-B
cenotaph	37-2523-B
censer	37-2545-B
censor	37-2567-B,37-2586-B
censorious	37-2604-B,37-2622-B,37-2645-B
censorship	37-2674-B,37-2700-B
censure	37-2720-B,37-2739-B,37-2757-B,37-2775-B,37-2789-B,37-2805-B
census	37-2822-B
cent	37-2847-B
centenarian	37-2859-B
centenary	37-2883-B,37-2909-B
centennial	37-2936-B
center	37-2963-B,37-2981-B,37-2999-B,37-3017-B,37-3036-B,37-3051-B,37-3067-B,37-3079-B,37-3094-B
centigrade	37-3110-B
centimeter	37-3129-B,37-3147-B
centimetre	37-3170-B,37-3188-B
central	37-3211-B,37-3229-B
centralization	37-3244-B,37-3268-B
centralize	37-3298-B,37-3320-B,37-3343-B
centreboard	37-3368-B
centrifugal	37-3391-B
centrifuge	37-3417-B,37-3436-B,37-3453-B
centripetal	37-3478-B
centurion	37-3504-B
century	37-3529-B
ceramic	37-3547-B
cereal	37-3566-B
cerebellum	37-3583-B
ceremonial	37-3605-B
ceremonious	37-3628-B,38-0-B
ceremony	38-24-B,38-44-B,38-62-B,38-77-B,38-96-B
cerise	38-114-B
certain	38-138-B,38-157-B,38-171-B,38-185-B,38-205-B,38-220-B
certainly	38-234-B,38-251-B,38-271-B,38-286-B
certainty	38-305-B,38-333-B,38-349-B
certificate	38-367-B,38-387-B
certification	38-408-B
certify	38-432-B,38-450-B,38-468-B
certitude	38-486-B
cerulean	38-504-B
cessation	38-528-B,38-550-B
cession	38-566-B
cesspit	38-583-B
cesspool	38-601-B
chafe	38-620-B,38-634-B,38-649-B,38-665-B,38-678-B,38-692-B,38-705-B
chaff	38-723-B,38-736-B,38-753-B,38-771-B,38-786-B,38-800-B,38-812-B
chaffer	38-825-B
chaffinch	38-841-B
chagrin	38-858-B
chain	38-876-B,38-887-B,38-901-B,38-917-B,38-929-B,38-944-B,38-958-B,38-970-B
chair	38-982-B,38-995-B,38-1018-B
chairman	38-1030-B
chalice	38-1048-B,38-1063-B
chalk	38-1077-B,38-1094-B,38-1108-B
chalky	38-1120-B
challenge	38-1137-B,38-1155-B,38-1172-B,38-1194-B,38-1214-B
challengeable	38-1231-B
challenger	38-1253-B
challenging	38-1273-B
chamber	38-1297-B,38-1311-B,38-1326-B,38-1341-B
chamberlain	38-1358-B
chambermaid	38-1382-B
chamfer	38-1403-B,38-1418-B
chamois	38-1435-B
champ	38-1450-B,38-1467-B,38-1484-B
champagne	38-1500-B
champion	38-1520-B,38-1543-B
championship	38-1560-B
chance	38-1583-B,38-1603-B,38-1622-B,38-1634-B,38-1648-B,38-1663-B,38-1682-B,38-1699-B
chancel	38-1723-B
chancellery	38-1737-B,38-1766-B
chancellor	38-1786-B,38-1806-B
chancre	38-1832-B
chancy	38-1849-B,38-1873-B
chandelier	38-1889-B,38-1912-B,38-1930-B
